ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.646556
1,1,N/S,0.995879
1,1,S/N,0.995879
1,1,N/N,1.474050
1,2,S/S,1.493648
1,2,N/S,1.678909
1,2,S/N,1.678909
1,2,N/N,1.981782
1,3,S/S,0.719750
1,3,N/S,0.668764
1,3,S/N,0.668764
1,3,N/N,0.675960
1,4,S/S,1.245269
1,4,N/S,1.267629
1,4,S/N,1.267629
1,4,N/N,1.407239
1,5,S/S,1.284956
1,5,N/S,0.881955
1,5,S/N,0.881955
1,5,N/N,0.671528
1,6,S/S,1.122729
1,6,N/S,1.120421
1,6,S/N,1.120421
1,6,N/N,1.330010
1,7,S/S,0.966109
1,7,N/S,0.933207
1,7,S/N,0.933207
1,7,N/N,1.004147
1,8,S/S,0.894644
1,8,N/S,0.961249
1,8,S/N,0.961249
1,8,N/N,1.282702
1,9,S/S,1.549718
1,9,N/S,1.215949
1,9,S/N,1.215949
1,9,N/N,1.168354
1,10,S/S,0.525759
1,10,N/S,0.329707
1,10,S/N,0.329707
1,10,N/N,0.200337
1,11,S/S,1.424953
1,11,N/S,1.478179
1,11,S/N,1.478179
1,11,N/N,1.669636
1,12,S/S,1.729133
1,12,N/S,1.163190
1,12,S/N,1.163190
1,12,N/N,1.717464
1,13,S/S,0.944716
1,13,N/S,1.031038
1,13,S/N,1.031038
1,13,N/N,1.218534
1,14,S/S,1.065205
1,14,N/S,1.115487
1,14,S/N,1.115487
1,14,N/N,1.329635
1,15,S/S,1.332506
1,15,N/S,0.850150
1,15,S/N,0.850150
1,15,N/N,0.513489
1,16,S/S,0.703243
1,16,N/S,0.674630
1,16,S/N,0.674630
1,16,N/N,0.765719
1,17,S/S,1.354765
1,17,N/S,1.378532
1,17,S/N,1.378532
1,17,N/N,1.557737
1,18,S/S,0.796119
1,18,N/S,0.861770
1,18,S/N,0.861770
1,18,N/N,1.292160
1,19,S/S,1.145176
1,19,N/S,1.122144
1,19,S/N,1.122144
1,19,N/N,1.399353
2,1,S/S,1.224736
2,1,N/S,0.665762
2,1,S/N,0.665762
2,1,N/N,1.610306
2,2,S/S,0.776038
2,2,N/S,1.124750
2,2,S/N,1.124750
2,2,N/N,1.680544
2,3,S/S,-0.055722
2,3,N/S,0.131183
2,3,S/N,0.131183
2,3,N/N,0.367156
2,4,S/S,0.678431
2,4,N/S,0.856144
2,4,S/N,0.856144
2,4,N/N,1.446174
2,5,S/S,0.375515
2,5,N/S,0.037997
2,5,S/N,0.037997
2,5,N/N,-0.222133
2,6,S/S,0.592774
2,6,N/S,0.964256
2,6,S/N,0.964256
2,6,N/N,1.482010
2,7,S/S,0.165171
2,7,N/S,0.279928
2,7,S/N,0.279928
2,7,N/N,0.732789
2,8,S/S,0.529790
2,8,N/S,0.586748
2,8,S/N,0.586748
2,8,N/N,0.800282
2,9,S/S,1.145626
2,9,N/S,0.118173
2,9,S/N,0.118173
2,9,N/N,0.776879
2,10,S/S,1.130760
2,10,N/S,0.988329
2,10,S/N,0.988329
2,10,N/N,0.773569
2,11,S/S,0.907222
2,11,N/S,0.954150
2,11,S/N,0.954150
2,11,N/N,0.924509
2,12,S/S,1.274663
2,12,N/S,0.384373
2,12,S/N,0.384373
2,12,N/N,0.853578
2,13,S/S,1.193474
2,13,N/S,1.181402
2,13,S/N,1.181402
2,13,N/N,1.159868
2,14,S/S,0.677248
2,14,N/S,0.681125
2,14,S/N,0.681125
2,14,N/N,0.884467
2,15,S/S,0.426994
2,15,N/S,0.230209
2,15,S/N,0.230209
2,15,N/N,0.020984
2,16,S/S,0.643585
2,16,N/S,0.440377
2,16,S/N,0.440377
2,16,N/N,0.361503
2,17,S/S,0.384645
2,17,N/S,0.604347
2,17,S/N,0.604347
2,17,N/N,0.789904
2,18,S/S,0.010246
2,18,N/S,0.308778
2,18,S/N,0.308778
2,18,N/N,0.728858
2,19,S/S,0.207696
2,19,N/S,0.080403
2,19,S/N,0.080403
2,19,N/N,0.363511
3,1,S/S,0.814914
3,1,N/S,0.748535
3,1,S/N,0.748535
3,1,N/N,1.032410
3,2,S/S,0.527798
3,2,N/S,0.627455
3,2,S/N,0.627455
3,2,N/N,1.030397
3,3,S/S,0.815622
3,3,N/S,0.810578
3,3,S/N,0.810578
3,3,N/N,0.907660
3,4,S/S,0.293433
3,4,N/S,0.598373
3,4,S/N,0.598373
3,4,N/N,0.833090
3,5,S/S,0.214412
3,5,N/S,0.145667
3,5,S/N,0.145667
3,5,N/N,0.164592
3,6,S/S,-0.063697
3,6,N/S,0.318769
3,6,S/N,0.318769
3,6,N/N,1.150214
3,7,S/S,0.530807
3,7,N/S,0.681035
3,7,S/N,0.681035
3,7,N/N,0.894596
3,8,S/S,0.589891
3,8,N/S,0.430305
3,8,S/N,0.430305
3,8,N/N,0.646575
3,9,S/S,1.041367
3,9,N/S,0.859402
3,9,S/N,0.859402
3,9,N/N,0.911132
3,10,S/S,0.752317
3,10,N/S,0.620097
3,10,S/N,0.620097
3,10,N/N,0.396591
3,11,S/S,1.051905
3,11,N/S,1.147027
3,11,S/N,1.147027
3,11,N/N,1.384788
3,12,S/S,0.662068
3,12,N/S,0.444634
3,12,S/N,0.444634
3,12,N/N,0.860653
3,13,S/S,0.740728
3,13,N/S,0.686106
3,13,S/N,0.686106
3,13,N/N,0.885322
3,14,S/S,0.301809
3,14,N/S,0.474062
3,14,S/N,0.474062
3,14,N/N,0.775693
3,15,S/S,0.541388
3,15,N/S,0.439319
3,15,S/N,0.439319
3,15,N/N,0.283616
3,16,S/S,0.233483
3,16,N/S,-0.056784
3,16,S/N,-0.056784
3,16,N/N,-0.127328
3,17,S/S,0.590677
3,17,N/S,0.652850
3,17,S/N,0.652850
3,17,N/N,0.668768
3,18,S/S,0.379604
3,18,N/S,0.459051
3,18,S/N,0.459051
3,18,N/N,0.967217
3,19,S/S,0.663334
3,19,N/S,0.652531
3,19,S/N,0.652531
3,19,N/N,0.747981
4,1,S/S,1.420399
4,1,N/S,1.003866
4,1,S/N,1.003866
4,1,N/N,1.428392
4,2,S/S,1.081047
4,2,N/S,1.247991
4,2,S/N,1.247991
4,2,N/N,1.675344
4,3,S/S,1.143015
4,3,N/S,0.904208
4,3,S/N,0.904208
4,3,N/N,0.725477
4,4,S/S,1.055151
4,4,N/S,0.805820
4,4,S/N,0.805820
4,4,N/N,0.876254
4,5,S/S,1.393852
4,5,N/S,0.990329
4,5,S/N,0.990329
4,5,N/N,0.849351
4,6,S/S,0.824022
4,6,N/S,0.914182
4,6,S/N,0.914182
4,6,N/N,1.211576
4,7,S/S,0.941055
4,7,N/S,0.816089
4,7,S/N,0.816089
4,7,N/N,0.690628
4,8,S/S,1.248212
4,8,N/S,1.083975
4,8,S/N,1.083975
4,8,N/N,1.073003
4,9,S/S,1.383421
4,9,N/S,1.120923
4,9,S/N,1.120923
4,9,N/N,1.309566
4,10,S/S,0.763345
4,10,N/S,0.310971
4,10,S/N,0.310971
4,10,N/N,0.455820
4,11,S/S,1.383738
4,11,N/S,1.448783
4,11,S/N,1.448783
4,11,N/N,1.722513
4,12,S/S,1.742231
4,12,N/S,0.977600
4,12,S/N,0.977600
4,12,N/N,1.307814
4,13,S/S,1.375215
4,13,N/S,1.206780
4,13,S/N,1.206780
4,13,N/N,1.408546
4,14,S/S,0.785466
4,14,N/S,0.790036
4,14,S/N,0.790036
4,14,N/N,0.884680
4,15,S/S,0.848597
4,15,N/S,0.496863
4,15,S/N,0.496863
4,15,N/N,0.185389
4,16,S/S,-0.019496
4,16,N/S,-0.186251
4,16,S/N,-0.186251
4,16,N/N,0.250092
4,17,S/S,0.939967
4,17,N/S,0.502312
4,17,S/N,0.502312
4,17,N/N,0.609900
4,18,S/S,0.401146
4,18,N/S,0.689823
4,18,S/N,0.689823
4,18,N/N,1.118044
4,19,S/S,0.646838
4,19,N/S,0.106032
4,19,S/N,0.106032
4,19,N/N,0.130313
5,1,S/S,1.639299
5,1,N/S,0.814517
5,1,S/N,0.814517
5,1,N/N,1.267436
5,2,S/S,2.292549
5,2,N/S,1.720281
5,2,S/N,1.720281
5,2,N/N,1.917178
5,3,S/S,1.544348
5,3,N/S,0.947427
5,3,S/N,0.947427
5,3,N/N,1.058719
5,4,S/S,1.002984
5,4,N/S,0.721163
5,4,S/N,0.721163
5,4,N/N,0.847131
5,5,S/S,1.934799
5,5,N/S,1.079769
5,5,S/N,1.079769
5,5,N/N,1.236964
5,6,S/S,0.882598
5,6,N/S,0.752718
5,6,S/N,0.752718
5,6,N/N,1.457393
5,7,S/S,1.088320
5,7,N/S,0.836702
5,7,S/N,0.836702
5,7,N/N,0.792837
5,8,S/S,1.095655
5,8,N/S,0.832234
5,8,S/N,0.832234
5,8,N/N,1.262400
5,9,S/S,2.098144
5,9,N/S,1.172734
5,9,S/N,1.172734
5,9,N/N,1.993733
5,10,S/S,0.481573
5,10,N/S,0.447534
5,10,S/N,0.447534
5,10,N/N,0.332924
5,11,S/S,1.805692
5,11,N/S,1.569932
5,11,S/N,1.569932
5,11,N/N,1.942847
5,12,S/S,1.927528
5,12,N/S,1.101938
5,12,S/N,1.101938
5,12,N/N,1.755277
5,13,S/S,1.689694
5,13,N/S,1.365843
5,13,S/N,1.365843
5,13,N/N,1.539918
5,14,S/S,1.618037
5,14,N/S,1.435171
5,14,S/N,1.435171
5,14,N/N,1.545821
5,15,S/S,0.602306
5,15,N/S,0.172877
5,15,S/N,0.172877
5,15,N/N,0.225890
5,16,S/S,0.584196
5,16,N/S,0.129027
5,16,S/N,0.129027
5,16,N/N,0.101658
5,17,S/S,0.720715
5,17,N/S,0.741480
5,17,S/N,0.741480
5,17,N/N,1.043298
5,18,S/S,1.584773
5,18,N/S,1.225740
5,18,S/N,1.225740
5,18,N/N,1.941275
5,19,S/S,1.006360
5,19,N/S,1.030022
5,19,S/N,1.030022
5,19,N/N,1.383335
6,1,S/S,1.399579
6,1,N/S,0.746163
6,1,S/N,0.746163
6,1,N/N,1.367977
6,2,S/S,1.419311
6,2,N/S,1.215117
6,2,S/N,1.215117
6,2,N/N,2.006646
6,3,S/S,1.542901
6,3,N/S,0.994647
6,3,S/N,0.994647
6,3,N/N,1.053360
6,4,S/S,1.285012
6,4,N/S,0.649167
6,4,S/N,0.649167
6,4,N/N,0.509127
6,5,S/S,0.961565
6,5,N/S,0.316753
6,5,S/N,0.316753
6,5,N/N,0.543807
6,6,S/S,0.994410
6,6,N/S,0.453188
6,6,S/N,0.453188
6,6,N/N,0.814284
6,7,S/S,1.632630
6,7,N/S,0.951286
6,7,S/N,0.951286
6,7,N/N,1.171669
6,8,S/S,1.193587
6,8,N/S,1.238620
6,8,S/N,1.238620
6,8,N/N,1.825679
6,9,S/S,1.065647
6,9,N/S,0.294969
6,9,S/N,0.294969
6,9,N/N,0.357867
6,10,S/S,0.667219
6,10,N/S,0.456932
6,10,S/N,0.456932
6,10,N/N,0.515473
6,11,S/S,2.077826
6,11,N/S,1.840263
6,11,S/N,1.840263
6,11,N/N,1.771622
6,12,S/S,1.600709
6,12,N/S,0.595468
6,12,S/N,0.595468
6,12,N/N,0.754075
