ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.407665
1,1,N/S,0.678289
1,1,S/N,0.678289
1,1,N/N,0.694738
1,2,S/S,1.772159
1,2,N/S,0.696004
1,2,S/N,0.696004
1,2,N/N,0.957452
1,3,S/S,1.442071
1,3,N/S,0.879273
1,3,S/N,0.879273
1,3,N/N,1.139875
1,4,S/S,0.717278
1,4,N/S,-0.009484
1,4,S/N,-0.009484
1,4,N/N,-0.256772
1,5,S/S,1.655474
1,5,N/S,0.996883
1,5,S/N,0.996883
1,5,N/N,1.211449
1,6,S/S,1.436318
1,6,N/S,0.904816
1,6,S/N,0.904816
1,6,N/N,0.862962
1,7,S/S,1.578962
1,7,N/S,0.960380
1,7,S/N,0.960380
1,7,N/N,0.962740
1,8,S/S,2.000026
1,8,N/S,0.978258
1,8,S/N,0.978258
1,8,N/N,1.119224
1,9,S/S,1.273244
1,9,N/S,0.277502
1,9,S/N,0.277502
1,9,N/N,0.420662
1,10,S/S,1.608866
1,10,N/S,0.971196
1,10,S/N,0.971196
1,10,N/N,1.237364
1,11,S/S,0.976369
1,11,N/S,0.448677
1,11,S/N,0.448677
1,11,N/N,0.411977
1,12,S/S,1.247111
1,12,N/S,0.811098
1,12,S/N,0.811098
1,12,N/N,0.884769
1,13,S/S,1.860216
1,13,N/S,1.060807
1,13,S/N,1.060807
1,13,N/N,1.413656
1,14,S/S,1.724725
1,14,N/S,1.203183
1,14,S/N,1.203183
1,14,N/N,1.475548
1,15,S/S,0.537207
1,15,N/S,0.381791
1,15,S/N,0.381791
1,15,N/N,0.292038
1,16,S/S,1.361042
1,16,N/S,0.904445
1,16,S/N,0.904445
1,16,N/N,0.940769
1,17,S/S,1.587877
1,17,N/S,1.159604
1,17,S/N,1.159604
1,17,N/N,1.187157
1,18,S/S,0.797050
1,18,N/S,0.307097
1,18,S/N,0.307097
1,18,N/N,0.103169
1,19,S/S,1.822184
1,19,N/S,1.102256
1,19,S/N,1.102256
1,19,N/N,1.430605
1,20,S/S,1.545167
1,20,N/S,0.938094
1,20,S/N,0.938094
1,20,N/N,1.106752
1,21,S/S,1.915089
1,21,N/S,1.031196
1,21,S/N,1.031196
1,21,N/N,1.265114
1,22,S/S,1.558106
1,22,N/S,1.079420
1,22,S/N,1.079420
1,22,N/N,1.107841
1,23,S/S,1.063414
1,23,N/S,0.699294
1,23,S/N,0.699294
1,23,N/N,0.880898
1,24,S/S,1.635175
1,24,N/S,0.596239
1,24,S/N,0.596239
1,24,N/N,0.319794
1,25,S/S,1.314344
1,25,N/S,0.972109
1,25,S/N,0.972109
1,25,N/N,1.120742
2,1,S/S,0.657767
2,1,N/S,-0.052171
2,1,S/N,-0.052171
2,1,N/N,-0.083200
2,2,S/S,1.111569
2,2,N/S,0.347960
2,2,S/N,0.347960
2,2,N/N,0.366787
2,3,S/S,1.142824
2,3,N/S,0.408350
2,3,S/N,0.408350
2,3,N/N,0.558369
2,4,S/S,0.491970
2,4,N/S,-0.054007
2,4,S/N,-0.054007
2,4,N/N,-0.364602
2,5,S/S,0.792892
2,5,N/S,-0.163041
2,5,S/N,-0.163041
2,5,N/N,-0.061788
2,6,S/S,1.221831
2,6,N/S,0.703239
2,6,S/N,0.703239
2,6,N/N,0.721006
2,7,S/S,1.186333
2,7,N/S,0.646887
2,7,S/N,0.646887
2,7,N/N,0.728998
2,8,S/S,1.230258
2,8,N/S,0.356392
2,8,S/N,0.356392
2,8,N/N,0.734210
2,9,S/S,0.855587
2,9,N/S,0.090121
2,9,S/N,0.090121
2,9,N/N,0.210079
2,10,S/S,1.105517
2,10,N/S,0.767604
2,10,S/N,0.767604
2,10,N/N,0.865974
2,11,S/S,0.986550
2,11,N/S,0.320093
2,11,S/N,0.320093
2,11,N/N,0.194560
2,12,S/S,0.184654
2,12,N/S,0.016008
2,12,S/N,0.016008
2,12,N/N,0.158308
2,13,S/S,1.318671
2,13,N/S,0.158057
2,13,S/N,0.158057
2,13,N/N,0.331371
2,14,S/S,1.234862
2,14,N/S,0.618793
2,14,S/N,0.618793
2,14,N/N,0.711369
2,15,S/S,0.048257
2,15,N/S,-0.096755
2,15,S/N,-0.096755
2,15,N/N,-0.007116
2,16,S/S,1.280746
2,16,N/S,0.710072
2,16,S/N,0.710072
2,16,N/N,0.782784
2,17,S/S,1.221162
2,17,N/S,0.528848
2,17,S/N,0.528848
2,17,N/N,0.530064
2,18,S/S,0.667625
2,18,N/S,-0.060997
2,18,S/N,-0.060997
2,18,N/N,-0.163337
2,19,S/S,1.180210
2,19,N/S,0.472426
2,19,S/N,0.472426
2,19,N/N,0.744905
2,20,S/S,1.502725
2,20,N/S,0.378226
2,20,S/N,0.378226
2,20,N/N,0.580128
2,21,S/S,1.034077
2,21,N/S,0.321072
2,21,S/N,0.321072
2,21,N/N,0.544382
2,22,S/S,0.891394
2,22,N/S,0.338521
2,22,S/N,0.338521
2,22,N/N,0.239667
2,23,S/S,0.999744
2,23,N/S,0.145556
2,23,S/N,0.145556
2,23,N/N,0.327328
2,24,S/S,1.017126
2,24,N/S,0.214307
2,24,S/N,0.214307
2,24,N/N,0.052542
2,25,S/S,1.242996
2,25,N/S,0.459431
2,25,S/N,0.459431
2,25,N/N,0.467083
3,1,S/S,0.984649
3,1,N/S,0.436828
3,1,S/N,0.436828
3,1,N/N,0.727057
3,2,S/S,0.968132
3,2,N/S,0.319357
3,2,S/N,0.319357
3,2,N/N,0.215988
3,3,S/S,1.731134
3,3,N/S,1.745921
3,3,S/N,1.745921
3,3,N/N,2.077181
3,4,S/S,0.101066
3,4,N/S,-0.442817
3,4,S/N,-0.442817
3,4,N/N,-0.504212
3,5,S/S,0.660699
3,5,N/S,0.294688
3,5,S/N,0.294688
3,5,N/N,0.210352
3,6,S/S,1.668956
3,6,N/S,1.515144
3,6,S/N,1.515144
3,6,N/N,1.527474
3,7,S/S,0.489609
3,7,N/S,0.572081
3,7,S/N,0.572081
3,7,N/N,0.755486
3,8,S/S,1.560429
3,8,N/S,0.923084
3,8,S/N,0.923084
3,8,N/N,1.115244
3,9,S/S,1.729468
3,9,N/S,0.939972
3,9,S/N,0.939972
3,9,N/N,0.766072
3,10,S/S,1.394239
3,10,N/S,1.041619
3,10,S/N,1.041619
3,10,N/N,1.275620
3,11,S/S,0.037342
3,11,N/S,-0.032004
3,11,S/N,-0.032004
3,11,N/N,0.240365
3,12,S/S,1.036841
3,12,N/S,0.871714
3,12,S/N,0.871714
3,12,N/N,0.774667
3,13,S/S,0.909063
3,13,N/S,1.010096
3,13,S/N,1.010096
3,13,N/N,1.304194
3,14,S/S,1.300509
3,14,N/S,0.938561
3,14,S/N,0.938561
3,14,N/N,1.381453
3,15,S/S,0.463869
3,15,N/S,0.218612
3,15,S/N,0.218612
3,15,N/N,0.157401
3,16,S/S,0.871317
3,16,N/S,0.589978
3,16,S/N,0.589978
3,16,N/N,0.545090
3,17,S/S,0.885097
3,17,N/S,0.704773
3,17,S/N,0.704773
3,17,N/N,0.610473
3,18,S/S,0.752053
3,18,N/S,0.504948
3,18,S/N,0.504948
3,18,N/N,0.549576
3,19,S/S,1.030349
3,19,N/S,0.570857
3,19,S/N,0.570857
3,19,N/N,0.346629
3,20,S/S,1.041623
3,20,N/S,0.325903
3,20,S/N,0.325903
3,20,N/N,0.295471
3,21,S/S,2.029844
3,21,N/S,1.655787
3,21,S/N,1.655787
3,21,N/N,1.865074
3,22,S/S,-0.019060
3,22,N/S,-0.016637
3,22,S/N,-0.016637
3,22,N/N,0.266010
3,23,S/S,0.787203
3,23,N/S,1.098386
3,23,S/N,1.098386
3,23,N/N,1.303275
3,24,S/S,1.052482
3,24,N/S,0.778158
3,24,S/N,0.778158
3,24,N/N,0.420981
3,25,S/S,0.649556
3,25,N/S,0.359224
3,25,S/N,0.359224
3,25,N/N,0.532027
4,1,S/S,1.411404
4,1,N/S,0.579375
4,1,S/N,0.579375
4,1,N/N,0.509988
4,2,S/S,1.185053
4,2,N/S,0.813441
4,2,S/N,0.813441
4,2,N/N,0.854575
4,3,S/S,1.047210
4,3,N/S,0.786659
4,3,S/N,0.786659
4,3,N/N,0.891291
4,4,S/S,0.510301
4,4,N/S,-0.056136
4,4,S/N,-0.056136
4,4,N/N,-0.138315
4,5,S/S,0.469444
4,5,N/S,0.022029
4,5,S/N,0.022029
4,5,N/N,0.102409
4,6,S/S,1.464102
4,6,N/S,1.071612
4,6,S/N,1.071612
4,6,N/N,0.950578
4,7,S/S,1.323332
4,7,N/S,0.124761
4,7,S/N,0.124761
4,7,N/N,0.692703
4,8,S/S,0.780792
4,8,N/S,-0.136478
4,8,S/N,-0.136478
4,8,N/N,-0.238039
4,9,S/S,0.861445
4,9,N/S,0.031180
4,9,S/N,0.031180
4,9,N/N,-0.106162
4,10,S/S,1.374736
4,10,N/S,0.589221
4,10,S/N,0.589221
4,10,N/N,1.199530
4,11,S/S,0.497323
4,11,N/S,0.414331
4,11,S/N,0.414331
4,11,N/N,0.507167
