ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.890800
1,1,N/S,1.003570
1,1,S/N,1.003570
1,1,N/N,1.236667
1,2,S/S,1.364615
1,2,N/S,0.843074
1,2,S/N,0.843074
1,2,N/N,0.846981
1,3,S/S,1.610796
1,3,N/S,0.822735
1,3,S/N,0.822735
1,3,N/N,1.106839
1,4,S/S,1.260316
1,4,N/S,0.995920
1,4,S/N,0.995920
1,4,N/N,1.021662
1,5,S/S,1.166829
1,5,N/S,0.536675
1,5,S/N,0.536675
1,5,N/N,0.430922
1,6,S/S,1.585890
1,6,N/S,1.147372
1,6,S/N,1.147372
1,6,N/N,1.451775
1,7,S/S,1.716727
1,7,N/S,1.260944
1,7,S/N,1.260944
1,7,N/N,1.487486
1,8,S/S,0.615652
1,8,N/S,0.400070
1,8,S/N,0.400070
1,8,N/N,0.488094
1,9,S/S,1.976297
1,9,N/S,1.107030
1,9,S/N,1.107030
1,9,N/N,1.495348
1,10,S/S,1.213017
1,10,N/S,0.958242
1,10,S/N,0.958242
1,10,N/N,0.990884
1,11,S/S,2.164019
1,11,N/S,1.868466
1,11,S/N,1.868466
1,11,N/N,2.072473
1,12,S/S,1.686340
1,12,N/S,0.743909
1,12,S/N,0.743909
1,12,N/N,1.257706
1,13,S/S,1.810993
1,13,N/S,1.143316
1,13,S/N,1.143316
1,13,N/N,1.521087
1,14,S/S,0.965517
1,14,N/S,0.669649
1,14,S/N,0.669649
1,14,N/N,0.908510
1,15,S/S,1.030263
1,15,N/S,0.786363
1,15,S/N,0.786363
1,15,N/N,0.820894
1,16,S/S,0.555688
1,16,N/S,0.367034
1,16,S/N,0.367034
1,16,N/N,0.642044
1,17,S/S,1.174316
1,17,N/S,0.697314
1,17,S/N,0.697314
1,17,N/N,0.820486
1,18,S/S,1.066743
1,18,N/S,1.004233
1,18,S/N,1.004233
1,18,N/N,1.250206
1,19,S/S,1.273569
1,19,N/S,0.721668
1,19,S/N,0.721668
1,19,N/N,1.091226
2,1,S/S,1.374728
