ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,0.174739
1,1,N/H,0.125536
1,1,S/E,0.233580
1,1,N/E,0.177958
1,2,S/H,0.296591
1,2,N/H,0.054068
1,2,S/E,0.254002
1,2,N/E,-0.003905
1,3,S/H,0.432489
1,3,N/H,0.473391
1,3,S/E,0.598900
1,3,N/E,0.641874
1,4,S/H,-0.092577
1,4,N/H,0.237402
1,4,S/E,0.065843
1,4,N/E,0.316205
1,5,S/H,0.252043
1,5,N/H,0.292429
1,5,S/E,0.294043
1,5,N/E,0.333845
1,6,S/H,-0.132097
1,6,N/H,-0.082022
1,6,S/E,-0.055353
1,6,N/E,-0.010144
1,7,S/H,0.516856
1,7,N/H,0.492992
1,7,S/E,0.514160
1,7,N/E,0.548629
1,8,S/H,-0.099079
1,8,N/H,0.016978
1,8,S/E,-0.025563
1,8,N/E,0.069054
1,9,S/H,0.069807
1,9,N/H,-0.004156
1,9,S/E,0.000487
1,9,N/E,-0.065527
1,10,S/H,0.320852
1,10,N/H,0.412695
1,10,S/E,0.378898
1,10,N/E,0.479207
1,11,S/H,0.136477
1,11,N/H,0.477779
1,11,S/E,0.246745
1,11,N/E,0.378163
1,12,S/H,0.139153
1,12,N/H,-0.077759
1,12,S/E,0.182390
1,12,N/E,-0.052139
1,13,S/H,0.465741
1,13,N/H,0.493516
1,13,S/E,0.448732
1,13,N/E,0.503081
1,14,S/H,0.541635
1,14,N/H,0.665261
1,14,S/E,0.540771
1,14,N/E,0.660503
1,15,S/H,0.599841
1,15,N/H,0.635640
1,15,S/E,0.667513
1,15,N/E,0.698191
1,16,S/H,0.429613
1,16,N/H,0.444362
1,16,S/E,0.496366
1,16,N/E,0.461617
1,17,S/H,0.573021
1,17,N/H,0.477224
1,17,S/E,0.597641
1,17,N/E,0.487437
1,18,S/H,0.508516
1,18,N/H,0.587223
1,18,S/E,0.492002
1,18,N/E,0.567979
1,19,S/H,0.751276
1,19,N/H,0.829269
1,19,S/E,0.760660
1,19,N/E,0.842229
1,20,S/H,-0.150281
1,20,N/H,0.120560
1,20,S/E,-0.129893
1,20,N/E,0.144884
1,21,S/H,0.803289
1,21,N/H,0.890490
1,21,S/E,0.807728
1,21,N/E,0.894139
1,22,S/H,0.278660
1,22,N/H,0.282867
1,22,S/E,0.290396
1,22,N/E,0.322801
1,23,S/H,0.733959
1,23,N/H,0.526372
1,23,S/E,0.784173
1,23,N/E,0.574908
1,24,S/H,-0.192080
1,24,N/H,-0.012651
1,24,S/E,-0.149318
1,24,N/E,0.019239
1,25,S/H,0.151548
1,25,N/H,0.480533
1,25,S/E,0.210233
1,25,N/E,0.528006
2,1,S/H,0.427627
2,1,N/H,0.693490
2,1,S/E,0.472091
2,1,N/E,0.750169
2,2,S/H,0.096885
2,2,N/H,-0.363075
2,2,S/E,0.136435
2,2,N/E,-0.348278
2,3,S/H,1.281122
2,3,N/H,1.284350
2,3,S/E,1.208503
2,3,N/E,1.171657
2,4,S/H,-0.075126
2,4,N/H,0.569228
