ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,0.053139
1,1,N/H,0.429058
1,1,S/E,0.131625
1,1,N/E,0.479642
1,2,S/H,1.142023
1,2,N/H,1.324071
1,2,S/E,1.101746
1,2,N/E,1.301587
1,3,S/H,0.168044
1,3,N/H,0.128612
1,3,S/E,0.194804
1,3,N/E,0.139652
1,4,S/H,0.388900
1,4,N/H,0.291575
1,4,S/E,0.399082
1,4,N/E,0.269270
1,5,S/H,0.527819
1,5,N/H,0.544524
1,5,S/E,0.536481
1,5,N/E,0.574422
1,6,S/H,0.111097
1,6,N/H,0.299246
1,6,S/E,0.172854
1,6,N/E,0.365624
1,7,S/H,0.328646
1,7,N/H,0.411144
1,7,S/E,0.379187
1,7,N/E,0.456804
1,8,S/H,0.116635
1,8,N/H,0.399705
1,8,S/E,0.142167
1,8,N/E,0.418275
1,9,S/H,0.161449
1,9,N/H,0.194478
1,9,S/E,0.214786
1,9,N/E,0.248430
1,10,S/H,0.583959
1,10,N/H,0.365580
1,10,S/E,0.588992
1,10,N/E,0.415696
1,11,S/H,0.952895
1,11,N/H,1.157904
1,11,S/E,1.070783
1,11,N/E,1.275072
1,12,S/H,0.309432
1,12,N/H,0.527774
1,12,S/E,0.308114
1,12,N/E,0.544245
1,13,S/H,0.894523
1,13,N/H,0.970403
1,13,S/E,0.938548
1,13,N/E,0.959923
1,14,S/H,0.460762
1,14,N/H,0.738718
1,14,S/E,0.520084
1,14,N/E,0.792924
1,15,S/H,0.118272
1,15,N/H,0.096829
1,15,S/E,0.178668
1,15,N/E,0.073114
1,16,S/H,0.064493
1,16,N/H,-0.088640
1,16,S/E,0.071188
1,16,N/E,-0.105160
1,17,S/H,-0.325527
1,17,N/H,-0.347246
1,17,S/E,-0.217616
1,17,N/E,-0.253604
1,18,S/H,0.004163
1,18,N/H,0.379228
1,18,S/E,0.001779
1,18,N/E,0.342353
1,19,S/H,0.271786
1,19,N/H,0.547256
1,19,S/E,0.259024
1,19,N/E,0.502713
2,1,S/H,0.035978
2,1,N/H,0.742580
2,1,S/E,-0.009520
2,1,N/E,0.591539
2,2,S/H,1.009236
2,2,N/H,1.190524
2,2,S/E,1.141004
2,2,N/E,1.416465
2,3,S/H,0.250103
2,3,N/H,0.181127
2,3,S/E,0.321016
2,3,N/E,0.201884
2,4,S/H,-0.487807
2,4,N/H,-0.447463
2,4,S/E,-0.528078
2,4,N/E,-0.614022
2,5,S/H,0.663205
2,5,N/H,0.982806
2,5,S/E,0.637667
2,5,N/E,1.032470
2,6,S/H,0.653943
2,6,N/H,0.856464
2,6,S/E,0.794310
2,6,N/E,1.012261
2,7,S/H,0.857182
2,7,N/H,1.115572
2,7,S/E,0.838653
2,7,N/E,1.053429
2,8,S/H,0.528691
2,8,N/H,0.670231
2,8,S/E,0.594171
2,8,N/E,0.873165
2,9,S/H,0.405656
2,9,N/H,0.674319
2,9,S/E,0.398647
2,9,N/E,0.637163
2,10,S/H,0.741917
2,10,N/H,0.703369
2,10,S/E,0.808713
2,10,N/E,0.774913
2,11,S/H,0.760495
2,11,N/H,0.914702
2,11,S/E,0.966845
2,11,N/E,1.020767
2,12,S/H,0.398175
2,12,N/H,0.337058
2,12,S/E,0.442236
2,12,N/E,0.368752
2,13,S/H,0.573284
2,13,N/H,0.672757
2,13,S/E,0.588450
2,13,N/E,0.611294
2,14,S/H,0.904433
2,14,N/H,1.115557
2,14,S/E,0.928041
2,14,N/E,1.121960
2,15,S/H,-0.441642
2,15,N/H,-0.595472
2,15,S/E,-0.340108
2,15,N/E,-0.568195
2,16,S/H,0.335949
2,16,N/H,0.192385
2,16,S/E,0.279981
2,16,N/E,0.177117
2,17,S/H,0.512767
2,17,N/H,0.628410
2,17,S/E,0.316765
2,17,N/E,0.275109
2,18,S/H,0.213830
2,18,N/H,0.616934
