ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.228889
1,1,E/S,0.239778
1,1,H/N,0.401227
1,1,E/N,0.432130
1,2,H/S,-0.123590
1,2,E/S,0.063131
1,2,H/N,-0.032252
1,2,E/N,0.022074
1,3,H/S,0.254363
1,3,E/S,0.428212
1,3,H/N,0.541624
1,3,E/N,0.671005
1,4,H/S,-0.002647
1,4,E/S,0.122517
1,4,H/N,0.165800
1,4,E/N,0.502998
1,5,H/S,0.239394
1,5,E/S,0.446023
1,5,H/N,0.191870
1,5,E/N,0.399474
1,6,H/S,0.146837
1,6,E/S,0.217777
1,6,H/N,0.132966
1,6,E/N,0.235422
1,7,H/S,-0.030197
1,7,E/S,-0.031130
1,7,H/N,0.246570
1,7,E/N,0.294494
1,8,H/S,0.185904
1,8,E/S,0.227135
1,8,H/N,0.501854
1,8,E/N,0.420236
1,9,H/S,-0.236634
1,9,E/S,-0.234705
1,9,H/N,0.163357
1,9,E/N,0.046104
1,10,H/S,-0.051524
1,10,E/S,0.037605
1,10,H/N,0.170603
1,10,E/N,0.279740
1,11,H/S,0.223864
1,11,E/S,0.068949
1,11,H/N,0.535314
1,11,E/N,0.261137
1,12,H/S,0.450779
1,12,E/S,0.383021
1,12,H/N,0.392189
1,12,E/N,0.406923
1,13,H/S,0.809616
1,13,E/S,0.814617
1,13,H/N,1.103804
1,13,E/N,1.037902
1,14,H/S,0.045344
1,14,E/S,0.090331
1,14,H/N,0.151963
1,14,E/N,0.201120
1,15,H/S,0.726379
1,15,E/S,0.831830
1,15,H/N,0.882714
1,15,E/N,0.932294
1,16,H/S,-0.116147
1,16,E/S,0.062497
1,16,H/N,-0.016265
1,16,E/N,0.095889
1,17,H/S,0.511439
1,17,E/S,0.654180
1,17,H/N,0.653015
1,17,E/N,0.777495
1,18,H/S,-0.185245
1,18,E/S,-0.174338
1,18,H/N,-0.319398
1,18,E/N,-0.247774
1,19,H/S,-0.072313
1,19,E/S,0.006488
1,19,H/N,-0.061675
1,19,E/N,0.035031
1,20,H/S,0.117885
1,20,E/S,0.200686
1,20,H/N,0.246270
1,20,E/N,0.366386
