ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,0.195279
1,1,N/H,0.351059
1,1,S/E,0.241124
1,1,N/E,0.406397
1,2,S/H,0.293173
1,2,N/H,0.496744
1,2,S/E,0.297731
1,2,N/E,0.573145
1,3,S/H,-0.091706
1,3,N/H,0.230263
1,3,S/E,0.015892
1,3,N/E,0.326696
1,4,S/H,0.622306
1,4,N/H,0.591870
1,4,S/E,0.544829
1,4,N/E,0.504034
1,5,S/H,0.205343
1,5,N/H,0.332602
1,5,S/E,0.262682
1,5,N/E,0.420958
1,6,S/H,0.589547
1,6,N/H,0.662267
1,6,S/E,0.426932
1,6,N/E,0.530046
1,7,S/H,0.475595
1,7,N/H,0.779689
1,7,S/E,0.614693
1,7,N/E,0.954491
1,8,S/H,0.109949
1,8,N/H,0.119152
1,8,S/E,0.182270
1,8,N/E,0.192577
1,9,S/H,0.028627
1,9,N/H,0.277074
1,9,S/E,0.050287
1,9,N/E,0.319752
1,10,S/H,0.562717
1,10,N/H,0.632410
1,10,S/E,0.771303
1,10,N/E,0.857688
1,11,S/H,0.119362
1,11,N/H,0.157753
1,11,S/E,0.439755
1,11,N/E,0.437630
1,12,S/H,-0.264150
1,12,N/H,-0.126963
1,12,S/E,-0.192729
1,12,N/E,-0.082512
1,13,S/H,-0.106222
1,13,N/H,0.156754
1,13,S/E,0.112607
1,13,N/E,0.319818
1,14,S/H,0.137979
1,14,N/H,0.581088
1,14,S/E,0.201390
1,14,N/E,0.630941
1,15,S/H,0.025111
1,15,N/H,0.138319
1,15,S/E,0.153997
1,15,N/E,0.214725
1,16,S/H,0.428477
1,16,N/H,0.629125
1,16,S/E,0.626150
1,16,N/E,0.746303
1,17,S/H,0.087625
1,17,N/H,0.315887
1,17,S/E,0.017877
1,17,N/E,0.171069
1,18,S/H,0.509814
1,18,N/H,0.548743
1,18,S/E,0.402028
1,18,N/E,0.372870
1,19,S/H,-0.131609
1,19,N/H,0.022601
1,19,S/E,-0.129709
1,19,N/E,0.028047
2,1,S/H,-0.117244
2,1,N/H,0.247608
2,1,S/E,-0.164902
2,1,N/E,0.158253
2,2,S/H,-0.196307
2,2,N/H,-0.195870
2,2,S/E,-0.024013
2,2,N/E,0.042695
2,3,S/H,0.271882
2,3,N/H,0.319395
2,3,S/E,0.318655
2,3,N/E,0.367879
2,4,S/H,0.108075
2,4,N/H,0.162837
2,4,S/E,0.247620
2,4,N/E,0.346217
2,5,S/H,0.257258
2,5,N/H,0.527489
2,5,S/E,0.370630
2,5,N/E,0.731822
2,6,S/H,0.172773
2,6,N/H,0.514432
2,6,S/E,0.115550
2,6,N/E,0.537242
2,7,S/H,0.032619
2,7,N/H,0.195209
2,7,S/E,0.113320
2,7,N/E,0.259303
2,8,S/H,-0.035385
2,8,N/H,0.182442
2,8,S/E,-0.068200
2,8,N/E,0.226932
2,9,S/H,-0.251660
2,9,N/H,0.699013
2,9,S/E,-0.309352
2,9,N/E,0.650998
2,10,S/H,0.141851
2,10,N/H,-0.242841
2,10,S/E,0.232947
2,10,N/E,-0.156573
2,11,S/H,-0.449375
2,11,N/H,-0.341942
2,11,S/E,-0.208089
2,11,N/E,-0.112153
2,12,S/H,-0.377288
2,12,N/H,-0.271721
2,12,S/E,-0.311746
2,12,N/E,-0.168991
2,13,S/H,-0.441087
2,13,N/H,-0.136355
2,13,S/E,-0.308647
2,13,N/E,-0.010095
2,14,S/H,0.307643
2,14,N/H,0.589040
2,14,S/E,0.313878
2,14,N/E,0.436405
2,15,S/H,0.049624
2,15,N/H,0.608818
2,15,S/E,0.051481
2,15,N/E,0.479980
2,16,S/H,0.015497
2,16,N/H,0.158002
2,16,S/E,0.059228
2,16,N/E,-0.117292
2,17,S/H,-0.367068
2,17,N/H,0.077860
2,17,S/E,-0.275977
2,17,N/E,-0.122060
2,18,S/H,-0.179745
2,18,N/H,0.013771
2,18,S/E,-0.140788
2,18,N/E,-0.120267
2,19,S/H,-0.437110
2,19,N/H,-0.204685
2,19,S/E,-0.431271
2,19,N/E,-0.149757
3,1,S/H,0.054446
3,1,N/H,0.171499
3,1,S/E,0.158617
3,1,N/E,0.285954
3,2,S/H,-0.218535
3,2,N/H,-0.252286
3,2,S/E,-0.138806
3,2,N/E,-0.108990
3,3,S/H,-0.072871
3,3,N/H,0.316206
3,3,S/E,0.071390
3,3,N/E,0.415739
3,4,S/H,0.374682
3,4,N/H,0.348555
3,4,S/E,0.257609
3,4,N/E,0.234972
3,5,S/H,0.823290
3,5,N/H,0.343429
3,5,S/E,0.792676
3,5,N/E,0.464480
3,6,S/H,0.624250
3,6,N/H,0.594073
3,6,S/E,0.585126
3,6,N/E,0.544699
3,7,S/H,-0.259207
3,7,N/H,-0.140098
3,7,S/E,-0.043553
3,7,N/E,0.123813
3,8,S/H,-0.232892
3,8,N/H,0.519107
3,8,S/E,-0.131021
3,8,N/E,0.232251
3,9,S/H,0.251628
3,9,N/H,0.294187
3,9,S/E,0.270139
3,9,N/E,0.318422
3,10,S/H,0.083380
3,10,N/H,-0.054544
3,10,S/E,0.112358
3,10,N/E,-0.020715
3,11,S/H,1.192024
3,11,N/H,1.197232
3,11,S/E,1.224105
3,11,N/E,1.262684
3,12,S/H,-0.043065
3,12,N/H,-0.448727
3,12,S/E,-0.186238
3,12,N/E,-0.529550
3,13,S/H,0.114036
3,13,N/H,1.236897
3,13,S/E,0.186795
3,13,N/E,1.296411
3,14,S/H,0.530133
3,14,N/H,0.788111
3,14,S/E,0.648280
3,14,N/E,0.851445
3,15,S/H,0.804982
3,15,N/H,0.118136
3,15,S/E,0.952651
3,15,N/E,0.015145
3,16,S/H,-0.480821
3,16,N/H,-0.631773
3,16,S/E,-0.342289
3,16,N/E,-0.516233
3,17,S/H,-0.100320
3,17,N/H,-0.105077
3,17,S/E,-0.038832
3,17,N/E,-0.088991
3,18,S/H,0.852411
3,18,N/H,0.857967
3,18,S/E,0.426153
3,18,N/E,0.475608
3,19,S/H,0.154514
3,19,N/H,0.406128
3,19,S/E,0.231561
3,19,N/E,0.304055
4,1,S/H,-0.128478
4,1,N/H,0.894532
4,1,S/E,-0.130752
4,1,N/E,0.884800
4,2,S/H,0.806330
4,2,N/H,1.219410
4,2,S/E,0.911607
4,2,N/E,1.439924
4,3,S/H,0.491286
4,3,N/H,0.762926
4,3,S/E,0.542156
4,3,N/E,0.772098
4,4,S/H,-0.122512
4,4,N/H,0.160796
4,4,S/E,-0.069533
4,4,N/E,0.147231
4,5,S/H,0.489697
4,5,N/H,0.375986
4,5,S/E,0.404201
4,5,N/E,0.303188
4,6,S/H,0.496166
4,6,N/H,0.350112
4,6,S/E,0.355567
4,6,N/E,0.553558
4,7,S/H,0.320545
4,7,N/H,0.707794
4,7,S/E,0.435024
4,7,N/E,0.800411
4,8,S/H,0.059249
4,8,N/H,0.523626
4,8,S/E,0.096665
4,8,N/E,0.640690
4,9,S/H,-0.477751
4,9,N/H,-0.204599
4,9,S/E,-0.602139
4,9,N/E,-0.259651
4,10,S/H,-0.050953
4,10,N/H,-0.312424
4,10,S/E,-0.034657
4,10,N/E,-0.290996
4,11,S/H,0.520100
4,11,N/H,0.825395
4,11,S/E,0.573540
4,11,N/E,0.893390
4,12,S/H,-0.445910
4,12,N/H,-0.020294
4,12,S/E,-0.359681
4,12,N/E,0.092739
4,13,S/H,0.293168
4,13,N/H,0.480736
4,13,S/E,0.465730
4,13,N/E,0.681913
4,14,S/H,-0.113799
4,14,N/H,0.795178
4,14,S/E,-0.104456
4,14,N/E,0.755559
4,15,S/H,0.045745
4,15,N/H,0.529181
4,15,S/E,0.008799
4,15,N/E,0.509041
4,16,S/H,0.732915
4,16,N/H,0.544461
4,16,S/E,0.670840
4,16,N/E,0.546328
4,17,S/H,-0.206362
4,17,N/H,0.193804
4,17,S/E,-0.425338
4,17,N/E,0.086513
4,18,S/H,-0.242694
4,18,N/H,0.203181
4,18,S/E,-0.273670
4,18,N/E,0.130432
4,19,S/H,0.321587
4,19,N/H,0.417612
4,19,S/E,0.362841
4,19,N/E,0.469017
5,1,S/H,0.800148
5,1,N/H,1.157831
5,1,S/E,0.801498
5,1,N/E,1.183371
5,2,S/H,0.511724
5,2,N/H,0.695033
5,2,S/E,0.495158
5,2,N/E,0.699205
5,3,S/H,0.994580
