ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/crit_CODE,1.000743
1,1,E/crit_CODE,0.955990
1,1,H/crit_VERB,1.100709
1,1,E/crit_VERB,1.010205
1,2,H/crit_CODE,1.410520
1,2,E/crit_CODE,1.377687
1,2,H/crit_VERB,1.023719
1,2,E/crit_VERB,0.997779
1,3,H/crit_CODE,0.734210
1,3,E/crit_CODE,0.740497
1,3,H/crit_VERB,0.267801
1,3,E/crit_VERB,0.283720
1,4,H/crit_CODE,0.972586
1,4,E/crit_CODE,0.846872
1,4,H/crit_VERB,0.208036
1,4,E/crit_VERB,0.138405
1,5,H/crit_CODE,1.282610
1,5,E/crit_CODE,1.240026
1,5,H/crit_VERB,0.675266
1,5,E/crit_VERB,0.673919
1,6,H/crit_CODE,0.949770
1,6,E/crit_CODE,0.867544
1,6,H/crit_VERB,-0.003728
1,6,E/crit_VERB,-0.028740
1,7,H/crit_CODE,1.262005
1,7,E/crit_CODE,1.253323
1,7,H/crit_VERB,0.679580
1,7,E/crit_VERB,0.724726
1,8,H/crit_CODE,1.222746
1,8,E/crit_CODE,1.173457
1,8,H/crit_VERB,0.267195
1,8,E/crit_VERB,0.292870
1,9,H/crit_CODE,1.073799
1,9,E/crit_CODE,1.014433
1,9,H/crit_VERB,0.672550
1,9,E/crit_VERB,0.704567
1,10,H/crit_CODE,0.941106
1,10,E/crit_CODE,0.983263
1,10,H/crit_VERB,0.527736
1,10,E/crit_VERB,0.599557
1,11,H/crit_CODE,1.322621
1,11,E/crit_CODE,1.365414
1,11,H/crit_VERB,0.939971
1,11,E/crit_VERB,0.957778
1,12,H/crit_CODE,0.324094
1,12,E/crit_CODE,0.269093
1,12,H/crit_VERB,0.531865
1,12,E/crit_VERB,0.587079
1,13,H/crit_CODE,0.969103
1,13,E/crit_CODE,0.963135
1,13,H/crit_VERB,0.882665
1,13,E/crit_VERB,0.884672
1,14,H/crit_CODE,0.942114
1,14,E/crit_CODE,0.911510
1,14,H/crit_VERB,0.648232
1,14,E/crit_VERB,0.693454
1,15,H/crit_CODE,1.143793
1,15,E/crit_CODE,0.920100
1,15,H/crit_VERB,0.559609
1,15,E/crit_VERB,0.488736
1,16,H/crit_CODE,1.306812
1,16,E/crit_CODE,1.345297
1,16,H/crit_VERB,1.042943
1,16,E/crit_VERB,1.099822
1,17,H/crit_CODE,0.896587
1,17,E/crit_CODE,0.839257
1,17,H/crit_VERB,0.608989
1,17,E/crit_VERB,0.530246
1,18,H/crit_CODE,0.649851
1,18,E/crit_CODE,0.624600
1,18,H/crit_VERB,0.820618
1,18,E/crit_VERB,0.846682
1,19,H/crit_CODE,0.861712
1,19,E/crit_CODE,0.872662
1,19,H/crit_VERB,0.555445
1,19,E/crit_VERB,0.583276
2,1,H/crit_CODE,1.576585
2,1,E/crit_CODE,1.346392
2,1,H/crit_VERB,1.364605
2,1,E/crit_VERB,1.140348
2,2,H/crit_CODE,1.460638
2,2,E/crit_CODE,1.235967
2,2,H/crit_VERB,0.848184
2,2,E/crit_VERB,0.824196
2,3,H/crit_CODE,1.045766
2,3,E/crit_CODE,0.950591
2,3,H/crit_VERB,0.160095
2,3,E/crit_VERB,0.250743
2,4,H/crit_CODE,0.629990
2,4,E/crit_CODE,0.378188
2,4,H/crit_VERB,-0.128667
2,4,E/crit_VERB,-0.233605
2,5,H/crit_CODE,1.518252
2,5,E/crit_CODE,1.572749
2,5,H/crit_VERB,1.087804
2,5,E/crit_VERB,1.177522
2,6,H/crit_CODE,1.319868
2,6,E/crit_CODE,1.171256
2,6,H/crit_VERB,0.625286
2,6,E/crit_VERB,0.493774
2,7,H/crit_CODE,1.654496
2,7,E/crit_CODE,1.505591
2,7,H/crit_VERB,0.684503
2,7,E/crit_VERB,0.703613
2,8,H/crit_CODE,1.136139
2,8,E/crit_CODE,1.265503
2,8,H/crit_VERB,0.424380
2,8,E/crit_VERB,0.432051
2,9,H/crit_CODE,1.414450
2,9,E/crit_CODE,1.241958
2,9,H/crit_VERB,0.893922
2,9,E/crit_VERB,0.797510
2,10,H/crit_CODE,1.328017
2,10,E/crit_CODE,1.311385
2,10,H/crit_VERB,1.398942
2,10,E/crit_VERB,1.310349
2,11,H/crit_CODE,1.076530
2,11,E/crit_CODE,1.224414
2,11,H/crit_VERB,0.630832
2,11,E/crit_VERB,0.668567
2,12,H/crit_CODE,0.496676
2,12,E/crit_CODE,0.509476
2,12,H/crit_VERB,-0.045533
2,12,E/crit_VERB,-0.068953
2,13,H/crit_CODE,0.496228
2,13,E/crit_CODE,0.446956
2,13,H/crit_VERB,0.258783
2,13,E/crit_VERB,0.183175
2,14,H/crit_CODE,1.265602
2,14,E/crit_CODE,1.233961
2,14,H/crit_VERB,0.581190
2,14,E/crit_VERB,0.629915
2,15,H/crit_CODE,1.184019
2,15,E/crit_CODE,0.868205
2,15,H/crit_VERB,0.678320
2,15,E/crit_VERB,0.494258
2,16,H/crit_CODE,1.476581
2,16,E/crit_CODE,1.371002
2,16,H/crit_VERB,1.338551
2,16,E/crit_VERB,1.351316
2,17,H/crit_CODE,1.246833
2,17,E/crit_CODE,0.620412
2,17,H/crit_VERB,0.863386
2,17,E/crit_VERB,0.397963
2,18,H/crit_CODE,0.828215
2,18,E/crit_CODE,0.849493
2,18,H/crit_VERB,0.795555
2,18,E/crit_VERB,0.971790
2,19,H/crit_CODE,0.917539
2,19,E/crit_CODE,0.770651
2,19,H/crit_VERB,0.588188
2,19,E/crit_VERB,0.545366
3,1,H/crit_CODE,1.030268
3,1,E/crit_CODE,0.896520
3,1,H/crit_VERB,0.758054
3,1,E/crit_VERB,0.697598
3,2,H/crit_CODE,1.178483
3,2,E/crit_CODE,1.123052
3,2,H/crit_VERB,0.663957
3,2,E/crit_VERB,0.682776
3,3,H/crit_CODE,0.827728
3,3,E/crit_CODE,0.654401
3,3,H/crit_VERB,0.442385
3,3,E/crit_VERB,0.371816
3,4,H/crit_CODE,0.862278
3,4,E/crit_CODE,0.631488
3,4,H/crit_VERB,0.345177
3,4,E/crit_VERB,0.216367
3,5,H/crit_CODE,1.010693
3,5,E/crit_CODE,1.022606
3,5,H/crit_VERB,0.523628
3,5,E/crit_VERB,0.599915
3,6,H/crit_CODE,0.997564
3,6,E/crit_CODE,0.869200
3,6,H/crit_VERB,0.551560
3,6,E/crit_VERB,0.477758
3,7,H/crit_CODE,0.832337
3,7,E/crit_CODE,1.202193
3,7,H/crit_VERB,0.381506
3,7,E/crit_VERB,0.510664
3,8,H/crit_CODE,1.235028
3,8,E/crit_CODE,1.150328
3,8,H/crit_VERB,0.129219
3,8,E/crit_VERB,0.159234
3,9,H/crit_CODE,1.276505
3,9,E/crit_CODE,1.261291
3,9,H/crit_VERB,0.506745
3,9,E/crit_VERB,0.441167
3,10,H/crit_CODE,0.725755
3,10,E/crit_CODE,0.838044
3,10,H/crit_VERB,0.444760
3,10,E/crit_VERB,0.658875
3,11,H/crit_CODE,1.154434
3,11,E/crit_CODE,1.083072
3,11,H/crit_VERB,0.670932
3,11,E/crit_VERB,0.639456
3,12,H/crit_CODE,0.017434
3,12,E/crit_CODE,0.004138
3,12,H/crit_VERB,-0.282917
3,12,E/crit_VERB,-0.196474
3,13,H/crit_CODE,0.798478
3,13,E/crit_CODE,0.707420
3,13,H/crit_VERB,0.309288
3,13,E/crit_VERB,0.246435
3,14,H/crit_CODE,1.156633
3,14,E/crit_CODE,1.008117
3,14,H/crit_VERB,0.502807
3,14,E/crit_VERB,0.448448
3,15,H/crit_CODE,1.376217
