ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/crit_CODE,0.355969
1,1,E/crit_CODE,0.364588
1,1,H/crit_VERB,0.204221
1,1,E/crit_VERB,0.221934
1,2,H/crit_CODE,0.485346
1,2,E/crit_CODE,0.342912
1,2,H/crit_VERB,-0.185745
1,2,E/crit_VERB,-0.159144
1,3,H/crit_CODE,0.394085
1,3,E/crit_CODE,0.461517
1,3,H/crit_VERB,-0.113016
1,3,E/crit_VERB,-0.008058
1,4,H/crit_CODE,0.674036
1,4,E/crit_CODE,0.549058
1,4,H/crit_VERB,0.562163
1,4,E/crit_VERB,0.480377
1,5,H/crit_CODE,0.648071
1,5,E/crit_CODE,0.631548
1,5,H/crit_VERB,-0.050055
1,5,E/crit_VERB,0.167359
1,6,H/crit_CODE,0.174905
1,6,E/crit_CODE,0.051007
1,6,H/crit_VERB,0.160325
1,6,E/crit_VERB,0.006476
1,7,H/crit_CODE,0.838289
1,7,E/crit_CODE,0.996581
1,7,H/crit_VERB,0.204568
1,7,E/crit_VERB,0.356287
1,8,H/crit_CODE,0.500868
1,8,E/crit_CODE,0.478100
1,8,H/crit_VERB,-0.005677
1,8,E/crit_VERB,0.087292
1,9,H/crit_CODE,0.150982
1,9,E/crit_CODE,0.192342
1,9,H/crit_VERB,-0.195291
1,9,E/crit_VERB,-0.171922
1,10,H/crit_CODE,0.306524
1,10,E/crit_CODE,0.290166
1,10,H/crit_VERB,-0.051946
1,10,E/crit_VERB,0.089234
1,11,H/crit_CODE,0.309460
1,11,E/crit_CODE,0.684029
1,11,H/crit_VERB,0.033154
1,11,E/crit_VERB,0.426594
1,12,H/crit_CODE,0.345906
1,12,E/crit_CODE,0.247769
1,12,H/crit_VERB,-0.463495
1,12,E/crit_VERB,-0.314074
1,13,H/crit_CODE,0.043887
1,13,E/crit_CODE,0.186894
1,13,H/crit_VERB,-0.181322
1,13,E/crit_VERB,-0.011980
1,14,H/crit_CODE,0.031515
1,14,E/crit_CODE,0.006759
1,14,H/crit_VERB,-0.623336
1,14,E/crit_VERB,-0.630938
1,15,H/crit_CODE,0.455463
1,15,E/crit_CODE,0.377542
1,15,H/crit_VERB,-0.119394
1,15,E/crit_VERB,-0.062462
1,16,H/crit_CODE,0.609716
1,16,E/crit_CODE,0.499919
1,16,H/crit_VERB,0.227580
1,16,E/crit_VERB,0.294984
1,17,H/crit_CODE,0.295906
1,17,E/crit_CODE,0.054893
1,17,H/crit_VERB,-0.059353
1,17,E/crit_VERB,-0.261279
1,18,H/crit_CODE,0.317767
1,18,E/crit_CODE,0.146982
1,18,H/crit_VERB,0.177238
1,18,E/crit_VERB,0.097120
1,19,H/crit_CODE,0.404064
1,19,E/crit_CODE,0.417963
1,19,H/crit_VERB,-0.094949
1,19,E/crit_VERB,-0.080291
2,1,H/crit_CODE,0.480001
2,1,E/crit_CODE,0.544827
2,1,H/crit_VERB,0.165279
2,1,E/crit_VERB,0.166338
2,2,H/crit_CODE,0.728854
2,2,E/crit_CODE,0.511475
2,2,H/crit_VERB,-0.013944
2,2,E/crit_VERB,0.099904
2,3,H/crit_CODE,0.526848
2,3,E/crit_CODE,0.324816
2,3,H/crit_VERB,0.437837
2,3,E/crit_VERB,0.345670
2,4,H/crit_CODE,0.421761
2,4,E/crit_CODE,0.462095
2,4,H/crit_VERB,0.109197
2,4,E/crit_VERB,0.210871
2,5,H/crit_CODE,1.092727
2,5,E/crit_CODE,1.063160
2,5,H/crit_VERB,0.214676
2,5,E/crit_VERB,0.395586
2,6,H/crit_CODE,0.774292
2,6,E/crit_CODE,0.688476
2,6,H/crit_VERB,0.332105
2,6,E/crit_VERB,0.216836
2,7,H/crit_CODE,0.144673
2,7,E/crit_CODE,0.102986
2,7,H/crit_VERB,-0.108839
2,7,E/crit_VERB,-0.046776
2,8,H/crit_CODE,0.068797
2,8,E/crit_CODE,0.038997
2,8,H/crit_VERB,-0.157373
2,8,E/crit_VERB,-0.221107
2,9,H/crit_CODE,0.602074
2,9,E/crit_CODE,0.567143
2,9,H/crit_VERB,-0.144287
2,9,E/crit_VERB,-0.200994
