ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/crit_CODE,0.110401
1,1,E/crit_CODE,0.034198
1,1,H/crit_VERB,-0.067270
1,1,E/crit_VERB,-0.062393
1,2,H/crit_CODE,-0.021449
1,2,E/crit_CODE,-0.117639
1,2,H/crit_VERB,-0.456800
1,2,E/crit_VERB,-0.480045
1,3,H/crit_CODE,0.602906
1,3,E/crit_CODE,0.610204
1,3,H/crit_VERB,0.194954
1,3,E/crit_VERB,0.278930
1,4,H/crit_CODE,0.506352
1,4,E/crit_CODE,0.432470
1,4,H/crit_VERB,0.405376
1,4,E/crit_VERB,0.337993
1,5,H/crit_CODE,0.384649
1,5,E/crit_CODE,0.475680
1,5,H/crit_VERB,-0.374800
1,5,E/crit_VERB,-0.145717
1,6,H/crit_CODE,-0.454024
1,6,E/crit_CODE,-0.561381
1,6,H/crit_VERB,-0.391226
1,6,E/crit_VERB,-0.505699
1,7,H/crit_CODE,0.298920
1,7,E/crit_CODE,0.443729
1,7,H/crit_VERB,-0.056894
1,7,E/crit_VERB,0.091077
1,8,H/crit_CODE,0.022610
1,8,E/crit_CODE,0.022750
1,8,H/crit_VERB,-0.161752
1,8,E/crit_VERB,-0.075741
1,9,H/crit_CODE,-0.291425
1,9,E/crit_CODE,-0.288575
1,9,H/crit_VERB,-0.347060
1,9,E/crit_VERB,-0.366911
1,10,H/crit_CODE,0.028575
1,10,E/crit_CODE,-0.085262
1,10,H/crit_VERB,-0.326030
1,10,E/crit_VERB,-0.219230
1,11,H/crit_CODE,0.150705
1,11,E/crit_CODE,0.463342
1,11,H/crit_VERB,-0.170607
1,11,E/crit_VERB,0.147504
1,12,H/crit_CODE,-0.096368
1,12,E/crit_CODE,-0.144327
1,12,H/crit_VERB,-0.478112
1,12,E/crit_VERB,-0.450807
1,13,H/crit_CODE,-0.181621
1,13,E/crit_CODE,-0.082409
1,13,H/crit_VERB,-0.233766
1,13,E/crit_VERB,-0.153200
1,14,H/crit_CODE,0.069259
1,14,E/crit_CODE,0.047251
1,14,H/crit_VERB,-0.438490
1,14,E/crit_VERB,-0.448942
1,15,H/crit_CODE,0.152681
1,15,E/crit_CODE,0.108752
1,15,H/crit_VERB,-0.090148
1,15,E/crit_VERB,-0.052059
1,16,H/crit_CODE,-0.002654
1,16,E/crit_CODE,-0.138584
1,16,H/crit_VERB,-0.198149
1,16,E/crit_VERB,-0.261569
1,17,H/crit_CODE,-0.117274
1,17,E/crit_CODE,-0.339808
1,17,H/crit_VERB,-0.297950
1,17,E/crit_VERB,-0.511567
1,18,H/crit_CODE,0.152158
1,18,E/crit_CODE,0.072578
1,18,H/crit_VERB,-0.109946
1,18,E/crit_VERB,-0.008931
1,19,H/crit_CODE,0.006690
1,19,E/crit_CODE,0.055983
1,19,H/crit_VERB,-0.226091
1,19,E/crit_VERB,-0.189122
2,1,H/crit_CODE,0.023414
2,1,E/crit_CODE,0.089375
2,1,H/crit_VERB,-0.068747
2,1,E/crit_VERB,-0.025779
2,2,H/crit_CODE,0.024997
2,2,E/crit_CODE,0.054320
2,2,H/crit_VERB,-0.252680
2,2,E/crit_VERB,-0.084440
2,3,H/crit_CODE,0.398047
2,3,E/crit_CODE,0.210759
2,3,H/crit_VERB,0.566103
2,3,E/crit_VERB,0.428176
2,4,H/crit_CODE,0.294399
2,4,E/crit_CODE,0.308539
2,4,H/crit_VERB,-0.060783
2,4,E/crit_VERB,-0.136670
2,5,H/crit_CODE,0.619728
2,5,E/crit_CODE,0.720606
2,5,H/crit_VERB,0.065119
2,5,E/crit_VERB,0.241832
2,6,H/crit_CODE,-0.107134
2,6,E/crit_CODE,-0.167931
2,6,H/crit_VERB,-0.380844
2,6,E/crit_VERB,-0.373172
2,7,H/crit_CODE,-0.126426
2,7,E/crit_CODE,0.092596
2,7,H/crit_VERB,-0.214135
2,7,E/crit_VERB,0.006872
2,8,H/crit_CODE,-0.102891
2,8,E/crit_CODE,-0.038817
2,8,H/crit_VERB,-0.313277
2,8,E/crit_VERB,-0.267534
2,9,H/crit_CODE,0.369733
2,9,E/crit_CODE,0.351692
2,9,H/crit_VERB,0.225793
2,9,E/crit_VERB,0.153149
2,10,H/crit_CODE,0.492055
2,10,E/crit_CODE,0.414084
2,10,H/crit_VERB,-0.540434
2,10,E/crit_VERB,-0.362005
2,11,H/crit_CODE,-0.090763
2,11,E/crit_CODE,0.046207
2,11,H/crit_VERB,-0.537875
2,11,E/crit_VERB,-0.328242
2,12,H/crit_CODE,-0.093193
2,12,E/crit_CODE,-0.100177
2,12,H/crit_VERB,0.214185
2,12,E/crit_VERB,0.154982
2,13,H/crit_CODE,0.152800
2,13,E/crit_CODE,0.079604
2,13,H/crit_VERB,0.012068
2,13,E/crit_VERB,0.007598
2,14,H/crit_CODE,0.756704
2,14,E/crit_CODE,0.776589
2,14,H/crit_VERB,0.138163
2,14,E/crit_VERB,0.308183
2,15,H/crit_CODE,0.358444
2,15,E/crit_CODE,0.319677
2,15,H/crit_VERB,0.152017
2,15,E/crit_VERB,0.126332
2,16,H/crit_CODE,0.321951
2,16,E/crit_CODE,0.107340
2,16,H/crit_VERB,-0.045287
2,16,E/crit_VERB,0.226142
2,17,H/crit_CODE,-0.246705
2,17,E/crit_CODE,-0.411710
2,17,H/crit_VERB,-0.278714
2,17,E/crit_VERB,-0.355396
2,18,H/crit_CODE,0.168775
2,18,E/crit_CODE,0.145334
2,18,H/crit_VERB,0.097960
2,18,E/crit_VERB,0.185457
2,19,H/crit_CODE,0.093508
2,19,E/crit_CODE,0.101377
2,19,H/crit_VERB,-0.286003
2,19,E/crit_VERB,-0.198795
3,1,H/crit_CODE,-0.338418
3,1,E/crit_CODE,-0.273375
3,1,H/crit_VERB,-0.440844
3,1,E/crit_VERB,-0.412755
3,2,H/crit_CODE,0.954649
3,2,E/crit_CODE,0.823210
3,2,H/crit_VERB,0.059326
3,2,E/crit_VERB,0.053271
3,3,H/crit_CODE,0.717121
3,3,E/crit_CODE,0.639343
3,3,H/crit_VERB,0.526603
3,3,E/crit_VERB,0.569370
3,4,H/crit_CODE,0.070560
3,4,E/crit_CODE,0.104129
3,4,H/crit_VERB,-0.369012
3,4,E/crit_VERB,-0.257523
3,5,H/crit_CODE,0.060199
3,5,E/crit_CODE,-0.013873
3,5,H/crit_VERB,-0.697953
3,5,E/crit_VERB,-0.610758
3,6,H/crit_CODE,-0.452322
3,6,E/crit_CODE,-0.449947
3,6,H/crit_VERB,-0.344327
3,6,E/crit_VERB,-0.334261
3,7,H/crit_CODE,-0.358882
3,7,E/crit_CODE,-0.209809
3,7,H/crit_VERB,-0.737776
3,7,E/crit_VERB,-0.435122
3,8,H/crit_CODE,0.022817
3,8,E/crit_CODE,-0.011092
3,8,H/crit_VERB,-0.302859
3,8,E/crit_VERB,-0.208960
3,9,H/crit_CODE,-0.384321
3,9,E/crit_CODE,-0.329681
3,9,H/crit_VERB,-0.425095
3,9,E/crit_VERB,-0.379307
3,10,H/crit_CODE,0.145020
3,10,E/crit_CODE,0.139363
3,10,H/crit_VERB,-0.504880
3,10,E/crit_VERB,-0.545026
3,11,H/crit_CODE,0.603543
3,11,E/crit_CODE,0.682155
3,11,H/crit_VERB,-0.110903
3,11,E/crit_VERB,-0.092190
3,12,H/crit_CODE,-0.115967
3,12,E/crit_CODE,-0.046158
3,12,H/crit_VERB,-0.634118
3,12,E/crit_VERB,-0.477621
3,13,H/crit_CODE,-0.002078
3,13,E/crit_CODE,-0.063325
3,13,H/crit_VERB,0.160386
3,13,E/crit_VERB,0.077710
3,14,H/crit_CODE,0.403002
3,14,E/crit_CODE,0.389887
3,14,H/crit_VERB,-0.289864
3,14,E/crit_VERB,-0.342480
3,15,H/crit_CODE,-0.804012
3,15,E/crit_CODE,-0.841178
3,15,H/crit_VERB,-0.527886
3,15,E/crit_VERB,-0.582055
3,16,H/crit_CODE,0.840960
3,16,E/crit_CODE,0.718576
3,16,H/crit_VERB,0.555479
3,16,E/crit_VERB,0.499505
3,17,H/crit_CODE,0.072396
3,17,E/crit_CODE,-0.096182
3,17,H/crit_VERB,-0.146936
3,17,E/crit_VERB,-0.111575
3,18,H/crit_CODE,0.147978
3,18,E/crit_CODE,-0.025548
3,18,H/crit_VERB,-0.604017
3,18,E/crit_VERB,-0.009711
3,19,H/crit_CODE,-0.026649
3,19,E/crit_CODE,-0.057028
3,19,H/crit_VERB,-0.693460
3,19,E/crit_VERB,-0.698184
4,1,H/crit_CODE,0.843004
4,1,E/crit_CODE,0.781107
4,1,H/crit_VERB,0.157194
4,1,E/crit_VERB,0.119452
4,2,H/crit_CODE,0.883840
4,2,E/crit_CODE,0.962352
4,2,H/crit_VERB,-0.011404
4,2,E/crit_VERB,0.037824
4,3,H/crit_CODE,0.873050
4,3,E/crit_CODE,0.700784
4,3,H/crit_VERB,0.681418
4,3,E/crit_VERB,0.647821
4,4,H/crit_CODE,0.860225
4,4,E/crit_CODE,0.714330
4,4,H/crit_VERB,0.490842
4,4,E/crit_VERB,0.285394
4,5,H/crit_CODE,0.853431
4,5,E/crit_CODE,0.799019
4,5,H/crit_VERB,0.035288
4,5,E/crit_VERB,0.098938
4,6,H/crit_CODE,0.738184
4,6,E/crit_CODE,0.566588
4,6,H/crit_VERB,0.528368
4,6,E/crit_VERB,0.394200
4,7,H/crit_CODE,0.634194
4,7,E/crit_CODE,0.680770
4,7,H/crit_VERB,0.285225
4,7,E/crit_VERB,0.340803
4,8,H/crit_CODE,0.636892
4,8,E/crit_CODE,0.572325
4,8,H/crit_VERB,0.220677
4,8,E/crit_VERB,0.211088
4,9,H/crit_CODE,0.074169
4,9,E/crit_CODE,-0.013058
4,9,H/crit_VERB,-0.147424
4,9,E/crit_VERB,-0.237575
4,10,H/crit_CODE,0.476499
4,10,E/crit_CODE,0.485479
4,10,H/crit_VERB,0.010795
4,10,E/crit_VERB,0.044377
4,11,H/crit_CODE,0.711548
4,11,E/crit_CODE,0.700394
4,11,H/crit_VERB,0.006748
4,11,E/crit_VERB,0.008828
4,12,H/crit_CODE,-0.175873
4,12,E/crit_CODE,-0.233668
4,12,H/crit_VERB,-0.153123
4,12,E/crit_VERB,-0.020199
4,13,H/crit_CODE,0.235149
4,13,E/crit_CODE,0.234059
4,13,H/crit_VERB,0.177437
