ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,1.238086
1,1,E/en,1.238314
1,1,H/jap,1.186378
1,1,E/jap,1.197678
1,1,H/sent,1.049174
1,1,E/sent,1.093957
1,2,H/en,0.957183
1,2,E/en,0.985952
1,2,H/jap,0.864223
1,2,E/jap,0.898298
1,2,H/sent,0.711842
1,2,E/sent,0.732538
1,3,H/en,0.840767
1,3,E/en,1.018211
1,3,H/jap,1.020399
1,3,E/jap,1.153718
1,3,H/sent,0.642137
1,3,E/sent,0.804261
1,4,H/en,0.673023
1,4,E/en,0.671098
1,4,H/jap,0.743315
1,4,E/jap,0.806897
1,4,H/sent,0.606474
1,4,E/sent,0.645767
1,5,H/en,1.498130
1,5,E/en,1.566260
1,5,H/jap,1.529436
1,5,E/jap,1.605555
1,5,H/sent,1.208463
1,5,E/sent,1.294987
1,6,H/en,1.328646
1,6,E/en,1.188209
1,6,H/jap,1.391069
1,6,E/jap,1.210910
1,6,H/sent,1.138547
1,6,E/sent,1.173718
1,7,H/en,1.593004
1,7,E/en,1.438941
1,7,H/jap,1.544977
1,7,E/jap,1.446399
1,7,H/sent,1.508343
1,7,E/sent,1.295206
1,8,H/en,0.993461
1,8,E/en,1.023665
1,8,H/jap,0.869051
1,8,E/jap,0.900648
1,8,H/sent,0.578575
1,8,E/sent,0.649449
1,9,H/en,1.205989
1,9,E/en,1.143038
1,9,H/jap,1.180131
1,9,E/jap,1.165536
1,9,H/sent,1.084006
1,9,E/sent,1.017487
1,10,H/en,1.226333
1,10,E/en,1.261225
1,10,H/jap,1.254774
1,10,E/jap,1.269520
1,10,H/sent,0.963092
1,10,E/sent,1.011308
1,11,H/en,1.178010
1,11,E/en,0.889624
1,11,H/jap,1.260892
1,11,E/jap,1.015749
1,11,H/sent,0.796365
1,11,E/sent,0.616984
1,12,H/en,1.457630
1,12,E/en,1.305603
1,12,H/jap,1.427395
1,12,E/jap,1.278725
1,12,H/sent,1.179539
1,12,E/sent,1.107027
1,13,H/en,1.048445
1,13,E/en,1.001439
1,13,H/jap,1.019880
1,13,E/jap,0.995428
1,13,H/sent,0.703673
1,13,E/sent,0.767156
1,14,H/en,1.155490
1,14,E/en,1.152305
1,14,H/jap,1.215670
1,14,E/jap,1.189732
1,14,H/sent,1.087367
1,14,E/sent,1.111310
1,15,H/en,1.021711
1,15,E/en,1.057890
1,15,H/jap,1.115385
1,15,E/jap,1.145180
1,15,H/sent,0.638979
1,15,E/sent,0.710678
1,16,H/en,0.933478
1,16,E/en,0.914222
1,16,H/jap,1.062397
1,16,E/jap,1.040477
1,16,H/sent,0.837979
1,16,E/sent,0.862440
1,17,H/en,1.481205
1,17,E/en,1.477553
1,17,H/jap,1.498147
1,17,E/jap,1.488231
1,17,H/sent,1.396982
1,17,E/sent,1.390764
1,18,H/en,1.244989
1,18,E/en,1.178128
1,18,H/jap,1.282391
1,18,E/jap,1.216254
1,18,H/sent,1.101218
1,18,E/sent,1.069532
1,19,H/en,1.613362
1,19,E/en,1.696329
1,19,H/jap,1.705629
1,19,E/jap,1.786142
1,19,H/sent,1.477275
1,19,E/sent,1.539253
1,20,H/en,1.446766
1,20,E/en,1.437068
1,20,H/jap,1.489116
1,20,E/jap,1.476153
1,20,H/sent,1.336703
1,20,E/sent,1.363276
1,21,H/en,1.350184
1,21,E/en,1.268640
1,21,H/jap,1.312509
1,21,E/jap,1.241252
1,21,H/sent,1.228388
1,21,E/sent,1.165082
1,22,H/en,1.154393
1,22,E/en,1.125980
1,22,H/jap,1.144707
1,22,E/jap,1.122476
1,22,H/sent,0.762690
1,22,E/sent,0.746835
1,23,H/en,1.372128
1,23,E/en,1.320171
1,23,H/jap,1.396878
1,23,E/jap,1.294536
1,23,H/sent,1.267342
1,23,E/sent,1.277724
1,24,H/en,1.112910
1,24,E/en,1.151679
1,24,H/jap,1.300437
1,24,E/jap,1.328523
1,24,H/sent,0.948200
1,24,E/sent,0.994306
1,25,H/en,1.133412
1,25,E/en,0.955559
1,25,H/jap,1.237612
1,25,E/jap,1.010336
1,25,H/sent,1.124940
