ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,0.360166
1,1,jap/H,0.303119
1,1,sent/H,0.203875
1,1,en/E,0.412785
1,1,jap/E,0.364316
1,1,sent/E,0.207591
1,2,en/H,0.197238
1,2,jap/H,0.069146
1,2,sent/H,-0.032216
1,2,en/E,0.354930
1,2,jap/E,0.232093
1,2,sent/E,0.137074
1,3,en/H,0.390933
1,3,jap/H,0.415577
1,3,sent/H,-0.005628
1,3,en/E,0.491492
1,3,jap/E,0.452835
1,3,sent/E,0.135543
1,4,en/H,0.266817
1,4,jap/H,0.137984
1,4,sent/H,0.096715
1,4,en/E,0.264540
1,4,jap/E,0.201206
1,4,sent/E,0.100358
1,5,en/H,0.688668
1,5,jap/H,0.579201
1,5,sent/H,0.383769
1,5,en/E,0.716993
1,5,jap/E,0.654524
1,5,sent/E,0.514124
1,6,en/H,0.472677
1,6,jap/H,0.553846
1,6,sent/H,0.285848
1,6,en/E,0.295675
1,6,jap/E,0.352087
1,6,sent/E,0.228841
1,7,en/H,0.295549
1,7,jap/H,0.358639
1,7,sent/H,0.065337
1,7,en/E,0.228281
1,7,jap/E,0.280737
1,7,sent/E,0.038329
1,8,en/H,0.372729
1,8,jap/H,0.313626
1,8,sent/H,0.196243
1,8,en/E,0.477682
1,8,jap/E,0.426887
1,8,sent/E,0.357910
1,9,en/H,0.368854
1,9,jap/H,0.283670
1,9,sent/H,0.145196
1,9,en/E,0.117261
1,9,jap/E,0.161929
1,9,sent/E,0.001378
1,10,en/H,0.272443
1,10,jap/H,0.207600
1,10,sent/H,0.017489
1,10,en/E,0.256559
1,10,jap/E,0.272617
1,10,sent/E,0.030480
1,11,en/H,0.458564
1,11,jap/H,0.664726
1,11,sent/H,0.198525
1,11,en/E,0.213522
1,11,jap/E,0.377702
1,11,sent/E,0.074202
1,12,en/H,0.635288
1,12,jap/H,0.642770
1,12,sent/H,0.346846
1,12,en/E,0.459765
1,12,jap/E,0.479001
1,12,sent/E,0.228712
1,13,en/H,0.607634
1,13,jap/H,0.589330
1,13,sent/H,0.409900
1,13,en/E,0.560620
1,13,jap/E,0.545687
1,13,sent/E,0.400762
1,14,en/H,0.010000
1,14,jap/H,0.046212
1,14,sent/H,-0.096949
1,14,en/E,0.080107
1,14,jap/E,0.105917
1,14,sent/E,-0.031136
1,15,en/H,0.482586
1,15,jap/H,0.565474
1,15,sent/H,0.268389
1,15,en/E,0.440270
1,15,jap/E,0.535892
1,15,sent/E,0.259196
1,16,en/H,0.431483
1,16,jap/H,0.401149
1,16,sent/H,0.181700
1,16,en/E,0.436937
1,16,jap/E,0.466398
1,16,sent/E,0.206950
1,17,en/H,0.487467
1,17,jap/H,0.535709
1,17,sent/H,0.353287
1,17,en/E,0.662550
1,17,jap/E,0.716736
1,17,sent/E,0.537830
1,18,en/H,0.251285
1,18,jap/H,0.343750
1,18,sent/H,-0.006206
1,18,en/E,0.247445
1,18,jap/E,0.336102
1,18,sent/E,-0.029057
1,19,en/H,0.226626
1,19,jap/H,0.232612
1,19,sent/H,0.075424
1,19,en/E,0.296114
1,19,jap/E,0.301722
1,19,sent/E,0.140283
1,20,en/H,0.336157
1,20,jap/H,0.397025
1,20,sent/H,0.125123
1,20,en/E,0.324982
1,20,jap/E,0.373242
1,20,sent/E,0.125303
1,21,en/H,0.207570
1,21,jap/H,0.163039
1,21,sent/H,-0.135317
1,21,en/E,0.346679
1,21,jap/E,0.293123
1,21,sent/E,0.063247
1,22,en/H,0.528357
1,22,jap/H,0.504251
1,22,sent/H,0.471608
1,22,en/E,0.643284
1,22,jap/E,0.629770
1,22,sent/E,0.693288
1,23,en/H,0.536084
1,23,jap/H,0.722208
1,23,sent/H,0.084320
1,23,en/E,0.499730
1,23,jap/E,0.658170
1,23,sent/E,0.104525
1,24,en/H,0.333474
1,24,jap/H,0.308709
1,24,sent/H,-0.022962
1,24,en/E,0.364010
1,24,jap/E,0.343624
1,24,sent/E,0.022286
1,25,en/H,0.267783
1,25,jap/H,0.238905
1,25,sent/H,0.100294
1,25,en/E,0.255881
1,25,jap/E,0.216020
1,25,sent/E,0.094407
2,1,en/H,0.953437
2,1,jap/H,0.809921
2,1,sent/H,0.448714
2,1,en/E,0.893273
2,1,jap/E,0.733686
2,1,sent/E,0.452004
2,2,en/H,0.274843
2,2,jap/H,0.177044
2,2,sent/H,0.013328
2,2,en/E,0.289893
2,2,jap/E,0.200746
2,2,sent/E,0.211742
2,3,en/H,0.528395
2,3,jap/H,0.571323
