ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.174739
1,1,E/S,0.233580
1,1,H/N,0.125536
1,1,E/N,0.177958
1,2,H/S,0.296591
1,2,E/S,0.254002
1,2,H/N,0.054068
1,2,E/N,-0.003905
1,3,H/S,0.432489
1,3,E/S,0.598900
1,3,H/N,0.473391
1,3,E/N,0.641874
1,4,H/S,-0.092577
1,4,E/S,0.065843
1,4,H/N,0.237402
1,4,E/N,0.316205
1,5,H/S,0.252043
1,5,E/S,0.294043
1,5,H/N,0.292429
1,5,E/N,0.333845
1,6,H/S,-0.132097
1,6,E/S,-0.055353
1,6,H/N,-0.082022
1,6,E/N,-0.010144
1,7,H/S,0.516856
1,7,E/S,0.514160
1,7,H/N,0.492992
1,7,E/N,0.548629
1,8,H/S,-0.099079
1,8,E/S,-0.025563
1,8,H/N,0.016978
1,8,E/N,0.069054
1,9,H/S,0.069807
1,9,E/S,0.000487
1,9,H/N,-0.004156
1,9,E/N,-0.065527
1,10,H/S,0.320852
1,10,E/S,0.378898
1,10,H/N,0.412695
1,10,E/N,0.479207
1,11,H/S,0.136477
1,11,E/S,0.246745
1,11,H/N,0.477779
1,11,E/N,0.378163
1,12,H/S,0.139153
1,12,E/S,0.182390
1,12,H/N,-0.077759
1,12,E/N,-0.052139
1,13,H/S,0.465741
1,13,E/S,0.448732
1,13,H/N,0.493516
1,13,E/N,0.503081
1,14,H/S,0.541635
1,14,E/S,0.540771
1,14,H/N,0.665261
1,14,E/N,0.660503
1,15,H/S,0.599841
1,15,E/S,0.667513
1,15,H/N,0.635640
1,15,E/N,0.698191
1,16,H/S,0.429613
1,16,E/S,0.496366
1,16,H/N,0.444362
1,16,E/N,0.461617
1,17,H/S,0.573021
1,17,E/S,0.597641
1,17,H/N,0.477224
1,17,E/N,0.487437
1,18,H/S,0.508516
1,18,E/S,0.492002
1,18,H/N,0.587223
1,18,E/N,0.567979
1,19,H/S,0.751276
1,19,E/S,0.760660
1,19,H/N,0.829269
1,19,E/N,0.842229
1,20,H/S,-0.150281
1,20,E/S,-0.129893
1,20,H/N,0.120560
1,20,E/N,0.144884
1,21,H/S,0.803289
1,21,E/S,0.807728
1,21,H/N,0.890490
1,21,E/N,0.894139
1,22,H/S,0.278660
1,22,E/S,0.290396
1,22,H/N,0.282867
1,22,E/N,0.322801
1,23,H/S,0.733959
1,23,E/S,0.784173
1,23,H/N,0.526372
1,23,E/N,0.574908
1,24,H/S,-0.192080
1,24,E/S,-0.149318
1,24,H/N,-0.012651
1,24,E/N,0.019239
1,25,H/S,0.151548
1,25,E/S,0.210233
1,25,H/N,0.480533
1,25,E/N,0.528006
