ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.053139
1,1,E/S,0.131625
1,1,H/N,0.429058
1,1,E/N,0.479642
1,2,H/S,1.142023
1,2,E/S,1.101746
1,2,H/N,1.324071
1,2,E/N,1.301587
1,3,H/S,0.168044
1,3,E/S,0.194804
1,3,H/N,0.128612
1,3,E/N,0.139652
1,4,H/S,0.388900
1,4,E/S,0.399082
1,4,H/N,0.291575
1,4,E/N,0.269270
1,5,H/S,0.527819
1,5,E/S,0.536481
1,5,H/N,0.544524
1,5,E/N,0.574422
1,6,H/S,0.111097
1,6,E/S,0.172854
1,6,H/N,0.299246
1,6,E/N,0.365624
1,7,H/S,0.328646
1,7,E/S,0.379187
1,7,H/N,0.411144
1,7,E/N,0.456804
1,8,H/S,0.116635
1,8,E/S,0.142167
1,8,H/N,0.399705
1,8,E/N,0.418275
1,9,H/S,0.161449
1,9,E/S,0.214786
1,9,H/N,0.194478
1,9,E/N,0.248430
1,10,H/S,0.583959
1,10,E/S,0.588992
1,10,H/N,0.365580
1,10,E/N,0.415696
1,11,H/S,0.952895
1,11,E/S,1.070783
1,11,H/N,1.157904
1,11,E/N,1.275072
1,12,H/S,0.309432
1,12,E/S,0.308114
1,12,H/N,0.527774
1,12,E/N,0.544245
1,13,H/S,0.894523
1,13,E/S,0.938548
1,13,H/N,0.970403
1,13,E/N,0.959923
1,14,H/S,0.460762
1,14,E/S,0.520084
1,14,H/N,0.738718
1,14,E/N,0.792924
1,15,H/S,0.118272
1,15,E/S,0.178668
1,15,H/N,0.096829
1,15,E/N,0.073114
1,16,H/S,0.064493
1,16,E/S,0.071188
1,16,H/N,-0.088640
1,16,E/N,-0.105160
1,17,H/S,-0.325527
1,17,E/S,-0.217616
1,17,H/N,-0.347246
1,17,E/N,-0.253604
1,18,H/S,0.004163
1,18,E/S,0.001779
1,18,H/N,0.379228
1,18,E/N,0.342353
1,19,H/S,0.271786
1,19,E/S,0.259024
1,19,H/N,0.547256
1,19,E/N,0.502713
2,1,H/S,0.035978
2,1,E/S,-0.009520
2,1,H/N,0.742580
2,1,E/N,0.591539
2,2,H/S,1.009236
2,2,E/S,1.141004
2,2,H/N,1.190524
2,2,E/N,1.416465
2,3,H/S,0.250103
2,3,E/S,0.321016
2,3,H/N,0.181127
2,3,E/N,0.201884
2,4,H/S,-0.487807
2,4,E/S,-0.528078
2,4,H/N,-0.447463
2,4,E/N,-0.614022
2,5,H/S,0.663205
2,5,E/S,0.637667
2,5,H/N,0.982806
2,5,E/N,1.032470
2,6,H/S,0.653943
2,6,E/S,0.794310
2,6,H/N,0.856464
2,6,E/N,1.012261
2,7,H/S,0.857182
2,7,E/S,0.838653
2,7,H/N,1.115572
2,7,E/N,1.053429
2,8,H/S,0.528691
2,8,E/S,0.594171
2,8,H/N,0.670231
2,8,E/N,0.873165
2,9,H/S,0.405656
2,9,E/S,0.398647
2,9,H/N,0.674319
2,9,E/N,0.637163
2,10,H/S,0.741917
2,10,E/S,0.808713
2,10,H/N,0.703369
2,10,E/N,0.774913
2,11,H/S,0.760495
2,11,E/S,0.966845
2,11,H/N,0.914702
2,11,E/N,1.020767
2,12,H/S,0.398175
2,12,E/S,0.442236
2,12,H/N,0.337058
2,12,E/N,0.368752
2,13,H/S,0.573284
2,13,E/S,0.588450
2,13,H/N,0.672757
2,13,E/N,0.611294
2,14,H/S,0.904433
2,14,E/S,0.928041
2,14,H/N,1.115557
2,14,E/N,1.121960
2,15,H/S,-0.441642
2,15,E/S,-0.340108
2,15,H/N,-0.595472
2,15,E/N,-0.568195
2,16,H/S,0.335949
2,16,E/S,0.279981
2,16,H/N,0.192385
2,16,E/N,0.177117
2,17,H/S,0.512767
2,17,E/S,0.316765
2,17,H/N,0.628410
2,17,E/N,0.275109
2,18,H/S,0.213830
2,18,E/S,0.126751
2,18,H/N,0.616934
2,18,E/N,0.476836
2,19,H/S,0.125822
2,19,E/S,0.221159
2,19,H/N,0.598236
2,19,E/N,0.625260
3,1,H/S,0.031056
3,1,E/S,0.003914
3,1,H/N,0.448566
3,1,E/N,0.373042
3,2,H/S,0.732246
3,2,E/S,0.794665
3,2,H/N,1.322724
3,2,E/N,1.396689
3,3,H/S,0.481978
3,3,E/S,0.375362
3,3,H/N,0.542528
3,3,E/N,0.440289
3,4,H/S,0.600095
3,4,E/S,0.548237
3,4,H/N,0.509090
3,4,E/N,0.447408
3,5,H/S,0.418502
3,5,E/S,0.465902
3,5,H/N,0.307993
3,5,E/N,0.387372
3,6,H/S,0.294350
3,6,E/S,0.337369
3,6,H/N,1.243352
