ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.390395
1,1,E/H,1.333840
1,1,H/E,1.333840
1,1,E/E,1.260855
1,2,H/H,1.485517
1,2,E/H,1.412294
1,2,H/E,1.412294
1,2,E/E,1.374069
1,3,H/H,2.106450
1,3,E/H,1.708034
1,3,H/E,1.708034
1,3,E/E,1.711418
1,4,H/H,0.413851
1,4,E/H,0.290124
1,4,H/E,0.290124
1,4,E/E,0.182794
1,5,H/H,1.749307
1,5,E/H,1.760706
1,5,H/E,1.760706
1,5,E/E,1.804395
1,6,H/H,2.001599
1,6,E/H,1.603169
1,6,H/E,1.603169
1,6,E/E,1.338415
1,7,H/H,1.327153
1,7,E/H,1.312158
1,7,H/E,1.312158
1,7,E/E,1.223893
1,8,H/H,1.839447
1,8,E/H,1.588158
1,8,H/E,1.588158
1,8,E/E,1.677028
1,9,H/H,1.843890
1,9,E/H,1.653629
1,9,H/E,1.653629
1,9,E/E,1.492215
1,10,H/H,1.523900
1,10,E/H,1.492323
1,10,H/E,1.492323
1,10,E/E,1.528583
1,11,H/H,1.404939
1,11,E/H,1.064999
1,11,H/E,1.064999
1,11,E/E,0.869315
1,12,H/H,1.427926
1,12,E/H,1.310677
1,12,H/E,1.310677
1,12,E/E,1.259602
1,13,H/H,1.819381
1,13,E/H,1.638022
1,13,H/E,1.638022
1,13,E/E,1.671107
1,14,H/H,1.657987
1,14,E/H,1.716142
1,14,H/E,1.716142
1,14,E/E,1.756789
1,15,H/H,1.492574
1,15,E/H,1.279444
1,15,H/E,1.279444
1,15,E/E,1.121016
1,16,H/H,1.702645
1,16,E/H,1.749034
1,16,H/E,1.749034
1,16,E/E,1.675674
1,17,H/H,1.436453
1,17,E/H,1.496755
1,17,H/E,1.496755
1,17,E/E,1.546885
1,18,H/H,1.823114
1,18,E/H,1.667288
1,18,H/E,1.667288
1,18,E/E,1.553519
1,19,H/H,2.023731
1,19,E/H,2.022011
1,19,H/E,2.022011
1,19,E/E,2.062407
1,20,H/H,1.751085
1,20,E/H,1.735310
