ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.882912
1,1,E/H,1.834787
1,1,H/E,1.834787
1,1,E/E,1.789603
1,2,H/H,1.545415
1,2,E/H,1.678460
1,2,H/E,1.678460
1,2,E/E,1.872442
1,3,H/H,2.101154
1,3,E/H,1.956695
1,3,H/E,1.956695
1,3,E/E,1.939317
1,4,H/H,1.327743
1,4,E/H,1.604717
1,4,H/E,1.604717
1,4,E/E,1.243781
1,5,H/H,1.547140
1,5,E/H,1.351131
1,5,H/E,1.351131
1,5,E/E,1.198910
1,6,H/H,1.658970
1,6,E/H,1.503882
1,6,H/E,1.503882
1,6,E/E,1.410271
1,7,H/H,1.603135
1,7,E/H,1.224119
1,7,H/E,1.224119
1,7,E/E,0.917895
1,8,H/H,1.391825
1,8,E/H,1.274595
1,8,H/E,1.274595
1,8,E/E,1.230937
1,9,H/H,2.023878
1,9,E/H,1.840350
1,9,H/E,1.840350
1,9,E/E,2.000226
1,10,H/H,1.467131
1,10,E/H,1.241549
1,10,H/E,1.241549
1,10,E/E,1.064635
1,11,H/H,1.955779
1,11,E/H,1.881256
1,11,H/E,1.881256
1,11,E/E,1.983629
1,12,H/H,2.428770
1,12,E/H,2.175228
1,12,H/E,2.175228
1,12,E/E,2.088940
1,13,H/H,1.745944
1,13,E/H,1.779964
1,13,H/E,1.779964
1,13,E/E,1.720803
1,14,H/H,1.972684
1,14,E/H,1.785492
1,14,H/E,1.785492
1,14,E/E,1.724465
1,15,H/H,1.701096
1,15,E/H,1.541814
1,15,H/E,1.541814
1,15,E/E,1.402704
1,16,H/H,1.720533
1,16,E/H,1.818831
1,16,H/E,1.818831
1,16,E/E,1.982566
1,17,H/H,1.522099
1,17,E/H,1.283445
1,17,H/E,1.283445
1,17,E/E,1.195142
1,18,H/H,1.552870
1,18,E/H,1.491478
1,18,H/E,1.491478
1,18,E/E,1.594494
1,19,H/H,2.072842
1,19,E/H,1.781412
1,19,H/E,1.781412
1,19,E/E,1.708830
2,1,H/H,2.764787
2,1,E/H,2.188750
2,1,H/E,2.188750
2,1,E/E,1.803720
2,2,H/H,1.570532
2,2,E/H,1.511245
2,2,H/E,1.511245
2,2,E/E,1.553344
2,3,H/H,2.194993
2,3,E/H,1.955066
2,3,H/E,1.955066
2,3,E/E,1.933126
2,4,H/H,0.455565
2,4,E/H,0.818835
2,4,H/E,0.818835
2,4,E/E,0.860746
2,5,H/H,1.539989
2,5,E/H,1.339231
2,5,H/E,1.339231
2,5,E/E,1.170235
2,6,H/H,1.706246
2,6,E/H,1.571084
2,6,H/E,1.571084
2,6,E/E,1.716998
2,7,H/H,1.534786
2,7,E/H,1.123826
2,7,H/E,1.123826
2,7,E/E,0.701595
2,8,H/H,1.874416
2,8,E/H,1.352572
2,8,H/E,1.352572
2,8,E/E,1.462363
2,9,H/H,2.278654
2,9,E/H,1.999892
2,9,H/E,1.999892
2,9,E/E,1.961214
2,10,H/H,1.342896
2,10,E/H,1.123793
