ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.047779
1,1,E/H,0.982573
1,1,H/E,0.982573
1,1,E/E,0.757799
1,2,H/H,0.620690
1,2,E/H,0.390437
1,2,H/E,0.390437
1,2,E/E,0.260363
1,3,H/H,1.392839
1,3,E/H,1.186608
1,3,H/E,1.186608
1,3,E/E,1.018179
1,4,H/H,-0.328167
1,4,E/H,-0.307341
1,4,H/E,-0.307341
1,4,E/E,-0.170856
1,5,H/H,1.057895
1,5,E/H,0.966257
1,5,H/E,0.966257
1,5,E/E,1.006008
1,6,H/H,1.182086
1,6,E/H,0.806677
1,6,H/E,0.806677
1,6,E/E,0.546786
1,7,H/H,0.890492
1,7,E/H,0.685449
1,7,H/E,0.685449
1,7,E/E,0.512515
1,8,H/H,1.020910
1,8,E/H,0.745778
1,8,H/E,0.745778
1,8,E/E,0.854237
1,9,H/H,0.886338
1,9,E/H,0.341768
1,9,H/E,0.341768
1,9,E/E,-0.012876
1,10,H/H,0.787400
1,10,E/H,0.577043
1,10,H/E,0.577043
1,10,E/E,0.439277
1,11,H/H,0.696834
1,11,E/H,0.394485
1,11,H/E,0.394485
1,11,E/E,0.218332
1,12,H/H,0.820416
1,12,E/H,0.719110
1,12,H/E,0.719110
1,12,E/E,0.688990
1,13,H/H,1.052448
1,13,E/H,0.904132
1,13,H/E,0.904132
1,13,E/E,0.870566
1,14,H/H,0.906129
1,14,E/H,1.020154
1,14,H/E,1.020154
1,14,E/E,1.057800
1,15,H/H,1.183221
1,15,E/H,0.928420
1,15,H/E,0.928420
1,15,E/E,0.708338
1,16,H/H,1.030883
1,16,E/H,0.893742
1,16,H/E,0.893742
1,16,E/E,0.857725
1,17,H/H,0.686713
1,17,E/H,0.805304
1,17,H/E,0.805304
1,17,E/E,1.021549
1,18,H/H,1.097667
1,18,E/H,0.955024
1,18,H/E,0.955024
1,18,E/E,0.846145
1,19,H/H,0.809768
1,19,E/H,0.828813
1,19,H/E,0.828813
1,19,E/E,0.889903
1,20,H/H,0.891209
1,20,E/H,0.764580
1,20,H/E,0.764580
1,20,E/E,0.674495
1,21,H/H,1.188042
1,21,E/H,0.937291
1,21,H/E,0.937291
1,21,E/E,0.829092
1,22,H/H,0.810164
1,22,E/H,0.695093
1,22,H/E,0.695093
1,22,E/E,0.742212
1,23,H/H,1.096107
1,23,E/H,0.945958
1,23,H/E,0.945958
1,23,E/E,0.832852
1,24,H/H,0.903478
1,24,E/H,0.687630
1,24,H/E,0.687630
1,24,E/E,0.449865
1,25,H/H,0.720157
1,25,E/H,0.606596
1,25,H/E,0.606596
1,25,E/E,0.456604
2,1,H/H,1.105693
2,1,E/H,0.889417
2,1,H/E,0.889417
2,1,E/E,0.693957
2,2,H/H,0.295516
2,2,E/H,0.162716
2,2,H/E,0.162716
2,2,E/E,0.119520
2,3,H/H,0.248628
2,3,E/H,-0.229382
2,3,H/E,-0.229382
2,3,E/E,-0.470256
2,4,H/H,-0.389608
2,4,E/H,-0.227282
2,4,H/E,-0.227282
2,4,E/E,0.039220
2,5,H/H,0.411843
2,5,E/H,0.386032
2,5,H/E,0.386032
2,5,E/E,0.319493
2,6,H/H,0.735878
2,6,E/H,0.670643
2,6,H/E,0.670643
2,6,E/E,0.654059
2,7,H/H,0.568159
2,7,E/H,0.351964
2,7,H/E,0.351964
2,7,E/E,0.081524
2,8,H/H,0.325641
2,8,E/H,0.100705
2,8,H/E,0.100705
2,8,E/E,0.051320
2,9,H/H,0.983134
2,9,E/H,0.230524
2,9,H/E,0.230524
2,9,E/E,-0.354238
2,10,H/H,0.803719
2,10,E/H,0.672530
2,10,H/E,0.672530
2,10,E/E,0.563720
2,11,H/H,0.577807
2,11,E/H,0.397328
2,11,H/E,0.397328
2,11,E/E,0.234379
2,12,H/H,0.558680
2,12,E/H,0.416811
2,12,H/E,0.416811
2,12,E/E,0.285235
2,13,H/H,0.526919
2,13,E/H,0.441603
2,13,H/E,0.441603
2,13,E/E,0.564243
2,14,H/H,0.608788
2,14,E/H,0.679638
2,14,H/E,0.679638
2,14,E/E,0.781298
2,15,H/H,0.750610
2,15,E/H,0.584281
2,15,H/E,0.584281
2,15,E/E,0.431111
2,16,H/H,0.554418
2,16,E/H,0.332068
2,16,H/E,0.332068
2,16,E/E,0.134191
2,17,H/H,0.361767
2,17,E/H,0.451236
2,17,H/E,0.451236
2,17,E/E,0.596528
2,18,H/H,0.550044
2,18,E/H,0.320208
2,18,H/E,0.320208
2,18,E/E,0.110246
2,19,H/H,0.728690
2,19,E/H,0.656666
2,19,H/E,0.656666
2,19,E/E,0.538294
2,20,H/H,0.995140
2,20,E/H,0.893076
2,20,H/E,0.893076
2,20,E/E,0.797589
2,21,H/H,0.831608
2,21,E/H,0.486252
2,21,H/E,0.486252
2,21,E/E,0.223221
2,22,H/H,0.529659
2,22,E/H,0.285753
2,22,H/E,0.285753
2,22,E/E,0.593034
2,23,H/H,0.625016
2,23,E/H,0.429192
2,23,H/E,0.429192
2,23,E/E,0.267722
2,24,H/H,0.482912
2,24,E/H,0.349978
2,24,H/E,0.349978
2,24,E/E,0.145725
2,25,H/H,0.162305
2,25,E/H,-0.078065
2,25,H/E,-0.078065
2,25,E/E,-0.238816
