ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.214822
1,1,E/H,0.923989
1,1,H/E,0.923989
1,1,E/E,0.775127
1,2,H/H,0.709217
1,2,E/H,0.713733
1,2,H/E,0.713733
1,2,E/E,0.798008
1,3,H/H,1.509077
1,3,E/H,1.245788
1,3,H/E,1.245788
1,3,E/E,1.098206
1,4,H/H,0.245017
1,4,E/H,0.701009
1,4,H/E,0.701009
1,4,E/E,0.651520
1,5,H/H,0.559661
1,5,E/H,0.363194
1,5,H/E,0.363194
1,5,E/E,0.259622
1,6,H/H,1.003727
1,6,E/H,0.901678
1,6,H/E,0.901678
1,6,E/E,0.900591
1,7,H/H,1.260472
1,7,E/H,0.810335
1,7,H/E,0.810335
1,7,E/E,0.497280
1,8,H/H,0.392240
1,8,E/H,0.381807
1,8,H/E,0.381807
1,8,E/E,0.398843
1,9,H/H,1.206742
1,9,E/H,1.111205
1,9,H/E,1.111205
1,9,E/E,1.100022
1,10,H/H,0.828305
1,10,E/H,0.666773
1,10,H/E,0.666773
1,10,E/E,0.597331
1,11,H/H,0.847554
1,11,E/H,0.628215
1,11,H/E,0.628215
1,11,E/E,0.761053
1,12,H/H,1.273042
1,12,E/H,1.060845
1,12,H/E,1.060845
1,12,E/E,0.975837
1,13,H/H,1.309713
1,13,E/H,1.167446
1,13,H/E,1.167446
1,13,E/E,1.125144
1,14,H/H,1.345853
1,14,E/H,1.115808
1,14,H/E,1.115808
1,14,E/E,0.977296
1,15,H/H,0.891686
1,15,E/H,0.678557
1,15,H/E,0.678557
1,15,E/E,0.590878
1,16,H/H,1.227069
1,16,E/H,1.052394
1,16,H/E,1.052394
1,16,E/E,1.243960
1,17,H/H,0.631759
1,17,E/H,0.488395
1,17,H/E,0.488395
1,17,E/E,0.507467
1,18,H/H,0.934922
1,18,E/H,0.717782
1,18,H/E,0.717782
1,18,E/E,0.560906
1,19,H/H,1.356258
1,19,E/H,1.143396
1,19,H/E,1.143396
1,19,E/E,1.075864
2,1,H/H,0.872067
2,1,E/H,0.622666
2,1,H/E,0.622666
2,1,E/E,0.430454
2,2,H/H,0.527763
2,2,E/H,0.351731
2,2,H/E,0.351731
2,2,E/E,0.227953
2,3,H/H,0.986470
2,3,E/H,0.850836
2,3,H/E,0.850836
2,3,E/E,0.765754
2,4,H/H,0.324894
2,4,E/H,0.398489
2,4,H/E,0.398489
2,4,E/E,0.361148
2,5,H/H,0.787899
2,5,E/H,0.442094
2,5,H/E,0.442094
2,5,E/E,0.193406
2,6,H/H,0.662303
2,6,E/H,0.435431
2,6,H/E,0.435431
2,6,E/E,0.255920
2,7,H/H,0.699167
2,7,E/H,0.083362
2,7,H/E,0.083362
2,7,E/E,-0.513163
2,8,H/H,0.614775
2,8,E/H,0.413745
2,8,H/E,0.413745
2,8,E/E,0.301137
2,9,H/H,0.856106
2,9,E/H,0.751390
2,9,H/E,0.751390
2,9,E/E,0.626498
2,10,H/H,0.722749
2,10,E/H,0.560590
2,10,H/E,0.560590
2,10,E/E,0.382317
2,11,H/H,-0.158297
2,11,E/H,-0.178657
2,11,H/E,-0.178657
2,11,E/E,-0.252976
2,12,H/H,0.373440
2,12,E/H,0.184108
2,12,H/E,0.184108
2,12,E/E,0.000569
2,13,H/H,0.687520
2,13,E/H,0.583611
2,13,H/E,0.583611
2,13,E/E,0.540067
2,14,H/H,0.806262
2,14,E/H,0.543468
2,14,H/E,0.543468
2,14,E/E,0.373312
2,15,H/H,1.031587
2,15,E/H,0.756456
2,15,H/E,0.756456
2,15,E/E,0.572160
2,16,H/H,0.792415
2,16,E/H,0.337706
2,16,H/E,0.337706
2,16,E/E,0.328185
2,17,H/H,0.372137
2,17,E/H,0.226743
2,17,H/E,0.226743
2,17,E/E,0.136176
2,18,H/H,0.471318
2,18,E/H,0.354571
2,18,H/E,0.354571
2,18,E/E,0.415844
2,19,H/H,0.733277
2,19,E/H,0.550267
2,19,H/E,0.550267
2,19,E/E,0.453795
3,1,H/H,1.854759
3,1,E/H,1.480519
3,1,H/E,1.480519
3,1,E/E,1.352853
3,2,H/H,0.628361
3,2,E/H,0.586213
3,2,H/E,0.586213
3,2,E/E,0.552598
3,3,H/H,1.756347
3,3,E/H,1.539926
3,3,H/E,1.539926
3,3,E/E,1.462475
3,4,H/H,0.664120
3,4,E/H,0.854835
3,4,H/E,0.854835
3,4,E/E,0.630934
3,5,H/H,1.098036
3,5,E/H,0.731928
3,5,H/E,0.731928
3,5,E/E,0.388056
3,6,H/H,1.338648
3,6,E/H,1.233753
3,6,H/E,1.233753
3,6,E/E,1.153989
3,7,H/H,1.320773
3,7,E/H,0.593229
3,7,H/E,0.593229
3,7,E/E,0.056934
3,8,H/H,1.076211
3,8,E/H,0.947403
3,8,H/E,0.947403
3,8,E/E,1.113125
3,9,H/H,1.306941
3,9,E/H,1.170924
3,9,H/E,1.170924
3,9,E/E,1.039093
3,10,H/H,1.130751
3,10,E/H,0.856648
3,10,H/E,0.856648
3,10,E/E,0.629650
3,11,H/H,1.445161
3,11,E/H,1.168597
3,11,H/E,1.168597
3,11,E/E,0.972684
3,12,H/H,1.236492
3,12,E/H,1.116271
3,12,H/E,1.116271
3,12,E/E,1.061054
3,13,H/H,2.164279
3,13,E/H,1.972292
3,13,H/E,1.972292
3,13,E/E,1.810915
3,14,H/H,1.659060
3,14,E/H,1.441707
3,14,H/E,1.441707
3,14,E/E,1.367308
3,15,H/H,1.220055
3,15,E/H,1.122133
3,15,H/E,1.122133
3,15,E/E,1.150673
3,16,H/H,2.077168
3,16,E/H,1.523309
3,16,H/E,1.523309
3,16,E/E,1.595956
3,17,H/H,1.049118
3,17,E/H,0.528992
3,17,H/E,0.528992
3,17,E/E,0.625634
3,18,H/H,1.232907
3,18,E/H,0.544433
3,18,H/E,0.544433
3,18,E/E,0.818850
3,19,H/H,1.919441
3,19,E/H,1.716350
3,19,H/E,1.716350
3,19,E/E,1.719520
4,1,H/H,2.047152
4,1,E/H,1.765913
4,1,H/E,1.765913
4,1,E/E,1.717680
4,2,H/H,1.179379
4,2,E/H,1.144220
4,2,H/E,1.144220
4,2,E/E,1.126903
4,3,H/H,1.849191
4,3,E/H,1.344394
4,3,H/E,1.344394
4,3,E/E,1.175448
4,4,H/H,0.483052
4,4,E/H,0.433337
4,4,H/E,0.433337
4,4,E/E,0.277256
4,5,H/H,1.732623
4,5,E/H,1.319819
4,5,H/E,1.319819
4,5,E/E,1.071313
4,6,H/H,1.326332
4,6,E/H,0.884877
4,6,H/E,0.884877
4,6,E/E,0.713087
