ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,0.457932
1,1,jap/en,0.571558
1,1,sent/en,0.466620
1,1,en/jap,0.482272
1,1,jap/jap,0.580115
1,1,sent/jap,0.416306
1,1,en/sent,0.436801
1,1,jap/sent,0.474049
1,1,sent/sent,0.476057
1,2,en/en,1.090784
1,2,jap/en,1.104215
1,2,sent/en,1.081355
1,2,en/jap,1.083721
1,2,jap/jap,1.075861
1,2,sent/jap,1.053776
1,2,en/sent,1.004939
1,2,jap/sent,0.954814
1,2,sent/sent,1.151411
1,3,en/en,0.894923
1,3,jap/en,1.024773
1,3,sent/en,0.746068
1,3,en/jap,0.858211
1,3,jap/jap,1.007444
1,3,sent/jap,0.844859
1,3,en/sent,0.692435
1,3,jap/sent,0.836779
1,3,sent/sent,0.875468
1,4,en/en,0.519969
1,4,jap/en,0.645057
1,4,sent/en,0.536881
1,4,en/jap,0.515331
1,4,jap/jap,0.651141
1,4,sent/jap,0.580148
1,4,en/sent,0.426410
1,4,jap/sent,0.642080
1,4,sent/sent,0.648411
1,5,en/en,1.813250
1,5,jap/en,1.913354
1,5,sent/en,1.670461
1,5,en/jap,1.850637
1,5,jap/jap,1.910552
1,5,sent/jap,1.703921
1,5,en/sent,1.770967
1,5,jap/sent,1.818843
1,5,sent/sent,1.760161
1,6,en/en,1.117173
1,6,jap/en,1.053197
1,6,sent/en,0.663111
1,6,en/jap,1.082348
1,6,jap/jap,1.058634
1,6,sent/jap,0.643456
1,6,en/sent,0.807380
1,6,jap/sent,0.782353
1,6,sent/sent,0.792340
1,7,en/en,1.313047
1,7,jap/en,1.306657
1,7,sent/en,1.217643
1,7,en/jap,1.322565
1,7,jap/jap,1.291552
1,7,sent/jap,1.251801
1,7,en/sent,1.253498
1,7,jap/sent,1.270221
1,7,sent/sent,1.274993
1,8,en/en,0.290609
1,8,jap/en,0.423674
1,8,sent/en,0.085491
1,8,en/jap,0.342566
1,8,jap/jap,0.370296
1,8,sent/jap,0.209661
1,8,en/sent,0.173488
1,8,jap/sent,0.287962
1,8,sent/sent,0.748736
1,9,en/en,1.180757
1,9,jap/en,1.058138
1,9,sent/en,0.934542
1,9,en/jap,1.141939
1,9,jap/jap,1.115032
1,9,sent/jap,0.907461
1,9,en/sent,1.112423
1,9,jap/sent,0.992595
1,9,sent/sent,0.921055
1,10,en/en,1.181104
1,10,jap/en,1.193442
1,10,sent/en,0.826874
1,10,en/jap,1.199461
1,10,jap/jap,1.199404
1,10,sent/jap,0.730513
1,10,en/sent,0.870923
1,10,jap/sent,0.836493
1,10,sent/sent,1.005008
1,11,en/en,0.845516
1,11,jap/en,0.735461
1,11,sent/en,0.548939
1,11,en/jap,0.679344
1,11,jap/jap,0.893658
1,11,sent/jap,0.397511
1,11,en/sent,0.673356
1,11,jap/sent,0.468730
1,11,sent/sent,0.689148
1,12,en/en,1.442492
1,12,jap/en,1.248874
1,12,sent/en,1.280802
1,12,en/jap,1.405105
1,12,jap/jap,1.277983
1,12,sent/jap,1.268393
1,12,en/sent,1.406306
1,12,jap/sent,1.225280
1,12,sent/sent,1.317360
1,13,en/en,0.708313
1,13,jap/en,0.647227
1,13,sent/en,0.476915
1,13,en/jap,0.675470
1,13,jap/jap,0.647393
1,13,sent/jap,0.480275
1,13,en/sent,0.522772
1,13,jap/sent,0.490449
1,13,sent/sent,0.515047
1,14,en/en,1.325363
1,14,jap/en,1.620580
1,14,sent/en,1.297010
1,14,en/jap,1.364963
1,14,jap/jap,1.623142
1,14,sent/jap,1.234181
1,14,en/sent,1.200124
1,14,jap/sent,1.341938
1,14,sent/sent,1.487522
1,15,en/en,1.061023
1,15,jap/en,1.323385
1,15,sent/en,0.927106
1,15,en/jap,1.105804
1,15,jap/jap,1.359680
1,15,sent/jap,0.903386
1,15,en/sent,0.997374
1,15,jap/sent,1.157588
1,15,sent/sent,0.947815
1,16,en/en,0.791767
1,16,jap/en,0.688455
1,16,sent/en,0.948971
1,16,en/jap,0.776417
1,16,jap/jap,0.631802
1,16,sent/jap,0.878062
1,16,en/sent,0.817440
1,16,jap/sent,0.535152
1,16,sent/sent,1.139702
1,17,en/en,0.812947
1,17,jap/en,0.854131
1,17,sent/en,0.624711
1,17,en/jap,0.827692
1,17,jap/jap,0.823558
1,17,sent/jap,0.644359
1,17,en/sent,0.702936
1,17,jap/sent,0.741934
1,17,sent/sent,0.773357
1,18,en/en,1.531679
1,18,jap/en,1.504556
1,18,sent/en,1.342197
1,18,en/jap,1.541079
1,18,jap/jap,1.482267
1,18,sent/jap,1.296863
1,18,en/sent,1.496979
1,18,jap/sent,1.413102
1,18,sent/sent,1.403507
1,19,en/en,0.651704
1,19,jap/en,0.558453
1,19,sent/en,0.332354
1,19,en/jap,0.641859
1,19,jap/jap,0.541071
1,19,sent/jap,0.279153
1,19,en/sent,0.319720
1,19,jap/sent,0.263223
1,19,sent/sent,0.548144
1,20,en/en,1.034015
1,20,jap/en,0.986809
1,20,sent/en,1.082532
1,20,en/jap,0.986432
1,20,jap/jap,0.921367
1,20,sent/jap,0.989668
1,20,en/sent,0.923853
1,20,jap/sent,0.797755
1,20,sent/sent,1.451544
1,21,en/en,1.342975
1,21,jap/en,1.505190
1,21,sent/en,1.249812
1,21,en/jap,1.362278
1,21,jap/jap,1.534105
1,21,sent/jap,1.265892
1,21,en/sent,1.292558
1,21,jap/sent,1.428780
1,21,sent/sent,1.246725
1,22,en/en,1.366270
1,22,jap/en,1.482109
1,22,sent/en,0.570636
1,22,en/jap,1.383880
1,22,jap/jap,1.467043
1,22,sent/jap,0.485611
1,22,en/sent,0.648833
1,22,jap/sent,0.525384
1,22,sent/sent,0.850792
1,23,en/en,1.423289
1,23,jap/en,1.425794
1,23,sent/en,1.062876
1,23,en/jap,1.379585
1,23,jap/jap,1.422179
1,23,sent/jap,1.062070
1,23,en/sent,1.249154
1,23,jap/sent,1.239805
1,23,sent/sent,0.992466
1,24,en/en,1.004699
1,24,jap/en,1.008506
1,24,sent/en,0.524819
1,24,en/jap,0.972028
1,24,jap/jap,1.040835
1,24,sent/jap,0.465781
1,24,en/sent,0.631331
1,24,jap/sent,0.550589
