ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.842368
1,1,jap/S,0.750272
1,1,sent/S,1.525276
1,1,en/N,1.825097
1,1,jap/N,1.792263
1,1,sent/N,1.209455
1,2,en/S,1.139073
1,2,jap/S,1.291389
1,2,sent/S,1.262368
1,2,en/N,1.082878
1,2,jap/N,1.223720
1,2,sent/N,1.157032
1,3,en/S,1.434568
1,3,jap/S,1.539976
1,3,sent/S,1.489678
1,3,en/N,1.357302
1,3,jap/N,1.452120
1,3,sent/N,1.400307
1,4,en/S,0.921688
1,4,jap/S,1.104013
1,4,sent/S,1.017695
1,4,en/N,1.090585
1,4,jap/N,1.235387
1,4,sent/N,1.094971
1,5,en/S,1.772748
1,5,jap/S,1.789854
1,5,sent/S,1.710108
1,5,en/N,1.300179
1,5,jap/N,1.279880
1,5,sent/N,1.183667
1,6,en/S,1.300260
1,6,jap/S,1.029254
1,6,sent/S,1.677549
1,6,en/N,1.265302
1,6,jap/N,0.969372
1,6,sent/N,1.500431
1,7,en/S,1.075620
1,7,jap/S,1.241434
1,7,sent/S,1.112446
1,7,en/N,1.320967
1,7,jap/N,1.454705
1,7,sent/N,1.288171
1,8,en/S,1.101855
1,8,jap/S,0.973751
1,8,sent/S,1.374663
1,8,en/N,0.787655
1,8,jap/N,0.828235
1,8,sent/N,0.353174
1,9,en/S,0.620950
1,9,jap/S,0.521605
1,9,sent/S,0.679904
1,9,en/N,0.309534
1,9,jap/N,0.413352
1,9,sent/N,0.152515
1,10,en/S,1.509443
1,10,jap/S,1.429965
1,10,sent/S,1.532261
1,10,en/N,1.010999
1,10,jap/N,1.446577
1,10,sent/N,0.902950
1,11,en/S,1.936415
1,11,jap/S,1.793044
1,11,sent/S,2.234938
1,11,en/N,2.021178
1,11,jap/N,2.060134
1,11,sent/N,1.776375
1,12,en/S,1.689312
1,12,jap/S,1.541263
1,12,sent/S,1.786551
1,12,en/N,1.623766
1,12,jap/N,1.503482
1,12,sent/N,1.378950
1,13,en/S,1.475798
1,13,jap/S,1.280739
1,13,sent/S,1.598787
1,13,en/N,1.272024
1,13,jap/N,1.115072
1,13,sent/N,1.350710
1,14,en/S,1.814687
1,14,jap/S,1.869219
1,14,sent/S,1.178718
1,14,en/N,1.581079
1,14,jap/N,1.609518
1,14,sent/N,0.990730
1,15,en/S,0.475758
1,15,jap/S,0.419314
1,15,sent/S,0.765699
1,15,en/N,0.744255
1,15,jap/N,0.686677
1,15,sent/N,1.046170
1,16,en/S,0.628332
1,16,jap/S,0.856918
1,16,sent/S,0.916801
1,16,en/N,0.510978
1,16,jap/N,0.693483
1,16,sent/N,0.757432
1,17,en/S,1.664170
1,17,jap/S,1.664104
1,17,sent/S,1.628902
1,17,en/N,1.139093
1,17,jap/N,1.128655
1,17,sent/N,1.106851
1,18,en/S,1.989329
1,18,jap/S,1.947530
1,18,sent/S,2.127817
1,18,en/N,1.679276
1,18,jap/N,1.621772
1,18,sent/N,1.730293
1,19,en/S,1.016521
1,19,jap/S,0.980527
1,19,sent/S,1.027938
1,19,en/N,0.879927
1,19,jap/N,0.844850
1,19,sent/N,0.870309
1,20,en/S,0.074124
1,20,jap/S,0.039348
1,20,sent/S,0.095632
1,20,en/N,-0.214446
1,20,jap/N,-0.262921
1,20,sent/N,-0.261560
1,21,en/S,1.573937
1,21,jap/S,1.568724
1,21,sent/S,1.542482
1,21,en/N,0.947548
1,21,jap/N,0.921209
1,21,sent/N,0.886022
1,22,en/S,1.313259
1,22,jap/S,1.317236
1,22,sent/S,1.392583
1,22,en/N,1.183249
1,22,jap/N,1.201935
1,22,sent/N,1.230595
1,23,en/S,0.328194
1,23,jap/S,0.269000
1,23,sent/S,0.510321
1,23,en/N,0.215184
1,23,jap/N,0.166862
1,23,sent/N,0.380412
1,24,en/S,1.855689
1,24,jap/S,1.982251
1,24,sent/S,1.826557
1,24,en/N,1.571954
1,24,jap/N,1.568713
1,24,sent/N,1.256424
1,25,en/S,1.301643
1,25,jap/S,1.530273
1,25,sent/S,1.432737
1,25,en/N,1.146156
1,25,jap/N,1.404163
1,25,sent/N,1.064884
