ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.807312
1,1,N/en,1.162254
1,1,S/jap,0.647309
1,1,N/jap,1.188325
1,1,S/sent,1.578182
1,1,N/sent,0.847865
1,2,S/en,-0.116904
1,2,N/en,-0.199581
1,2,S/jap,-0.164645
1,2,N/jap,-0.308757
1,2,S/sent,0.266441
1,2,N/sent,0.102066
1,3,S/en,0.379824
1,3,N/en,0.224024
1,3,S/jap,0.404068
1,3,N/jap,0.240187
1,3,S/sent,0.435739
1,3,N/sent,0.235403
1,4,S/en,0.521164
1,4,N/en,0.310855
1,4,S/jap,0.232034
1,4,N/jap,0.191429
1,4,S/sent,0.469707
1,4,N/sent,0.275057
1,5,S/en,0.507865
1,5,N/en,0.512102
1,5,S/jap,0.799942
1,5,N/jap,0.695003
1,5,S/sent,0.894018
1,5,N/sent,0.526875
1,6,S/en,1.490350
1,6,N/en,1.614558
1,6,S/jap,1.498095
1,6,N/jap,1.626415
1,6,S/sent,1.914837
1,6,N/sent,1.822921
1,7,S/en,1.048997
1,7,N/en,1.147545
1,7,S/jap,1.011782
1,7,N/jap,1.182824
1,7,S/sent,1.145685
1,7,N/sent,0.901328
1,8,S/en,1.241395
1,8,N/en,0.010669
1,8,S/jap,1.417503
1,8,N/jap,-0.062455
1,8,S/sent,2.029197
1,8,N/sent,-0.487562
1,9,S/en,0.335864
1,9,N/en,-0.157449
1,9,S/jap,0.318850
1,9,N/jap,-0.169826
1,9,S/sent,0.363350
1,9,N/sent,-0.224794
1,10,S/en,0.984488
1,10,N/en,0.365551
1,10,S/jap,0.849320
1,10,N/jap,0.380481
1,10,S/sent,1.209573
1,10,N/sent,0.405975
1,11,S/en,0.762761
1,11,N/en,0.765408
1,11,S/jap,0.611630
1,11,N/jap,0.635800
1,11,S/sent,0.788112
1,11,N/sent,0.730849
1,12,S/en,0.373390
1,12,N/en,0.168024
1,12,S/jap,0.452569
1,12,N/jap,0.205067
1,12,S/sent,0.550294
1,12,N/sent,0.333057
1,13,S/en,1.177201
1,13,N/en,0.557582
1,13,S/jap,1.144454
1,13,N/jap,0.518741
1,13,S/sent,0.899314
1,13,N/sent,0.319432
1,14,S/en,0.765917
1,14,N/en,0.443102
1,14,S/jap,0.664943
1,14,N/jap,0.415577
1,14,S/sent,0.396202
1,14,N/sent,0.033426
1,15,S/en,-0.511174
1,15,N/en,-0.210605
1,15,S/jap,-0.389650
1,15,N/jap,-0.100808
1,15,S/sent,-0.385423
1,15,N/sent,-0.242076
1,16,S/en,0.349058
1,16,N/en,0.114096
1,16,S/jap,0.306503
1,16,N/jap,0.084128
1,16,S/sent,0.503271
1,16,N/sent,0.115627
1,17,S/en,1.216435
1,17,N/en,1.036854
1,17,S/jap,1.198857
1,17,N/jap,1.067974
1,17,S/sent,1.345243
1,17,N/sent,0.984623
1,18,S/en,0.578121
1,18,N/en,-0.046042
1,18,S/jap,0.567795
1,18,N/jap,-0.068315
1,18,S/sent,0.752420
1,18,N/sent,0.041218
1,19,S/en,1.659481
1,19,N/en,1.124752
1,19,S/jap,1.739559
1,19,N/jap,1.173468
1,19,S/sent,1.375252
1,19,N/sent,0.711404
1,20,S/en,0.406480
1,20,N/en,0.767388
1,20,S/jap,0.343400
1,20,N/jap,0.842933
1,20,S/sent,0.867885
1,20,N/sent,0.635158
1,21,S/en,2.309144
1,21,N/en,1.642704
1,21,S/jap,2.074781
1,21,N/jap,1.479624
1,21,S/sent,2.017015
1,21,N/sent,1.398179
1,22,S/en,0.743579
1,22,N/en,0.512193
1,22,S/jap,0.695794
1,22,N/jap,0.476041
1,22,S/sent,1.032925
1,22,N/sent,0.659043
1,23,S/en,0.919627
1,23,N/en,0.939459
1,23,S/jap,0.866980
1,23,N/jap,0.892649
1,23,S/sent,1.052288
1,23,N/sent,0.972173
1,24,S/en,0.344824
1,24,N/en,0.592091
1,24,S/jap,0.463476
1,24,N/jap,0.722868
1,24,S/sent,0.762715
1,24,N/sent,0.854749
1,25,S/en,1.537899
1,25,N/en,1.431722
1,25,S/jap,1.754601
1,25,N/jap,1.763425
1,25,S/sent,1.957239
1,25,N/sent,1.702602
