ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,0.145356
1,1,N/S,0.294101
1,1,S/N,0.294101
1,1,N/N,0.547052
1,2,S/S,1.050304
1,2,N/S,0.515910
1,2,S/N,0.515910
1,2,N/N,0.540040
1,3,S/S,1.860978
1,3,N/S,1.878816
1,3,S/N,1.878816
1,3,N/N,2.319942
1,4,S/S,0.444191
1,4,N/S,-0.029266
1,4,S/N,-0.029266
1,4,N/N,-0.475208
1,5,S/S,0.899133
1,5,N/S,0.844130
1,5,S/N,0.844130
1,5,N/N,0.848474
1,6,S/S,1.772764
1,6,N/S,1.710904
1,6,S/N,1.710904
1,6,N/N,1.618179
1,7,S/S,1.443491
1,7,N/S,1.310575
1,7,S/N,1.310575
1,7,N/N,1.198494
1,8,S/S,1.422290
1,8,N/S,0.876860
1,8,S/N,0.876860
1,8,N/N,0.679556
1,9,S/S,1.202050
1,9,N/S,0.424702
1,9,S/N,0.424702
1,9,N/N,0.672668
1,10,S/S,1.228113
1,10,N/S,1.139016
1,10,S/N,1.139016
1,10,N/N,1.415184
1,11,S/S,0.510369
1,11,N/S,0.276378
1,11,S/N,0.276378
1,11,N/N,0.185038
1,12,S/S,1.237384
1,12,N/S,1.238742
1,12,S/N,1.238742
1,12,N/N,1.125233
1,13,S/S,0.537628
1,13,N/S,0.739231
1,13,S/N,0.739231
1,13,N/N,1.571309
1,14,S/S,1.920351
1,14,N/S,1.578929
1,14,S/N,1.578929
1,14,N/N,1.668154
1,15,S/S,0.431261
1,15,N/S,0.150014
1,15,S/N,0.150014
1,15,N/N,0.360988
1,16,S/S,1.086671
1,16,N/S,0.995805
1,16,S/N,0.995805
1,16,N/N,0.884546
1,17,S/S,0.533024
1,17,N/S,0.519309
1,17,S/N,0.519309
1,17,N/N,0.470253
1,18,S/S,0.768501
1,18,N/S,0.746452
1,18,S/N,0.746452
1,18,N/N,0.764566
1,19,S/S,1.170353
1,19,N/S,1.035579
1,19,S/N,1.035579
1,19,N/N,1.015377
1,20,S/S,1.488434
1,20,N/S,0.897304
1,20,S/N,0.897304
1,20,N/N,0.553691
1,21,S/S,1.887633
1,21,N/S,1.384818
1,21,S/N,1.384818
1,21,N/N,1.431666
1,22,S/S,0.152485
1,22,N/S,0.227078
1,22,S/N,0.227078
1,22,N/N,0.364762
1,23,S/S,1.029513
1,23,N/S,1.412438
1,23,S/N,1.412438
1,23,N/N,1.391533
1,24,S/S,1.379773
1,24,N/S,1.216250
1,24,S/N,1.216250
1,24,N/N,1.039812
1,25,S/S,1.009353
1,25,N/S,0.350940
1,25,S/N,0.350940
1,25,N/N,0.534828
