ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,-0.121883
1,1,N/H,0.555995
1,1,S/E,0.235132
1,1,N/E,0.895213
1,2,S/H,0.001855
1,2,N/H,-0.002588
1,2,S/E,0.443906
1,2,N/E,0.214984
1,3,S/H,-0.025504
1,3,N/H,0.186752
1,3,S/E,-0.149362
1,3,N/E,-0.088107
1,4,S/H,0.017572
1,4,N/H,0.113281
1,4,S/E,-0.098537
1,4,N/E,0.049360
1,5,S/H,-0.644794
1,5,N/H,-0.342350
1,5,S/E,-0.533984
1,5,N/E,-0.431985
1,6,S/H,0.182767
1,6,N/H,0.271621
1,6,S/E,0.078690
1,6,N/E,0.144265
1,7,S/H,-0.064277
1,7,N/H,-0.052594
1,7,S/E,-0.012539
1,7,N/E,0.071011
1,8,S/H,-0.132893
1,8,N/H,0.476035
1,8,S/E,0.493565
1,8,N/E,0.302779
1,9,S/H,-0.683434
1,9,N/H,0.565461
1,9,S/E,-0.469515
1,9,N/E,0.468258
1,10,S/H,-0.646017
1,10,N/H,-0.439963
1,10,S/E,-0.619850
1,10,N/E,-0.526457
1,11,S/H,-0.342865
1,11,N/H,-0.623543
1,11,S/E,-0.534996
1,11,N/E,-0.581115
1,12,S/H,0.235029
1,12,N/H,0.133815
1,12,S/E,0.166656
1,12,N/E,0.086955
1,13,S/H,-0.173126
1,13,N/H,-0.150739
1,13,S/E,-0.166206
1,13,N/E,-0.053747
1,14,S/H,-0.410773
1,14,N/H,-0.379707
1,14,S/E,-0.545149
1,14,N/E,-0.507351
1,15,S/H,-0.247258
1,15,N/H,0.464262
1,15,S/E,-0.088250
1,15,N/E,0.169700
1,16,S/H,-0.044412
1,16,N/H,-0.167180
1,16,S/E,0.579947
1,16,N/E,0.450222
1,17,S/H,-0.622058
1,17,N/H,-0.371403
1,17,S/E,-0.885044
1,17,N/E,-0.492987
1,18,S/H,-0.451157
1,18,N/H,-0.601536
1,18,S/E,-0.612429
1,18,N/E,-0.556202
1,19,S/H,-0.130288
1,19,N/H,-0.354910
1,19,S/E,-0.183775
1,19,N/E,-0.332415
1,20,S/H,-0.160784
1,20,N/H,0.204983
1,20,S/E,-0.147690
1,20,N/E,0.455420
1,21,S/H,-0.234770
1,21,N/H,0.390918
1,21,S/E,0.282396
1,21,N/E,0.321183
1,22,S/H,0.189604
1,22,N/H,0.107723
1,22,S/E,0.330498
1,22,N/E,-0.049559
1,23,S/H,-0.484835
1,23,N/H,-0.243912
1,23,S/E,-0.410117
1,23,N/E,-0.171915
1,24,S/H,0.221897
1,24,N/H,0.138619
1,24,S/E,0.410850
1,24,N/E,0.312660
1,25,S/H,-0.803781
1,25,N/H,-0.142460
1,25,S/E,-0.471854
1,25,N/E,-0.066003
