ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,2.540944
1,1,E/en,1.946465
1,1,H/jap,2.618424
1,1,E/jap,2.143798
1,1,H/sent,1.259038
1,1,E/sent,1.021031
1,2,H/en,2.007724
1,2,E/en,1.999831
1,2,H/jap,2.137679
1,2,E/jap,2.055241
1,2,H/sent,1.563543
1,2,E/sent,1.573133
1,3,H/en,1.769245
1,3,E/en,1.553634
1,3,H/jap,1.791614
1,3,E/jap,1.601357
1,3,H/sent,1.870082
1,3,E/sent,1.640487
1,4,H/en,1.098477
1,4,E/en,1.228058
1,4,H/jap,0.948868
1,4,E/jap,1.031961
1,4,H/sent,1.049581
1,4,E/sent,1.211658
1,5,H/en,1.292576
1,5,E/en,1.300241
1,5,H/jap,1.305997
1,5,E/jap,1.315164
1,5,H/sent,1.398934
1,5,E/sent,1.422041
1,6,H/en,1.326782
1,6,E/en,1.217863
1,6,H/jap,1.768874
1,6,E/jap,1.463731
1,6,H/sent,1.103660
1,6,E/sent,0.959762
1,7,H/en,-0.018416
1,7,E/en,0.077926
1,7,H/jap,-0.125480
1,7,E/jap,-0.018500
1,7,H/sent,-0.079348
1,7,E/sent,0.031715
1,8,H/en,0.830117
1,8,E/en,1.000124
1,8,H/jap,0.709006
1,8,E/jap,0.915908
1,8,H/sent,0.408393
1,8,E/sent,0.551809
1,9,H/en,0.642605
1,9,E/en,0.538662
1,9,H/jap,0.920162
1,9,E/jap,0.878079
1,9,H/sent,0.457994
1,9,E/sent,0.373428
1,10,H/en,0.040162
1,10,E/en,0.242209
1,10,H/jap,0.120083
1,10,E/jap,0.392507
1,10,H/sent,-0.147376
1,10,E/sent,0.071969
1,11,H/en,2.037208
1,11,E/en,1.246277
1,11,H/jap,2.140733
1,11,E/jap,1.275849
1,11,H/sent,1.533032
1,11,E/sent,1.054844
1,12,H/en,1.530669
1,12,E/en,1.288195
1,12,H/jap,1.528640
1,12,E/jap,1.307639
1,12,H/sent,0.986630
1,12,E/sent,0.830203
1,13,H/en,1.540415
1,13,E/en,1.430086
1,13,H/jap,1.436814
1,13,E/jap,1.310540
1,13,H/sent,1.525329
1,13,E/sent,1.469598
1,14,H/en,1.682655
1,14,E/en,1.668347
1,14,H/jap,1.726014
1,14,E/jap,1.682774
1,14,H/sent,1.068353
1,14,E/sent,1.037263
1,15,H/en,2.080078
1,15,E/en,2.084472
1,15,H/jap,2.104422
1,15,E/jap,2.113990
1,15,H/sent,1.330406
1,15,E/sent,1.335185
1,16,H/en,0.674556
1,16,E/en,0.816834
1,16,H/jap,0.764498
1,16,E/jap,0.910906
1,16,H/sent,0.652347
1,16,E/sent,0.783690
1,17,H/en,1.373505
1,17,E/en,1.434246
1,17,H/jap,1.400181
1,17,E/jap,1.473464
1,17,H/sent,1.347830
1,17,E/sent,1.417442
1,18,H/en,2.146887
1,18,E/en,2.064367
1,18,H/jap,2.168428
1,18,E/jap,2.128521
1,18,H/sent,1.803583
1,18,E/sent,1.715289
1,19,H/en,1.146280
1,19,E/en,1.150324
1,19,H/jap,1.195163
1,19,E/jap,1.202197
1,19,H/sent,1.107035
1,19,E/sent,1.107761
1,20,H/en,1.091003
1,20,E/en,0.537429
1,20,H/jap,1.055359
1,20,E/jap,0.510758
1,20,H/sent,0.896614
1,20,E/sent,0.472328
1,21,H/en,1.275272
1,21,E/en,1.078040
1,21,H/jap,1.212073
1,21,E/jap,1.030967
1,21,H/sent,1.272470
1,21,E/sent,1.102105
1,22,H/en,1.534643
1,22,E/en,1.748030
1,22,H/jap,1.436629
1,22,E/jap,1.619893
1,22,H/sent,1.477578
1,22,E/sent,1.708314
1,23,H/en,1.678182
1,23,E/en,1.499865
1,23,H/jap,1.814792
1,23,E/jap,1.574557
1,23,H/sent,1.236461
1,23,E/sent,1.168099
1,24,H/en,2.007047
1,24,E/en,1.788666
1,24,H/jap,1.960516
1,24,E/jap,1.762910
1,24,H/sent,1.610978
1,24,E/sent,1.436323
1,25,H/en,1.317388
1,25,E/en,0.915701
1,25,H/jap,1.252218
1,25,E/jap,0.822754
1,25,H/sent,1.081228
1,25,E/sent,0.823218
