ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.480460
1,1,E/S,0.440860
1,1,H/N,0.506602
1,1,E/N,0.859662
1,2,H/S,-0.555421
1,2,E/S,-0.019771
1,2,H/N,0.009579
1,2,E/N,0.224532
1,3,H/S,-0.033112
1,3,E/S,0.078635
1,3,H/N,0.553921
1,3,E/N,0.574005
1,4,H/S,-0.158317
1,4,E/S,0.151360
1,4,H/N,-0.225006
1,4,E/N,0.357449
1,5,H/S,0.334311
1,5,E/S,0.504367
1,5,H/N,0.448505
1,5,E/N,0.592738
1,6,H/S,0.260118
1,6,E/S,0.287408
1,6,H/N,0.144342
1,6,E/N,0.194022
1,7,H/S,-0.408728
1,7,E/S,-0.344231
1,7,H/N,-0.215529
1,7,E/N,-0.158709
1,8,H/S,0.168463
1,8,E/S,0.273357
1,8,H/N,0.289661
1,8,E/N,0.336889
1,9,H/S,-0.783593
1,9,E/S,-0.330599
1,9,H/N,0.383191
1,9,E/N,0.119465
1,10,H/S,-0.621502
1,10,E/S,-0.447855
1,10,H/N,-0.307315
1,10,E/N,-0.042709
1,11,H/S,0.171945
1,11,E/S,-0.091447
1,11,H/N,0.503877
1,11,E/N,0.152687
1,12,H/S,0.374629
1,12,E/S,0.312150
1,12,H/N,0.437193
1,12,E/N,0.406549
1,13,H/S,1.012159
1,13,E/S,0.913711
1,13,H/N,1.135900
1,13,E/N,1.006005
1,14,H/S,-0.403164
1,14,E/S,-0.405581
1,14,H/N,-0.287861
1,14,E/N,-0.307372
1,15,H/S,0.598631
1,15,E/S,0.783430
1,15,H/N,0.888464
1,15,E/N,1.048384
1,16,H/S,0.102306
1,16,E/S,0.295590
1,16,H/N,0.182144
1,16,E/N,0.361027
1,17,H/S,0.711869
1,17,E/S,0.957311
1,17,H/N,0.899713
1,17,E/N,1.193782
1,18,H/S,-0.802697
1,18,E/S,-0.680296
1,18,H/N,-0.526714
1,18,E/N,-0.363372
1,19,H/S,0.043007
1,19,E/S,0.196269
1,19,H/N,0.349978
1,19,E/N,0.546857
1,20,H/S,-0.063051
1,20,E/S,-0.017470
1,20,H/N,0.151152
1,20,E/N,0.240948
1,21,H/S,0.175950
1,21,E/S,0.384757
1,21,H/N,0.428571
1,21,E/N,0.610787
1,22,H/S,0.471168
1,22,E/S,0.418051
1,22,H/N,0.576198
1,22,E/N,0.511195
1,23,H/S,-0.272931
1,23,E/S,-0.183073
1,23,H/N,-0.172138
1,23,E/N,-0.089088
1,24,H/S,0.062789
1,24,E/S,0.194910
1,24,H/N,0.407850
1,24,E/N,0.587630
1,25,H/S,0.238926
1,25,E/S,0.238351
1,25,H/N,0.362865
1,25,E/N,0.281775
