ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.317934
1,1,E/H,0.861150
1,1,H/E,0.861150
1,1,E/E,0.653667
1,2,H/H,0.097292
1,2,E/H,-0.042388
1,2,H/E,-0.042388
1,2,E/E,-0.041980
1,3,H/H,0.382648
1,3,E/H,0.107433
1,3,H/E,0.107433
1,3,E/E,-0.018772
1,4,H/H,-0.229186
1,4,E/H,-0.225760
1,4,H/E,-0.225760
1,4,E/E,-0.147115
1,5,H/H,0.259183
1,5,E/H,0.308251
1,5,H/E,0.308251
1,5,E/E,0.396770
1,6,H/H,0.606788
1,6,E/H,0.463909
1,6,H/E,0.463909
1,6,E/E,0.352916
1,7,H/H,0.427412
1,7,E/H,0.479198
1,7,H/E,0.479198
1,7,E/E,0.515322
1,8,H/H,0.149219
1,8,E/H,-0.143071
1,8,H/E,-0.143071
1,8,E/E,-0.198707
1,9,H/H,1.188014
1,9,E/H,0.484758
1,9,H/E,0.484758
1,9,E/E,-0.195952
1,10,H/H,1.017412
1,10,E/H,0.801904
1,10,H/E,0.801904
1,10,E/E,0.675739
1,11,H/H,0.741500
1,11,E/H,0.425476
1,11,H/E,0.425476
1,11,E/E,0.090485
1,12,H/H,0.254799
1,12,E/H,0.166804
1,12,H/E,0.166804
1,12,E/E,0.151333
1,13,H/H,0.656533
1,13,E/H,0.690723
1,13,H/E,0.690723
1,13,E/E,0.953177
1,14,H/H,0.969223
1,14,E/H,1.218321
1,14,H/E,1.218321
1,14,E/E,1.177802
1,15,H/H,0.579154
1,15,E/H,0.365860
1,15,H/E,0.365860
1,15,E/E,0.207253
1,16,H/H,0.398087
1,16,E/H,0.139829
1,16,H/E,0.139829
1,16,E/E,0.108198
1,17,H/H,-0.285044
1,17,E/H,-0.035925
1,17,H/E,-0.035925
1,17,E/E,0.251411
1,18,H/H,0.584039
1,18,E/H,0.354092
1,18,H/E,0.354092
1,18,E/E,0.130188
1,19,H/H,0.682014
1,19,E/H,0.477508
1,19,H/E,0.477508
1,19,E/E,0.157768
1,20,H/H,0.726003
1,20,E/H,0.665203
1,20,H/E,0.665203
1,20,E/E,0.664176
1,21,H/H,1.019970
1,21,E/H,0.633119
1,21,H/E,0.633119
1,21,E/E,0.313251
1,22,H/H,0.119684
1,22,E/H,-0.035352
1,22,H/E,-0.035352
1,22,E/E,0.090184
1,23,H/H,0.608587
1,23,E/H,0.379548
1,23,H/E,0.379548
1,23,E/E,0.190403
1,24,H/H,0.837647
1,24,E/H,0.761075
1,24,H/E,0.761075
1,24,E/E,0.714525
1,25,H/H,0.572578
1,25,E/H,-0.019434
1,25,H/E,-0.019434
1,25,E/E,-0.485100
