ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,0.784871
1,1,jap/en,0.785644
1,1,sent/en,0.680837
1,1,en/jap,0.826537
1,1,jap/jap,0.786222
1,1,sent/jap,0.681359
1,1,en/sent,0.778855
1,1,jap/sent,0.749155
1,1,sent/sent,0.722316
1,2,en/en,0.641347
1,2,jap/en,0.737805
1,2,sent/en,0.646980
1,2,en/jap,0.660152
1,2,jap/jap,0.729113
1,2,sent/jap,0.643998
1,2,en/sent,0.660345
1,2,jap/sent,0.723111
1,2,sent/sent,0.626655
1,3,en/en,0.528211
1,3,jap/en,0.363685
1,3,sent/en,0.316663
1,3,en/jap,0.312801
1,3,jap/jap,0.548020
1,3,sent/jap,0.403792
1,3,en/sent,0.344547
1,3,jap/sent,0.466999
1,3,sent/sent,0.350190
1,4,en/en,0.600276
1,4,jap/en,0.486059
1,4,sent/en,0.431168
1,4,en/jap,0.557382
1,4,jap/jap,0.485072
1,4,sent/jap,0.471199
1,4,en/sent,0.558799
1,4,jap/sent,0.458506
1,4,sent/sent,0.584003
1,5,en/en,0.448832
1,5,jap/en,0.575801
1,5,sent/en,0.589249
1,5,en/jap,0.482606
1,5,jap/jap,0.611587
1,5,sent/jap,0.589939
1,5,en/sent,0.467633
1,5,jap/sent,0.575042
1,5,sent/sent,0.622548
1,6,en/en,0.530931
1,6,jap/en,0.799102
1,6,sent/en,0.310449
1,6,en/jap,0.637629
1,6,jap/jap,0.832994
1,6,sent/jap,0.303309
1,6,en/sent,0.365554
1,6,jap/sent,0.514884
1,6,sent/sent,0.275348
1,7,en/en,0.442841
1,7,jap/en,0.349688
1,7,sent/en,0.406089
1,7,en/jap,0.341092
1,7,jap/jap,0.261241
1,7,sent/jap,0.188980
1,7,en/sent,0.386309
1,7,jap/sent,0.241839
1,7,sent/sent,0.511880
1,8,en/en,0.586699
1,8,jap/en,0.757682
1,8,sent/en,0.597061
1,8,en/jap,0.640997
1,8,jap/jap,0.775764
1,8,sent/jap,0.618638
1,8,en/sent,0.543438
1,8,jap/sent,0.651935
1,8,sent/sent,0.609457
1,9,en/en,0.458926
1,9,jap/en,0.640177
1,9,sent/en,0.578895
1,9,en/jap,0.523778
1,9,jap/jap,0.631461
1,9,sent/jap,0.588293
1,9,en/sent,0.493896
1,9,jap/sent,0.594005
1,9,sent/sent,0.565058
1,10,en/en,0.896965
1,10,jap/en,0.719660
1,10,sent/en,0.808440
1,10,en/jap,0.825030
1,10,jap/jap,0.709379
1,10,sent/jap,0.755821
1,10,en/sent,0.849253
1,10,jap/sent,0.686892
1,10,sent/sent,0.804469
1,11,en/en,0.977560
1,11,jap/en,0.968159
1,11,sent/en,0.781164
1,11,en/jap,0.917026
1,11,jap/jap,1.048021
1,11,sent/jap,0.747397
1,11,en/sent,0.495813
1,11,jap/sent,0.447965
1,11,sent/sent,0.422393
1,12,en/en,0.547374
1,12,jap/en,0.671412
1,12,sent/en,0.779710
1,12,en/jap,0.551708
1,12,jap/jap,0.596905
1,12,sent/jap,0.649474
1,12,en/sent,0.630537
1,12,jap/sent,0.624680
1,12,sent/sent,0.791924
1,13,en/en,0.634523
1,13,jap/en,0.456271
1,13,sent/en,0.349956
1,13,en/jap,0.469986
1,13,jap/jap,0.329692
1,13,sent/jap,0.163723
1,13,en/sent,0.418866
1,13,jap/sent,0.464634
1,13,sent/sent,0.431190
1,14,en/en,0.420893
1,14,jap/en,0.519854
1,14,sent/en,0.483227
1,14,en/jap,0.449353
1,14,jap/jap,0.515104
1,14,sent/jap,0.402866
1,14,en/sent,0.461689
1,14,jap/sent,0.461250
1,14,sent/sent,0.427953
1,15,en/en,0.657363
1,15,jap/en,0.633152
1,15,sent/en,0.624536
1,15,en/jap,0.663882
1,15,jap/jap,0.611756
1,15,sent/jap,0.554070
1,15,en/sent,0.619884
1,15,jap/sent,0.536264
1,15,sent/sent,0.546272
1,16,en/en,0.395279
1,16,jap/en,0.542340
1,16,sent/en,0.469590
1,16,en/jap,0.381677
1,16,jap/jap,0.666838
1,16,sent/jap,0.463555
1,16,en/sent,0.385606
1,16,jap/sent,0.552094
1,16,sent/sent,0.501386
1,17,en/en,0.486602
1,17,jap/en,0.615210
1,17,sent/en,0.520533
1,17,en/jap,0.535801
1,17,jap/jap,0.625125
1,17,sent/jap,0.565121
1,17,en/sent,0.466699
1,17,jap/sent,0.608082
1,17,sent/sent,0.546384
1,18,en/en,0.760032
1,18,jap/en,0.866769
1,18,sent/en,0.464083
1,18,en/jap,0.799287
1,18,jap/jap,0.842167
1,18,sent/jap,0.469373
1,18,en/sent,0.616288
1,18,jap/sent,0.735115
1,18,sent/sent,0.442049
1,19,en/en,0.707216
1,19,jap/en,0.705884
1,19,sent/en,0.685558
1,19,en/jap,0.658796
1,19,jap/jap,0.705139
1,19,sent/jap,0.804716
1,19,en/sent,0.564363
1,19,jap/sent,0.715484
1,19,sent/sent,0.852565
1,20,en/en,0.854762
1,20,jap/en,0.818878
1,20,sent/en,0.746184
1,20,en/jap,0.785685
1,20,jap/jap,0.698087
1,20,sent/jap,0.700897
1,20,en/sent,0.820866
1,20,jap/sent,0.793348
1,20,sent/sent,0.716190
1,21,en/en,0.846107
1,21,jap/en,1.000681
1,21,sent/en,0.557092
1,21,en/jap,0.870657
1,21,jap/jap,1.019899
1,21,sent/jap,0.582843
1,21,en/sent,0.738504
1,21,jap/sent,0.876324
1,21,sent/sent,0.547048
1,22,en/en,0.669483
1,22,jap/en,0.659877
1,22,sent/en,0.554291
1,22,en/jap,0.650660
