ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.340848
1,1,jap/S,0.371137
1,1,sent/S,0.567718
1,1,en/N,0.309760
1,1,jap/N,0.327465
1,1,sent/N,0.501309
1,2,en/S,0.894139
1,2,jap/S,0.871947
1,2,sent/S,0.759645
1,2,en/N,0.734538
1,2,jap/N,0.711174
1,2,sent/N,0.618343
1,3,en/S,0.955495
1,3,jap/S,1.052986
1,3,sent/S,1.102824
1,3,en/N,0.952932
1,3,jap/N,1.071060
1,3,sent/N,0.943342
1,4,en/S,0.488500
1,4,jap/S,0.492565
1,4,sent/S,0.940625
1,4,en/N,0.838990
1,4,jap/N,0.796896
1,4,sent/N,1.158515
1,5,en/S,-0.260108
1,5,jap/S,-0.241282
1,5,sent/S,0.005305
1,5,en/N,-0.195605
1,5,jap/N,-0.178286
1,5,sent/N,0.031098
1,6,en/S,-0.132283
1,6,jap/S,-0.082066
1,6,sent/S,0.264506
1,6,en/N,-0.107916
1,6,jap/N,-0.057559
1,6,sent/N,0.325305
1,7,en/S,0.597740
1,7,jap/S,0.574104
1,7,sent/S,0.513200
1,7,en/N,0.425394
1,7,jap/N,0.408833
1,7,sent/N,0.337063
1,8,en/S,0.507861
1,8,jap/S,0.445970
1,8,sent/S,0.849786
1,8,en/N,0.770835
1,8,jap/N,0.697916
1,8,sent/N,1.146114
1,9,en/S,0.161713
1,9,jap/S,0.140789
1,9,sent/S,0.145165
1,9,en/N,0.028589
1,9,jap/N,0.009719
1,9,sent/N,0.085879
1,10,en/S,1.091276
1,10,jap/S,1.088068
1,10,sent/S,1.471650
1,10,en/N,1.199989
1,10,jap/N,1.186837
1,10,sent/N,1.692642
1,11,en/S,0.052927
1,11,jap/S,0.108162
1,11,sent/S,0.277031
1,11,en/N,0.656836
1,11,jap/N,0.681477
1,11,sent/N,0.487244
1,12,en/S,0.963909
1,12,jap/S,0.906030
1,12,sent/S,1.112473
1,12,en/N,0.795876
1,12,jap/N,0.736406
1,12,sent/N,0.897083
1,13,en/S,0.482562
1,13,jap/S,0.304924
1,13,sent/S,0.797392
1,13,en/N,0.319690
1,13,jap/N,0.197167
1,13,sent/N,0.599445
1,14,en/S,1.179882
1,14,jap/S,1.229246
1,14,sent/S,0.866530
1,14,en/N,1.242265
1,14,jap/N,1.347734
1,14,sent/N,1.029900
1,15,en/S,0.326991
1,15,jap/S,0.422289
1,15,sent/S,0.157291
1,15,en/N,0.330131
1,15,jap/N,0.412933
1,15,sent/N,0.177690
1,16,en/S,-0.349148
1,16,jap/S,-0.369218
1,16,sent/S,-0.074744
1,16,en/N,-0.301368
1,16,jap/N,-0.302280
1,16,sent/N,-0.152019
1,17,en/S,0.411491
1,17,jap/S,0.542913
1,17,sent/S,0.643154
1,17,en/N,0.478273
1,17,jap/N,0.608863
1,17,sent/N,0.718238
1,18,en/S,0.751409
1,18,jap/S,0.661087
1,18,sent/S,0.665810
1,18,en/N,0.604471
1,18,jap/N,0.504977
1,18,sent/N,0.478521
1,19,en/S,0.667846
1,19,jap/S,0.699246
1,19,sent/S,1.021693
1,19,en/N,0.599770
1,19,jap/N,0.627501
1,19,sent/N,0.946382
1,20,en/S,-0.157205
1,20,jap/S,-0.073033
1,20,sent/S,-0.099921
1,20,en/N,0.515852
1,20,jap/N,0.526639
1,20,sent/N,0.545297
1,21,en/S,0.923590
1,21,jap/S,0.886427
1,21,sent/S,0.822664
1,21,en/N,1.125996
1,21,jap/N,1.101097
1,21,sent/N,1.077696
1,22,en/S,0.601212
1,22,jap/S,0.553962
1,22,sent/S,0.645176
1,22,en/N,0.620489
1,22,jap/N,0.590747
1,22,sent/N,0.529310
1,23,en/S,1.456879
1,23,jap/S,1.446617
1,23,sent/S,1.266844
1,23,en/N,1.118576
1,23,jap/N,1.098232
1,23,sent/N,1.157648
1,24,en/S,-0.203344
1,24,jap/S,-0.256652
1,24,sent/S,-0.099865
1,24,en/N,-0.019409
1,24,jap/N,-0.069719
1,24,sent/N,0.061517
1,25,en/S,0.195880
1,25,jap/S,0.032624
1,25,sent/S,0.266655
1,25,en/N,0.421606
1,25,jap/N,0.248752
1,25,sent/N,0.432656
