ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,1.048738
1,1,jap/H,1.023829
1,1,sent/H,0.716835
1,1,en/E,0.889481
1,1,jap/E,0.850499
1,1,sent/E,0.715359
1,2,en/H,0.435060
1,2,jap/H,0.393386
1,2,sent/H,0.133437
1,2,en/E,0.324700
1,2,jap/E,0.263695
1,2,sent/E,-0.018807
1,3,en/H,-0.088108
1,3,jap/H,-0.083670
1,3,sent/H,-0.052382
1,3,en/E,0.069389
1,3,jap/E,0.058562
1,3,sent/E,0.019471
1,4,en/H,0.960050
1,4,jap/H,0.979034
1,4,sent/H,0.521078
1,4,en/E,0.869453
1,4,jap/E,0.883990
1,4,sent/E,0.441952
1,5,en/H,1.820451
1,5,jap/H,1.774945
1,5,sent/H,1.321768
1,5,en/E,1.912525
1,5,jap/E,1.809198
1,5,sent/E,1.437304
1,6,en/H,1.428516
1,6,jap/H,1.642357
1,6,sent/H,0.128835
1,6,en/E,1.008262
1,6,jap/E,1.206098
1,6,sent/E,0.305274
1,7,en/H,1.524122
1,7,jap/H,1.503870
1,7,sent/H,0.293888
1,7,en/E,1.535814
1,7,jap/E,1.510306
1,7,sent/E,0.305615
1,8,en/H,2.461203
1,8,jap/H,2.356411
1,8,sent/H,1.697255
1,8,en/E,1.800116
1,8,jap/E,1.752532
1,8,sent/E,1.885200
1,9,en/H,1.215530
1,9,jap/H,1.190502
1,9,sent/H,0.855847
1,9,en/E,1.155248
1,9,jap/E,1.131435
1,9,sent/E,0.810792
1,10,en/H,1.310546
1,10,jap/H,1.312534
1,10,sent/H,1.135787
1,10,en/E,1.202803
1,10,jap/E,1.203086
1,10,sent/E,0.981901
1,11,en/H,2.023586
1,11,jap/H,2.099680
1,11,sent/H,1.316253
1,11,en/E,1.602582
1,11,jap/E,1.778298
1,11,sent/E,1.421093
1,12,en/H,1.236994
1,12,jap/H,1.142853
1,12,sent/H,1.032831
1,12,en/E,0.962672
1,12,jap/E,0.712867
1,12,sent/E,0.686268
1,13,en/H,0.586502
1,13,jap/H,0.507551
1,13,sent/H,-0.167864
1,13,en/E,0.183620
1,13,jap/E,0.087502
1,13,sent/E,-0.121368
1,14,en/H,1.575706
1,14,jap/H,1.525741
1,14,sent/H,1.336549
1,14,en/E,1.042793
1,14,jap/E,1.186531
1,14,sent/E,0.666065
1,15,en/H,0.254938
1,15,jap/H,0.219810
1,15,sent/H,-0.623032
1,15,en/E,0.258978
1,15,jap/E,0.231317
1,15,sent/E,-0.559778
1,16,en/H,0.810971
1,16,jap/H,0.949166
1,16,sent/H,0.491419
1,16,en/E,0.874497
1,16,jap/E,1.017067
1,16,sent/E,0.568332
1,17,en/H,1.565896
1,17,jap/H,1.665200
1,17,sent/H,1.335113
1,17,en/E,1.599031
1,17,jap/E,1.687316
1,17,sent/E,1.367799
1,18,en/H,1.551505
1,18,jap/H,1.654112
1,18,sent/H,1.344632
1,18,en/E,1.467277
1,18,jap/E,1.619913
1,18,sent/E,1.398057
1,19,en/H,1.697870
1,19,jap/H,1.475831
1,19,sent/H,0.583706
1,19,en/E,1.818818
1,19,jap/E,1.578075
1,19,sent/E,0.652235
1,20,en/H,0.826991
1,20,jap/H,0.711077
1,20,sent/H,0.662767
1,20,en/E,0.674041
1,20,jap/E,0.598744
1,20,sent/E,0.518776
1,21,en/H,1.863866
1,21,jap/H,2.030508
1,21,sent/H,1.864420
1,21,en/E,1.975511
1,21,jap/E,1.910488
1,21,sent/E,1.610010
1,22,en/H,1.460162
1,22,jap/H,1.624800
1,22,sent/H,0.981525
1,22,en/E,1.532153
1,22,jap/E,1.694368
1,22,sent/E,1.092449
1,23,en/H,1.555885
1,23,jap/H,1.627458
1,23,sent/H,1.490859
1,23,en/E,1.190616
1,23,jap/E,1.293700
1,23,sent/E,1.188901
1,24,en/H,1.444267
1,24,jap/H,1.346681
1,24,sent/H,1.108683
1,24,en/E,1.466572
1,24,jap/E,1.317333
1,24,sent/E,1.183225
1,25,en/H,1.951530
1,25,jap/H,1.857242
1,25,sent/H,1.083566
1,25,en/E,1.827087
1,25,jap/E,1.847976
1,25,sent/E,1.050726
