ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.838365
1,1,N/en,0.945408
1,1,S/jap,0.845727
1,1,N/jap,0.994715
1,1,S/sent,0.867666
1,1,N/sent,1.117653
1,2,S/en,-0.008274
1,2,N/en,-0.440198
1,2,S/jap,0.016416
1,2,N/jap,-0.432121
1,2,S/sent,0.115622
1,2,N/sent,-0.345795
1,3,S/en,1.357428
1,3,N/en,1.536005
1,3,S/jap,1.372812
1,3,N/jap,1.548049
1,3,S/sent,1.364943
1,3,N/sent,1.469103
1,4,S/en,0.210748
1,4,N/en,0.966020
1,4,S/jap,0.181664
1,4,N/jap,0.873961
1,4,S/sent,0.119802
1,4,N/sent,0.767554
1,5,S/en,-0.014115
1,5,N/en,0.699821
1,5,S/jap,-0.039171
1,5,N/jap,0.671831
1,5,S/sent,0.051680
1,5,N/sent,0.712037
1,6,S/en,0.383775
1,6,N/en,0.452920
1,6,S/jap,0.247066
1,6,N/jap,0.328895
1,6,S/sent,0.621434
1,6,N/sent,0.667990
1,7,S/en,1.116630
1,7,N/en,0.899542
1,7,S/jap,1.156367
1,7,N/jap,0.916544
1,7,S/sent,1.174994
1,7,N/sent,0.955214
1,8,S/en,-0.120301
1,8,N/en,1.007408
1,8,S/jap,-0.139696
1,8,N/jap,0.956309
1,8,S/sent,0.063797
1,8,N/sent,0.315439
1,9,S/en,-0.487188
1,9,N/en,-0.344143
1,9,S/jap,-0.536434
1,9,N/jap,-0.367002
1,9,S/sent,-0.170952
1,9,N/sent,0.009831
1,10,S/en,0.841628
1,10,N/en,1.021720
1,10,S/jap,0.842294
1,10,N/jap,1.044867
1,10,S/sent,0.847487
1,10,N/sent,1.067887
1,11,S/en,-0.081468
1,11,N/en,0.782105
1,11,S/jap,-0.109907
1,11,N/jap,0.691734
1,11,S/sent,-0.105738
1,11,N/sent,0.640539
1,12,S/en,-0.054564
1,12,N/en,-0.419097
1,12,S/jap,-0.022215
1,12,N/jap,-0.397197
1,12,S/sent,-0.092089
1,12,N/sent,-0.495134
1,13,S/en,1.395315
1,13,N/en,1.062709
1,13,S/jap,1.039892
1,13,N/jap,0.727344
1,13,S/sent,0.993754
1,13,N/sent,0.789768
1,14,S/en,0.940894
1,14,N/en,0.773446
1,14,S/jap,1.012628
1,14,N/jap,0.875719
1,14,S/sent,0.768575
1,14,N/sent,0.635117
1,15,S/en,0.225025
1,15,N/en,0.735439
1,15,S/jap,0.045115
1,15,N/jap,0.494903
1,15,S/sent,0.500994
1,15,N/sent,0.513444
1,16,S/en,0.007623
1,16,N/en,0.227868
1,16,S/jap,0.078538
1,16,N/jap,0.270032
1,16,S/sent,-0.140754
1,16,N/sent,0.095629
1,17,S/en,0.810256
1,17,N/en,0.659801
1,17,S/jap,0.843353
1,17,N/jap,0.692254
1,17,S/sent,0.554871
1,17,N/sent,0.417100
1,18,S/en,1.145906
1,18,N/en,1.174810
1,18,S/jap,1.141918
1,18,N/jap,1.175264
1,18,S/sent,1.085055
1,18,N/sent,1.035419
1,19,S/en,0.626011
1,19,N/en,0.632369
1,19,S/jap,0.619404
1,19,N/jap,0.649935
1,19,S/sent,0.531115
1,19,N/sent,0.553591
1,20,S/en,0.496270
1,20,N/en,0.537505
1,20,S/jap,0.536784
1,20,N/jap,0.605856
1,20,S/sent,0.433931
1,20,N/sent,0.463725
1,21,S/en,0.995320
1,21,N/en,1.453222
1,21,S/jap,0.987503
1,21,N/jap,1.337192
1,21,S/sent,0.769577
1,21,N/sent,1.116955
1,22,S/en,0.326130
1,22,N/en,0.534896
1,22,S/jap,0.319950
1,22,N/jap,0.536617
1,22,S/sent,0.551011
1,22,N/sent,0.724384
1,23,S/en,0.518244
1,23,N/en,0.436914
1,23,S/jap,0.502794
1,23,N/jap,0.421904
1,23,S/sent,0.815963
1,23,N/sent,0.686856
1,24,S/en,0.429737
1,24,N/en,0.590145
1,24,S/jap,0.433453
1,24,N/jap,0.628510
1,24,S/sent,0.576108
1,24,N/sent,0.624409
1,25,S/en,-0.382369
1,25,N/en,0.227554
1,25,S/jap,-0.325957
1,25,N/jap,0.312338
1,25,S/sent,-0.200460
1,25,N/sent,0.355687
