ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.278026
1,1,N/S,1.005842
1,1,S/N,1.005842
1,1,N/N,1.125786
1,2,S/S,0.664521
1,2,N/S,0.057107
1,2,S/N,0.057107
1,2,N/N,-0.143620
1,3,S/S,0.356915
1,3,N/S,0.505612
1,3,S/N,0.505612
1,3,N/N,0.647137
1,4,S/S,0.122672
1,4,N/S,-0.148278
1,4,S/N,-0.148278
1,4,N/N,-0.282657
1,5,S/S,0.004066
1,5,N/S,0.180512
1,5,S/N,0.180512
1,5,N/N,0.370252
1,6,S/S,0.165743
1,6,N/S,0.024962
1,6,S/N,0.024962
1,6,N/N,-0.009632
1,7,S/S,0.871691
1,7,N/S,0.480029
1,7,S/N,0.480029
1,7,N/N,0.170320
1,8,S/S,0.470003
1,8,N/S,-0.085460
1,8,S/N,-0.085460
1,8,N/N,-0.192222
1,9,S/S,0.739533
1,9,N/S,0.590584
1,9,S/N,0.590584
1,9,N/N,0.474275
1,10,S/S,0.435429
1,10,N/S,0.543336
1,10,S/N,0.543336
1,10,N/N,0.585918
1,11,S/S,1.274418
1,11,N/S,0.948244
1,11,S/N,0.948244
1,11,N/N,0.738440
1,12,S/S,0.685246
1,12,N/S,0.197175
1,12,S/N,0.197175
1,12,N/N,0.088574
1,13,S/S,1.175038
1,13,N/S,1.196946
1,13,S/N,1.196946
1,13,N/N,1.276150
1,14,S/S,1.311784
1,14,N/S,1.049665
1,14,S/N,1.049665
1,14,N/N,0.789572
1,15,S/S,1.403477
1,15,N/S,1.450611
1,15,S/N,1.450611
1,15,N/N,1.660358
1,16,S/S,-0.116370
1,16,N/S,0.127349
1,16,S/N,0.127349
1,16,N/N,0.283585
1,17,S/S,1.694210
1,17,N/S,1.045969
1,17,S/N,1.045969
1,17,N/N,0.467137
1,18,S/S,0.351995
1,18,N/S,0.313377
1,18,S/N,0.313377
1,18,N/N,0.366643
1,19,S/S,0.720367
1,19,N/S,0.284742
1,19,S/N,0.284742
1,19,N/N,-0.040940
1,20,S/S,0.731434
1,20,N/S,0.279058
1,20,S/N,0.279058
1,20,N/N,0.584382
1,21,S/S,-0.375079
1,21,N/S,0.104480
1,21,S/N,0.104480
1,21,N/N,0.660591
1,22,S/S,-0.392667
1,22,N/S,0.040042
1,22,S/N,0.040042
1,22,N/N,0.481489
1,23,S/S,0.948874
1,23,N/S,0.725104
1,23,S/N,0.725104
1,23,N/N,0.901959
1,24,S/S,0.335561
1,24,N/S,0.199334
1,24,S/N,0.199334
1,24,N/N,0.056166
1,25,S/S,-0.139213
1,25,N/S,0.153756
1,25,S/N,0.153756
1,25,N/N,0.835986
