ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,0.510279
1,1,N/H,0.760236
1,1,S/E,0.479967
1,1,N/E,0.740275
1,2,S/H,-0.152686
1,2,N/H,-0.138301
1,2,S/E,0.076571
1,2,N/E,0.095446
1,3,S/H,2.203993
1,3,N/H,2.112346
1,3,S/E,1.819145
1,3,N/E,2.197789
1,4,S/H,-0.490098
1,4,N/H,0.121994
1,4,S/E,-0.435859
1,4,N/E,0.211550
1,5,S/H,-0.399293
1,5,N/H,0.223402
1,5,S/E,-0.357038
1,5,N/E,0.224287
1,6,S/H,0.963429
1,6,N/H,0.985485
1,6,S/E,0.749282
1,6,N/E,0.775334
1,7,S/H,-0.236068
1,7,N/H,-0.256423
1,7,S/E,-0.103449
1,7,N/E,-0.176508
1,8,S/H,0.120711
1,8,N/H,0.650011
1,8,S/E,0.150519
1,8,N/E,0.694309
1,9,S/H,1.026337
1,9,N/H,0.463678
1,9,S/E,1.032337
1,9,N/E,0.456998
1,10,S/H,0.656763
1,10,N/H,1.004808
1,10,S/E,0.584459
1,10,N/E,0.943859
1,11,S/H,0.530430
1,11,N/H,0.752551
1,11,S/E,-0.548916
1,11,N/E,-0.327231
1,12,S/H,0.537870
1,12,N/H,-0.032106
1,12,S/E,0.228069
1,12,N/E,0.003831
1,13,S/H,0.652095
1,13,N/H,0.707242
1,13,S/E,0.348290
1,13,N/E,0.501942
1,14,S/H,0.440513
1,14,N/H,0.605297
1,14,S/E,0.477105
1,14,N/E,0.628792
1,15,S/H,0.754919
1,15,N/H,1.038179
1,15,S/E,0.741968
1,15,N/E,0.982353
1,16,S/H,-0.150481
1,16,N/H,0.384403
1,16,S/E,-0.125037
1,16,N/E,0.458254
1,17,S/H,0.564133
1,17,N/H,0.764105
1,17,S/E,0.628491
1,17,N/E,0.807846
1,18,S/H,0.916889
1,18,N/H,0.590333
1,18,S/E,0.742287
1,18,N/E,0.705655
1,19,S/H,0.158768
1,19,N/H,0.549183
1,19,S/E,0.095998
1,19,N/E,0.436185
1,20,S/H,1.254272
1,20,N/H,1.351947
1,20,S/E,1.275939
1,20,N/E,1.387064
1,21,S/H,0.587357
1,21,N/H,1.047507
1,21,S/E,0.402268
1,21,N/E,0.824273
1,22,S/H,0.810981
1,22,N/H,1.749758
1,22,S/E,0.809317
1,22,N/E,1.501387
1,23,S/H,1.434750
1,23,N/H,1.614338
1,23,S/E,1.285114
1,23,N/E,1.565948
1,24,S/H,0.176056
1,24,N/H,0.361081
1,24,S/E,0.171891
1,24,N/E,0.398879
1,25,S/H,0.861054
1,25,N/H,1.436262
1,25,S/E,0.812346
1,25,N/E,1.294703
