ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,0.671987
1,1,E/en,0.654305
1,1,H/jap,0.566599
1,1,E/jap,0.500778
1,1,H/sent,0.507681
1,1,E/sent,0.530877
1,2,H/en,0.174664
1,2,E/en,0.217830
1,2,H/jap,0.355351
1,2,E/jap,0.329897
1,2,H/sent,-0.001063
1,2,E/sent,0.002720
1,3,H/en,0.010382
1,3,E/en,-0.088646
1,3,H/jap,-0.021999
1,3,E/jap,-0.295092
1,3,H/sent,-0.087508
1,3,E/sent,-0.313822
1,4,H/en,0.099437
1,4,E/en,1.129562
1,4,H/jap,0.189111
1,4,E/jap,1.239564
1,4,H/sent,-0.012155
1,4,E/sent,0.995349
1,5,H/en,0.952534
1,5,E/en,0.907808
1,5,H/jap,0.684369
1,5,E/jap,0.731104
1,5,H/sent,0.901139
1,5,E/sent,0.897126
1,6,H/en,1.076883
1,6,E/en,0.929416
1,6,H/jap,1.294073
1,6,E/jap,1.305955
1,6,H/sent,1.086161
1,6,E/sent,0.935402
1,7,H/en,1.090280
1,7,E/en,0.929619
1,7,H/jap,1.002301
1,7,E/jap,0.885717
1,7,H/sent,0.688054
1,7,E/sent,0.432307
1,8,H/en,0.691845
1,8,E/en,0.966859
1,8,H/jap,0.413373
1,8,E/jap,0.644800
1,8,H/sent,0.262752
1,8,E/sent,0.411045
1,9,H/en,0.646376
1,9,E/en,0.551408
1,9,H/jap,0.637824
1,9,E/jap,0.574194
1,9,H/sent,0.729336
1,9,E/sent,0.732993
1,10,H/en,0.838588
1,10,E/en,0.830305
1,10,H/jap,0.813642
1,10,E/jap,0.786181
1,10,H/sent,0.771035
1,10,E/sent,0.606899
1,11,H/en,0.845000
1,11,E/en,0.671194
1,11,H/jap,1.167693
1,11,E/jap,0.971156
1,11,H/sent,0.722158
1,11,E/sent,0.593976
1,12,H/en,0.904066
1,12,E/en,0.496247
1,12,H/jap,0.851632
1,12,E/jap,0.845086
1,12,H/sent,0.927947
1,12,E/sent,0.319711
1,13,H/en,0.400209
1,13,E/en,0.824523
1,13,H/jap,0.288939
1,13,E/jap,0.505526
1,13,H/sent,0.647831
1,13,E/sent,0.425280
1,14,H/en,0.846017
1,14,E/en,1.209429
1,14,H/jap,1.010186
1,14,E/jap,0.763804
1,14,H/sent,0.849913
1,14,E/sent,0.818053
1,15,H/en,0.900300
1,15,E/en,0.909973
1,15,H/jap,0.902089
1,15,E/jap,0.924963
1,15,H/sent,0.507875
1,15,E/sent,0.538119
1,16,H/en,1.521314
1,16,E/en,1.310335
1,16,H/jap,1.736218
1,16,E/jap,1.446793
1,16,H/sent,1.483951
1,16,E/sent,1.438955
1,17,H/en,1.400044
1,17,E/en,1.397367
1,17,H/jap,1.702031
1,17,E/jap,1.718388
1,17,H/sent,1.074136
1,17,E/sent,1.073132
1,18,H/en,0.283481
1,18,E/en,0.307275
1,18,H/jap,0.217989
1,18,E/jap,0.250789
1,18,H/sent,0.247845
1,18,E/sent,0.245832
1,19,H/en,1.698931
1,19,E/en,1.584225
1,19,H/jap,1.331734
1,19,E/jap,1.258334
1,19,H/sent,1.095491
1,19,E/sent,1.134233
1,20,H/en,1.952525
1,20,E/en,1.566788
1,20,H/jap,1.471895
1,20,E/jap,1.154141
1,20,H/sent,1.961566
1,20,E/sent,1.513451
1,21,H/en,0.647348
1,21,E/en,0.228947
1,21,H/jap,1.054180
1,21,E/jap,0.605889
1,21,H/sent,0.811300
1,21,E/sent,0.360513
1,22,H/en,1.394447
1,22,E/en,0.797341
1,22,H/jap,1.163571
1,22,E/jap,1.086349
1,22,H/sent,0.856863
1,22,E/sent,0.823491
1,23,H/en,1.376464
1,23,E/en,1.198714
1,23,H/jap,1.233085
1,23,E/jap,1.122855
1,23,H/sent,1.092398
1,23,E/sent,0.991521
1,24,H/en,-0.008997
1,24,E/en,0.291835
1,24,H/jap,-0.007398
1,24,E/jap,0.318170
1,24,H/sent,-0.048982
1,24,E/sent,0.241834
1,25,H/en,1.073969
1,25,E/en,0.816160
1,25,H/jap,0.870220
1,25,E/jap,0.998138
1,25,H/sent,0.804092
1,25,E/sent,0.695421
