ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.504386
1,1,E/S,0.497720
1,1,H/N,0.223086
1,1,E/N,0.156026
1,2,H/S,0.785256
1,2,E/S,0.894604
1,2,H/N,0.383438
1,2,E/N,0.479639
1,3,H/S,1.284065
1,3,E/S,1.462534
1,3,H/N,1.288616
1,3,E/N,1.465784
1,4,H/S,0.719092
1,4,E/S,0.693976
1,4,H/N,0.841095
1,4,E/N,0.662585
1,5,H/S,0.415628
1,5,E/S,0.468489
1,5,H/N,0.247720
1,5,E/N,0.294391
1,6,H/S,1.128465
1,6,E/S,1.021982
1,6,H/N,1.049819
1,6,E/N,0.927498
1,7,H/S,1.049608
1,7,E/S,1.104561
1,7,H/N,0.847250
1,7,E/N,0.876770
1,8,H/S,-0.665263
1,8,E/S,-0.616922
1,8,H/N,-0.216577
1,8,E/N,-0.087207
1,9,H/S,-0.143091
1,9,E/S,-0.181118
1,9,H/N,-0.305889
1,9,E/N,-0.309643
1,10,H/S,0.757672
1,10,E/S,0.835380
1,10,H/N,0.615762
1,10,E/N,0.670836
1,11,H/S,0.966791
1,11,E/S,0.773063
1,11,H/N,1.429138
1,11,E/N,1.296125
1,12,H/S,0.232050
1,12,E/S,0.225115
1,12,H/N,0.225723
1,12,E/N,0.130025
1,13,H/S,1.139816
1,13,E/S,1.144815
1,13,H/N,1.018563
1,13,E/N,1.036326
1,14,H/S,0.954098
1,14,E/S,0.892731
1,14,H/N,1.055316
1,14,E/N,0.927118
1,15,H/S,0.744162
1,15,E/S,0.849584
1,15,H/N,0.765958
1,15,E/N,0.780933
1,16,H/S,0.613637
1,16,E/S,0.712545
1,16,H/N,0.154839
1,16,E/N,0.229650
1,17,H/S,0.539529
1,17,E/S,0.553149
1,17,H/N,0.485267
1,17,E/N,0.508410
1,18,H/S,1.003270
1,18,E/S,0.974839
1,18,H/N,1.368218
1,18,E/N,1.320640
1,19,H/S,0.100545
1,19,E/S,0.064326
1,19,H/N,0.021852
1,19,E/N,-0.010607
1,20,H/S,1.365302
1,20,E/S,1.481017
1,20,H/N,1.391909
1,20,E/N,1.417296
1,21,H/S,0.618506
1,21,E/S,0.679304
1,21,H/N,1.064149
1,21,E/N,1.076823
1,22,H/S,1.060888
1,22,E/S,0.911575
1,22,H/N,1.155448
1,22,E/N,0.977569
1,23,H/S,1.008792
1,23,E/S,0.954416
1,23,H/N,0.891154
1,23,E/N,0.904002
1,24,H/S,0.766590
1,24,E/S,0.686653
1,24,H/N,0.784657
1,24,E/N,0.710584
1,25,H/S,0.933316
1,25,E/S,0.882269
1,25,H/N,1.342876
1,25,E/N,1.338695
