ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.487556
1,1,E/H,1.071223
1,1,H/E,1.071223
1,1,E/E,0.888110
1,2,H/H,1.363413
1,2,E/H,1.445683
1,2,H/E,1.445683
1,2,E/E,1.476380
1,3,H/H,1.150515
1,3,E/H,1.149811
1,3,H/E,1.149811
1,3,E/E,1.771673
1,4,H/H,0.887195
1,4,E/H,0.731395
1,4,H/E,0.731395
1,4,E/E,0.730680
1,5,H/H,1.561771
1,5,E/H,1.545168
1,5,H/E,1.545168
1,5,E/E,1.593337
1,6,H/H,0.914230
1,6,E/H,0.411134
1,6,H/E,0.411134
1,6,E/E,0.310856
1,7,H/H,0.874290
1,7,E/H,0.776307
1,7,H/E,0.776307
1,7,E/E,0.682740
1,8,H/H,0.660428
1,8,E/H,0.304523
1,8,H/E,0.304523
1,8,E/E,0.139326
1,9,H/H,1.203987
1,9,E/H,1.128820
1,9,H/E,1.128820
1,9,E/E,1.046182
1,10,H/H,1.610291
1,10,E/H,1.279515
1,10,H/E,1.279515
1,10,E/E,1.361208
1,11,H/H,1.191128
1,11,E/H,1.027512
1,11,H/E,1.027512
1,11,E/E,1.084838
1,12,H/H,1.577959
1,12,E/H,1.607290
1,12,H/E,1.607290
1,12,E/E,1.664630
1,13,H/H,1.902844
1,13,E/H,1.745363
1,13,H/E,1.745363
1,13,E/E,1.687944
1,14,H/H,0.538140
1,14,E/H,0.397578
1,14,H/E,0.397578
1,14,E/E,0.419669
1,15,H/H,1.574840
1,15,E/H,1.326147
1,15,H/E,1.326147
1,15,E/E,1.146023
1,16,H/H,1.320306
1,16,E/H,0.725027
1,16,H/E,0.725027
1,16,E/E,0.647823
1,17,H/H,1.593679
1,17,E/H,1.598819
1,17,H/E,1.598819
1,17,E/E,1.608013
1,18,H/H,0.726732
1,18,E/H,0.742381
1,18,H/E,0.742381
1,18,E/E,0.841007
1,19,H/H,1.141525
1,19,E/H,0.950420
1,19,H/E,0.950420
1,19,E/E,0.988264
1,20,H/H,0.974220
1,20,E/H,0.533956
1,20,H/E,0.533956
1,20,E/E,0.043067
1,21,H/H,0.895290
1,21,E/H,0.921954
1,21,H/E,0.921954
1,21,E/E,0.981574
1,22,H/H,0.666344
1,22,E/H,0.170424
1,22,H/E,0.170424
1,22,E/E,0.761102
1,23,H/H,1.261086
1,23,E/H,0.969095
1,23,H/E,0.969095
1,23,E/E,1.277361
1,24,H/H,0.956248
1,24,E/H,0.787794
1,24,H/E,0.787794
1,24,E/E,0.646306
1,25,H/H,0.199438
1,25,E/H,0.058699
1,25,H/E,0.058699
1,25,E/E,0.389145
