ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,1.140933
1,1,jap/en,0.977595
1,1,sent/en,0.713615
1,1,en/jap,1.070106
1,1,jap/jap,0.985592
1,1,sent/jap,0.564951
1,1,en/sent,0.684635
1,1,jap/sent,0.528762
1,1,sent/sent,1.128535
1,2,en/en,0.583495
1,2,jap/en,0.749888
1,2,sent/en,0.650309
1,2,en/jap,0.611353
1,2,jap/jap,0.854810
1,2,sent/jap,0.508801
1,2,en/sent,0.504542
1,2,jap/sent,0.513388
1,2,sent/sent,0.875342
1,3,en/en,0.651352
1,3,jap/en,0.781885
1,3,sent/en,0.769776
1,3,en/jap,0.669154
1,3,jap/jap,0.894082
1,3,sent/jap,0.712691
1,3,en/sent,0.568479
1,3,jap/sent,0.590019
1,3,sent/sent,1.199105
1,4,en/en,0.274065
1,4,jap/en,0.337404
1,4,sent/en,0.319531
1,4,en/jap,0.303987
1,4,jap/jap,0.312283
1,4,sent/jap,0.358780
1,4,en/sent,0.198643
1,4,jap/sent,0.259249
1,4,sent/sent,0.699163
1,5,en/en,0.832248
1,5,jap/en,0.928708
1,5,sent/en,1.016799
1,5,en/jap,0.815819
1,5,jap/jap,1.005664
1,5,sent/jap,1.270050
1,5,en/sent,0.715325
1,5,jap/sent,0.969245
1,5,sent/sent,1.524878
1,6,en/en,1.041636
1,6,jap/en,0.929665
1,6,sent/en,1.133194
1,6,en/jap,1.016877
1,6,jap/jap,0.920410
1,6,sent/jap,1.077617
1,6,en/sent,0.998444
1,6,jap/sent,0.875721
1,6,sent/sent,1.240401
1,7,en/en,1.221351
1,7,jap/en,1.127009
1,7,sent/en,1.361302
1,7,en/jap,1.201504
1,7,jap/jap,1.122071
1,7,sent/jap,1.304652
1,7,en/sent,1.167264
1,7,jap/sent,1.064135
1,7,sent/sent,1.502898
1,8,en/en,1.305688
1,8,jap/en,1.454924
1,8,sent/en,1.224169
1,8,en/jap,1.308649
1,8,jap/jap,1.456075
1,8,sent/jap,1.186674
1,8,en/sent,1.173890
1,8,jap/sent,1.234558
1,8,sent/sent,1.402112
1,9,en/en,0.569860
1,9,jap/en,0.656938
1,9,sent/en,0.552561
1,9,en/jap,0.608544
1,9,jap/jap,0.699134
1,9,sent/jap,0.648168
1,9,en/sent,0.571299
1,9,jap/sent,0.677650
1,9,sent/sent,0.705960
1,10,en/en,0.885512
1,10,jap/en,0.896892
1,10,sent/en,0.616281
1,10,en/jap,0.825790
1,10,jap/jap,0.937058
1,10,sent/jap,0.524343
1,10,en/sent,0.572276
1,10,jap/sent,0.507897
1,10,sent/sent,0.982357
1,11,en/en,1.123621
1,11,jap/en,0.912075
1,11,sent/en,1.016544
1,11,en/jap,0.986925
1,11,jap/jap,0.953851
1,11,sent/jap,0.718697
1,11,en/sent,0.895002
1,11,jap/sent,0.602693
1,11,sent/sent,1.349529
1,12,en/en,0.868625
1,12,jap/en,0.956658
1,12,sent/en,0.846155
1,12,en/jap,0.838263
1,12,jap/jap,1.000569
1,12,sent/jap,0.795672
1,12,en/sent,0.782298
1,12,jap/sent,0.767229
