ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,0.622662
1,1,jap/H,0.783336
1,1,sent/H,0.465559
1,1,en/E,0.707178
1,1,jap/E,0.806692
1,1,sent/E,0.633355
1,2,en/H,0.784236
1,2,jap/H,0.720217
1,2,sent/H,0.870539
1,2,en/E,0.693931
1,2,jap/E,0.662469
1,2,sent/E,0.781113
1,3,en/H,0.485246
1,3,jap/H,0.325125
1,3,sent/H,0.074517
1,3,en/E,0.495289
1,3,jap/E,0.327384
1,3,sent/E,0.104407
1,4,en/H,0.147039
1,4,jap/H,0.479594
1,4,sent/H,0.484818
1,4,en/E,0.171801
1,4,jap/E,0.381476
1,4,sent/E,0.567370
1,5,en/H,1.243206
1,5,jap/H,1.257319
1,5,sent/H,1.509935
1,5,en/E,1.214998
1,5,jap/E,1.230275
1,5,sent/E,1.493302
1,6,en/H,1.069713
1,6,jap/H,1.187417
1,6,sent/H,0.462034
1,6,en/E,0.943277
1,6,jap/E,0.976359
1,6,sent/E,0.703947
1,7,en/H,1.629841
1,7,jap/H,1.558514
1,7,sent/H,1.236837
1,7,en/E,1.650169
1,7,jap/E,1.604212
1,7,sent/E,1.228206
1,8,en/H,0.367160
1,8,jap/H,0.020281
1,8,sent/H,-0.518128
1,8,en/E,-0.009908
1,8,jap/E,-0.224078
1,8,sent/E,0.142378
1,9,en/H,0.280293
1,9,jap/H,0.160364
1,9,sent/H,0.226662
1,9,en/E,-0.218429
1,9,jap/E,-0.184750
1,9,sent/E,-0.288995
1,10,en/H,0.781542
1,10,jap/H,0.807462
1,10,sent/H,0.634852
1,10,en/E,0.410554
1,10,jap/E,0.420580
1,10,sent/E,0.606483
1,11,en/H,0.464462
1,11,jap/H,0.906473
1,11,sent/H,0.001894
1,11,en/E,0.378898
1,11,jap/E,0.902352
1,11,sent/E,-0.075329
1,12,en/H,1.041020
1,12,jap/H,0.854620
1,12,sent/H,0.921284
1,12,en/E,0.747966
1,12,jap/E,0.565052
1,12,sent/E,0.653610
1,13,en/H,0.987392
1,13,jap/H,0.682801
1,13,sent/H,0.473290
1,13,en/E,0.879831
1,13,jap/E,0.691640
1,13,sent/E,0.367486
1,14,en/H,0.619562
1,14,jap/H,0.644422
1,14,sent/H,0.548812
1,14,en/E,0.766200
1,14,jap/E,0.807282
1,14,sent/E,0.588967
1,15,en/H,1.526878
1,15,jap/H,1.692193
1,15,sent/H,1.195012
1,15,en/E,1.346833
1,15,jap/E,1.480323
1,15,sent/E,1.040904
1,16,en/H,-0.801025
1,16,jap/H,-0.696475
1,16,sent/H,-0.467143
1,16,en/E,-0.695847
1,16,jap/E,-0.621367
1,16,sent/E,-0.398782
1,17,en/H,1.024503
1,17,jap/H,1.024206
1,17,sent/H,0.712685
1,17,en/E,1.006115
1,17,jap/E,0.987755
1,17,sent/E,0.872299
1,18,en/H,0.393770
1,18,jap/H,0.381673
1,18,sent/H,0.376095
1,18,en/E,0.527857
1,18,jap/E,0.508947
1,18,sent/E,0.551215
1,19,en/H,0.546766
1,19,jap/H,0.728033
1,19,sent/H,-0.045271
1,19,en/E,0.470959
1,19,jap/E,0.603229
1,19,sent/E,0.019847
1,20,en/H,-0.214643
1,20,jap/H,-0.161537
1,20,sent/H,-0.561128
1,20,en/E,-0.245447
1,20,jap/E,-0.198559
1,20,sent/E,-0.587595
1,21,en/H,0.998973
1,21,jap/H,0.958411
1,21,sent/H,0.830030
1,21,en/E,1.513902
1,21,jap/E,1.460176
1,21,sent/E,1.239852
1,22,en/H,0.730620
1,22,jap/H,0.745955
1,22,sent/H,0.352863
1,22,en/E,0.313532
1,22,jap/E,0.280426
1,22,sent/E,0.631211
1,23,en/H,0.778773
1,23,jap/H,1.008612
1,23,sent/H,0.587103
1,23,en/E,0.665671
1,23,jap/E,0.868051
1,23,sent/E,0.488096
1,24,en/H,0.538046
1,24,jap/H,0.819193
1,24,sent/H,-0.034411
1,24,en/E,0.749137
1,24,jap/E,1.080616
1,24,sent/E,0.140641
1,25,en/H,1.145139
1,25,jap/H,1.165628
1,25,sent/H,0.983408
1,25,en/E,0.839007
1,25,jap/E,0.770138
1,25,sent/E,0.943108
