ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.064457
1,1,N/S,0.313787
1,1,S/N,0.313787
1,1,N/N,0.212659
1,2,S/S,1.312215
1,2,N/S,0.732554
1,2,S/N,0.732554
1,2,N/N,1.039781
1,3,S/S,1.673942
1,3,N/S,1.021233
1,3,S/N,1.021233
1,3,N/N,1.065241
1,4,S/S,0.504554
1,4,N/S,-0.052895
1,4,S/N,-0.052895
1,4,N/N,-0.399356
1,5,S/S,0.404522
1,5,N/S,-0.233529
1,5,S/N,-0.233529
1,5,N/N,-0.306638
1,6,S/S,1.823332
1,6,N/S,1.116948
1,6,S/N,1.116948
1,6,N/N,1.325147
1,7,S/S,1.284668
1,7,N/S,0.713473
1,7,S/N,0.713473
1,7,N/N,0.731237
1,8,S/S,1.209934
1,8,N/S,0.370103
1,8,S/N,0.370103
1,8,N/N,0.838277
1,9,S/S,0.849918
1,9,N/S,0.279484
1,9,S/N,0.279484
1,9,N/N,0.830112
1,10,S/S,1.026692
1,10,N/S,0.453276
1,10,S/N,0.453276
1,10,N/N,0.344263
1,11,S/S,1.133129
1,11,N/S,0.577428
1,11,S/N,0.577428
1,11,N/N,0.687111
1,12,S/S,0.037931
1,12,N/S,-0.173801
1,12,S/N,-0.173801
1,12,N/N,-0.284647
1,13,S/S,1.325421
1,13,N/S,0.223058
1,13,S/N,0.223058
1,13,N/N,0.796246
1,14,S/S,1.794986
1,14,N/S,0.998034
1,14,S/N,0.998034
1,14,N/N,1.541282
1,15,S/S,0.025058
1,15,N/S,-0.373891
1,15,S/N,-0.373891
1,15,N/N,-0.069743
1,16,S/S,1.498667
1,16,N/S,1.356477
1,16,S/N,1.356477
1,16,N/N,1.519954
1,17,S/S,1.721980
1,17,N/S,0.913410
1,17,S/N,0.913410
1,17,N/N,0.989630
1,18,S/S,0.961947
1,18,N/S,0.242875
1,18,S/N,0.242875
1,18,N/N,0.360204
1,19,S/S,1.435600
1,19,N/S,0.742151
1,19,S/N,0.742151
1,19,N/N,1.175084
1,20,S/S,1.179215
1,20,N/S,0.220933
1,20,S/N,0.220933
1,20,N/N,1.104855
1,21,S/S,0.941746
1,21,N/S,0.139957
1,21,S/N,0.139957
1,21,N/N,0.353018
1,22,S/S,0.901146
1,22,N/S,0.257327
1,22,S/N,0.257327
1,22,N/N,0.464896
1,23,S/S,1.329597
1,23,N/S,0.670629
1,23,S/N,0.670629
1,23,N/N,0.928256
1,24,S/S,1.453325
1,24,N/S,0.917406
1,24,S/N,0.917406
1,24,N/N,0.837504
1,25,S/S,1.009158
1,25,N/S,0.320852
1,25,S/N,0.320852
1,25,N/N,0.054770
