ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,1.054656
1,1,E/en,0.752009
1,1,H/jap,1.181972
1,1,E/jap,0.785048
1,1,H/sent,0.725440
1,1,E/sent,0.532904
1,2,H/en,0.437532
1,2,E/en,0.426455
1,2,H/jap,0.333375
1,2,E/jap,0.360019
1,2,H/sent,0.118949
1,2,E/sent,0.323843
1,3,H/en,0.216874
1,3,E/en,-0.020507
1,3,H/jap,0.224654
1,3,E/jap,-0.099874
1,3,H/sent,-0.089635
1,3,E/sent,-0.168695
1,4,H/en,-0.303741
1,4,E/en,-0.038237
1,4,H/jap,-0.212736
1,4,E/jap,-0.074905
1,4,H/sent,-0.115293
1,4,E/sent,-0.195469
1,5,H/en,0.055906
1,5,E/en,0.241325
1,5,H/jap,-0.044872
1,5,E/jap,0.151369
1,5,H/sent,-0.243675
1,5,E/sent,0.016821
1,6,H/en,0.419444
1,6,E/en,0.171319
1,6,H/jap,0.482086
1,6,E/jap,0.245614
1,6,H/sent,0.353267
1,6,E/sent,0.216970
1,7,H/en,0.498667
1,7,E/en,0.520876
1,7,H/jap,0.480453
1,7,E/jap,0.555523
1,7,H/sent,0.305665
1,7,E/sent,0.283424
1,8,H/en,0.673949
1,8,E/en,-0.216088
1,8,H/jap,0.710610
1,8,E/jap,0.009853
1,8,H/sent,0.508440
1,8,E/sent,0.082161
1,9,H/en,0.936559
1,9,E/en,0.627464
1,9,H/jap,0.824603
1,9,E/jap,0.574792
1,9,H/sent,0.343480
1,9,E/sent,0.207651
1,10,H/en,0.450890
1,10,E/en,0.230310
1,10,H/jap,0.333473
1,10,E/jap,0.126008
1,10,H/sent,-0.008673
1,10,E/sent,-0.131564
1,11,H/en,0.358129
1,11,E/en,0.206485
1,11,H/jap,0.366425
1,11,E/jap,0.291414
1,11,H/sent,0.474149
1,11,E/sent,0.104132
1,12,H/en,0.718968
1,12,E/en,0.405099
1,12,H/jap,0.596990
1,12,E/jap,0.227900
1,12,H/sent,0.808516
1,12,E/sent,0.505874
1,13,H/en,-0.038966
1,13,E/en,-0.163085
1,13,H/jap,0.129480
1,13,E/jap,-0.135022
1,13,H/sent,-0.128601
1,13,E/sent,-0.236269
1,14,H/en,-0.206272
1,14,E/en,-0.234522
1,14,H/jap,-0.241251
1,14,E/jap,-0.291024
1,14,H/sent,-0.004480
1,14,E/sent,-0.050164
1,15,H/en,0.453484
1,15,E/en,0.251500
1,15,H/jap,0.242171
1,15,E/jap,0.210031
1,15,H/sent,0.272609
1,15,E/sent,0.255386
1,16,H/en,0.200080
1,16,E/en,0.850891
1,16,H/jap,0.164229
1,16,E/jap,0.805737
1,16,H/sent,0.243408
1,16,E/sent,0.901713
1,17,H/en,-0.071129
1,17,E/en,-0.219649
1,17,H/jap,-0.033158
1,17,E/jap,-0.190380
1,17,H/sent,-0.451632
1,17,E/sent,-0.637715
1,18,H/en,-0.172778
1,18,E/en,-0.344570
1,18,H/jap,-0.052307
1,18,E/jap,-0.231394
1,18,H/sent,-0.230178
1,18,E/sent,-0.407162
1,19,H/en,-0.056931
1,19,E/en,-0.126770
1,19,H/jap,-0.021557
1,19,E/jap,-0.075027
1,19,H/sent,-0.101997
1,19,E/sent,-0.189268
1,20,H/en,0.258270
1,20,E/en,0.187008
1,20,H/jap,0.206191
1,20,E/jap,0.247226
1,20,H/sent,-0.152242
1,20,E/sent,-0.227510
1,21,H/en,-0.183939
1,21,E/en,0.040582
1,21,H/jap,-0.129038
1,21,E/jap,-0.023597
1,21,H/sent,-0.330006
1,21,E/sent,0.136539
1,22,H/en,0.403563
1,22,E/en,-0.097803
1,22,H/jap,0.321602
1,22,E/jap,-0.177960
1,22,H/sent,0.254052
1,22,E/sent,0.187506
1,23,H/en,0.520021
1,23,E/en,0.499135
1,23,H/jap,0.842295
1,23,E/jap,0.783585
1,23,H/sent,-0.176351
1,23,E/sent,-0.134362
1,24,H/en,0.552137
1,24,E/en,0.639238
1,24,H/jap,0.605422
1,24,E/jap,0.813835
1,24,H/sent,0.521823
1,24,E/sent,0.625997
1,25,H/en,0.545320
1,25,E/en,0.134863
1,25,H/jap,0.679933
1,25,E/jap,0.225234
1,25,H/sent,-0.201094
1,25,E/sent,-0.229152
