ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.712622
1,1,E/S,0.546826
1,1,H/N,1.958056
1,1,E/N,1.732729
1,2,H/S,1.007115
1,2,E/S,0.948421
1,2,H/N,0.973951
1,2,E/N,0.904848
1,3,H/S,1.653235
1,3,E/S,1.820555
1,3,H/N,1.630150
1,3,E/N,1.817729
1,4,H/S,0.632689
1,4,E/S,0.552814
1,4,H/N,0.625615
1,4,E/N,0.636246
1,5,H/S,1.195789
1,5,E/S,1.110833
1,5,H/N,0.827276
1,5,E/N,0.790888
1,6,H/S,0.675578
1,6,E/S,0.624777
1,6,H/N,0.601085
1,6,E/N,0.580391
1,7,H/S,-0.427952
1,7,E/S,-0.338975
1,7,H/N,-0.218968
1,7,E/N,-0.135489
1,8,H/S,0.378864
1,8,E/S,0.472425
1,8,H/N,0.672551
1,8,E/N,0.646063
1,9,H/S,0.117583
1,9,E/S,0.129758
1,9,H/N,0.892732
1,9,E/N,0.806070
1,10,H/S,-0.131832
1,10,E/S,0.116509
1,10,H/N,-0.046801
1,10,E/N,0.259345
1,11,H/S,1.584432
1,11,E/S,1.210503
1,11,H/N,1.999914
1,11,E/N,1.558009
1,12,H/S,1.215930
1,12,E/S,1.085807
1,12,H/N,1.550644
1,12,E/N,1.406414
1,13,H/S,1.889131
1,13,E/S,2.037896
1,13,H/N,1.801161
1,13,E/N,1.988340
1,14,H/S,2.234078
1,14,E/S,1.821905
1,14,H/N,2.335247
1,14,E/N,2.015730
1,15,H/S,0.431369
1,15,E/S,0.446705
1,15,H/N,0.674279
1,15,E/N,0.686306
1,16,H/S,0.212485
1,16,E/S,0.262895
1,16,H/N,0.086173
1,16,E/N,0.141345
1,17,H/S,1.223502
1,17,E/S,1.266453
1,17,H/N,1.385320
1,17,E/N,1.326198
1,18,H/S,1.510084
1,18,E/S,1.516170
1,18,H/N,1.426173
1,18,E/N,1.443019
1,19,H/S,0.320052
1,19,E/S,0.332859
1,19,H/N,0.227172
1,19,E/N,0.236489
1,20,H/S,0.340336
1,20,E/S,0.887402
1,20,H/N,0.212900
1,20,E/N,0.685995
1,21,H/S,1.246411
1,21,E/S,1.085920
1,21,H/N,1.087968
1,21,E/N,0.981176
1,22,H/S,1.015454
1,22,E/S,1.210184
1,22,H/N,0.916103
1,22,E/N,1.063681
1,23,H/S,0.083715
1,23,E/S,0.172653
1,23,H/N,-0.008487
1,23,E/N,0.086989
1,24,H/S,1.426507
1,24,E/S,1.397075
1,24,H/N,1.313868
1,24,E/N,1.376429
1,25,H/S,0.784288
1,25,E/S,0.511243
1,25,H/N,0.938659
1,25,E/N,0.552458
